Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                                       
{'loss': 2.6861, 'grad_norm': 223.6076976619808, 'learning_rate': 2.325581395348837e-06, 'epoch': 0.01}
{'loss': 2.2284, 'grad_norm': 192.1471209876749, 'learning_rate': 4.651162790697674e-06, 'epoch': 0.01}
{'loss': 1.9693, 'grad_norm': 36.368526835986145, 'learning_rate': 6.976744186046512e-06, 'epoch': 0.02}
{'loss': 2.0, 'grad_norm': 45.46069581365182, 'learning_rate': 9.302325581395349e-06, 'epoch': 0.03}
{'loss': 1.3208, 'grad_norm': 31.897096051344327, 'learning_rate': 1.1627906976744187e-05, 'epoch': 0.04}
{'loss': 1.6674, 'grad_norm': 42.30516935854377, 'learning_rate': 1.3953488372093024e-05, 'epoch': 0.04}
{'loss': 1.5521, 'grad_norm': 39.653082806293746, 'learning_rate': 1.6279069767441862e-05, 'epoch': 0.05}
{'loss': 0.7815, 'grad_norm': 26.421238206274293, 'learning_rate': 1.8604651162790697e-05, 'epoch': 0.06}
{'loss': 0.7532, 'grad_norm': 27.924706028210526, 'learning_rate': 2.0930232558139536e-05, 'epoch': 0.06}
{'loss': 0.4018, 'grad_norm': 18.94440465101733, 'learning_rate': 2.3255813953488374e-05, 'epoch': 0.07}
{'loss': 0.3939, 'grad_norm': 18.784948519511527, 'learning_rate': 2.5581395348837212e-05, 'epoch': 0.08}
{'loss': 0.442, 'grad_norm': 11.70511365678109, 'learning_rate': 2.7906976744186048e-05, 'epoch': 0.09}
{'loss': 0.282, 'grad_norm': 20.31146155631009, 'learning_rate': 3.0232558139534883e-05, 'epoch': 0.09}
{'loss': 0.3534, 'grad_norm': 20.81031012605279, 'learning_rate': 3.2558139534883724e-05, 'epoch': 0.1}
{'loss': 0.2105, 'grad_norm': 11.682937368287618, 'learning_rate': 3.488372093023256e-05, 'epoch': 0.11}
{'loss': 0.3766, 'grad_norm': 13.64214881061007, 'learning_rate': 3.7209302325581394e-05, 'epoch': 0.11}
{'loss': 0.5158, 'grad_norm': 17.607001648062052, 'learning_rate': 3.953488372093023e-05, 'epoch': 0.12}
{'loss': 0.3364, 'grad_norm': 13.7019366008405, 'learning_rate': 4.186046511627907e-05, 'epoch': 0.13}
{'loss': 0.2544, 'grad_norm': 12.083594084123684, 'learning_rate': 4.418604651162791e-05, 'epoch': 0.14}
{'loss': 0.3467, 'grad_norm': 15.057876340484805, 'learning_rate': 4.651162790697675e-05, 'epoch': 0.14}
{'loss': 0.3451, 'grad_norm': 14.636151142372707, 'learning_rate': 4.883720930232558e-05, 'epoch': 0.15}
{'loss': 0.3545, 'grad_norm': 12.693768388444134, 'learning_rate': 4.999993349483877e-05, 'epoch': 0.16}
{'loss': 0.2693, 'grad_norm': 13.03601200343608, 'learning_rate': 4.999940145567191e-05, 'epoch': 0.16}
{'loss': 0.3431, 'grad_norm': 19.18403571302372, 'learning_rate': 4.9998337388660844e-05, 'epoch': 0.17}
{'loss': 0.6104, 'grad_norm': 17.444804417055753, 'learning_rate': 4.999674131645065e-05, 'epoch': 0.18}
{'loss': 0.6144, 'grad_norm': 14.02613780483202, 'learning_rate': 4.9994613273008334e-05, 'epoch': 0.19}
{'loss': 0.2732, 'grad_norm': 12.585315861353369, 'learning_rate': 4.999195330362211e-05, 'epoch': 0.19}
{'loss': 0.3637, 'grad_norm': 19.95805262290892, 'learning_rate': 4.9988761464900455e-05, 'epoch': 0.2}
