Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                                      
{'loss': 2.69, 'grad_norm': 191.80009526537918, 'learning_rate': 2.325581395348837e-06, 'epoch': 0.01}
{'loss': 2.1933, 'grad_norm': 219.55607683589682, 'learning_rate': 4.651162790697674e-06, 'epoch': 0.01}
{'loss': 1.9604, 'grad_norm': 36.43566794264868, 'learning_rate': 6.976744186046512e-06, 'epoch': 0.02}
{'loss': 1.9779, 'grad_norm': 45.400397444537475, 'learning_rate': 9.302325581395349e-06, 'epoch': 0.03}
{'loss': 1.3065, 'grad_norm': 30.94886435653652, 'learning_rate': 1.1627906976744187e-05, 'epoch': 0.04}
{'loss': 1.667, 'grad_norm': 42.71380783992953, 'learning_rate': 1.3953488372093024e-05, 'epoch': 0.04}
{'loss': 1.5501, 'grad_norm': 39.65696273354388, 'learning_rate': 1.6279069767441862e-05, 'epoch': 0.05}
{'loss': 0.7948, 'grad_norm': 26.50763526908582, 'learning_rate': 1.8604651162790697e-05, 'epoch': 0.06}
{'loss': 0.7634, 'grad_norm': 28.026040598053093, 'learning_rate': 2.0930232558139536e-05, 'epoch': 0.06}
{'loss': 0.4136, 'grad_norm': 19.100490139013665, 'learning_rate': 2.3255813953488374e-05, 'epoch': 0.07}
{'loss': 0.3818, 'grad_norm': 19.90878834147887, 'learning_rate': 2.5581395348837212e-05, 'epoch': 0.08}
{'loss': 0.4567, 'grad_norm': 11.726975732572342, 'learning_rate': 2.7906976744186048e-05, 'epoch': 0.09}
{'loss': 0.2849, 'grad_norm': 19.695840291186972, 'learning_rate': 3.0232558139534883e-05, 'epoch': 0.09}
{'loss': 0.3761, 'grad_norm': 20.961580071316163, 'learning_rate': 3.2558139534883724e-05, 'epoch': 0.1}
{'loss': 0.2109, 'grad_norm': 13.327793851581687, 'learning_rate': 3.488372093023256e-05, 'epoch': 0.11}
{'loss': 0.3724, 'grad_norm': 13.473807160204231, 'learning_rate': 3.7209302325581394e-05, 'epoch': 0.11}
{'loss': 0.531, 'grad_norm': 17.533604056468455, 'learning_rate': 3.953488372093023e-05, 'epoch': 0.12}
{'loss': 0.3398, 'grad_norm': 13.599406098185137, 'learning_rate': 4.186046511627907e-05, 'epoch': 0.13}
{'loss': 0.252, 'grad_norm': 11.833537392116241, 'learning_rate': 4.418604651162791e-05, 'epoch': 0.14}
{'loss': 0.349, 'grad_norm': 15.488925625712348, 'learning_rate': 4.651162790697675e-05, 'epoch': 0.14}
{'loss': 0.331, 'grad_norm': 14.59924266055809, 'learning_rate': 4.883720930232558e-05, 'epoch': 0.15}
{'loss': 0.3419, 'grad_norm': 11.506133906826804, 'learning_rate': 4.999993349483877e-05, 'epoch': 0.16}
{'loss': 0.296, 'grad_norm': 13.682623350662599, 'learning_rate': 4.999940145567191e-05, 'epoch': 0.16}
{'loss': 0.3289, 'grad_norm': 20.94649257857459, 'learning_rate': 4.9998337388660844e-05, 'epoch': 0.17}
{'loss': 0.5796, 'grad_norm': 29.363835274758504, 'learning_rate': 4.999674131645065e-05, 'epoch': 0.18}
{'loss': 0.6405, 'grad_norm': 16.885961394283928, 'learning_rate': 4.9994613273008334e-05, 'epoch': 0.19}
{'loss': 0.2734, 'grad_norm': 12.355785711544316, 'learning_rate': 4.999195330362211e-05, 'epoch': 0.19}
{'loss': 0.3487, 'grad_norm': 19.975687151454437, 'learning_rate': 4.9988761464900455e-05, 'epoch': 0.2}
{'loss': 0.3151, 'grad_norm': 14.223786550258309, 'learning_rate': 4.9985037824770866e-05, 'epoch': 0.21}
{'loss': 0.2898, 'grad_norm': 9.35150879349376, 'learning_rate': 4.9980782462478456e-05, 'epoch': 0.21}
{'loss': 0.2942, 'grad_norm': 21.30484025706987, 'learning_rate': 4.997599546858425e-05, 'epoch': 0.22}
{'loss': 0.3544, 'grad_norm': 15.658180967273683, 'learning_rate': 4.997067694496323e-05, 'epoch': 0.23}
