Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                                      
{'loss': 3.2808, 'grad_norm': 62.832971911114264, 'learning_rate': 2.325581395348837e-06, 'epoch': 0.01}
{'loss': 2.5012, 'grad_norm': 65.5777320037131, 'learning_rate': 4.651162790697674e-06, 'epoch': 0.01}
{'loss': 2.5778, 'grad_norm': 51.659034420796466, 'learning_rate': 6.976744186046512e-06, 'epoch': 0.02}
{'loss': 2.2515, 'grad_norm': 42.96525685745085, 'learning_rate': 9.302325581395349e-06, 'epoch': 0.03}
{'loss': 1.9469, 'grad_norm': 48.78993611682291, 'learning_rate': 1.1627906976744187e-05, 'epoch': 0.04}
{'loss': 1.835, 'grad_norm': 121.26814984711146, 'learning_rate': 1.3953488372093024e-05, 'epoch': 0.04}
{'loss': 1.1996, 'grad_norm': 43.06256734650627, 'learning_rate': 1.6279069767441862e-05, 'epoch': 0.05}
{'loss': 0.8215, 'grad_norm': 28.139250981525127, 'learning_rate': 1.8604651162790697e-05, 'epoch': 0.06}
{'loss': 0.9242, 'grad_norm': 37.409147494322085, 'learning_rate': 2.0930232558139536e-05, 'epoch': 0.06}
{'loss': 0.5571, 'grad_norm': 22.32644809026425, 'learning_rate': 2.3255813953488374e-05, 'epoch': 0.07}
{'loss': 0.5102, 'grad_norm': 20.36209981481336, 'learning_rate': 2.5581395348837212e-05, 'epoch': 0.08}
{'loss': 0.6712, 'grad_norm': 28.52807168050558, 'learning_rate': 2.7906976744186048e-05, 'epoch': 0.09}
{'loss': 0.4314, 'grad_norm': 24.17666121744251, 'learning_rate': 3.0232558139534883e-05, 'epoch': 0.09}
{'loss': 0.422, 'grad_norm': 23.33011635451702, 'learning_rate': 3.2558139534883724e-05, 'epoch': 0.1}
{'loss': 0.2522, 'grad_norm': 13.919979225024427, 'learning_rate': 3.488372093023256e-05, 'epoch': 0.11}
{'loss': 0.4384, 'grad_norm': 25.086110819214266, 'learning_rate': 3.7209302325581394e-05, 'epoch': 0.11}
{'loss': 0.4747, 'grad_norm': 20.43546893206388, 'learning_rate': 3.953488372093023e-05, 'epoch': 0.12}
{'loss': 0.3328, 'grad_norm': 13.292525981859619, 'learning_rate': 4.186046511627907e-05, 'epoch': 0.13}
{'loss': 0.3036, 'grad_norm': 11.735053987359706, 'learning_rate': 4.418604651162791e-05, 'epoch': 0.14}
{'loss': 0.3735, 'grad_norm': 16.806605247216183, 'learning_rate': 4.651162790697675e-05, 'epoch': 0.14}
{'loss': 0.4545, 'grad_norm': 17.171561712087072, 'learning_rate': 4.883720930232558e-05, 'epoch': 0.15}
{'loss': 0.4154, 'grad_norm': 16.2069290769782, 'learning_rate': 4.999993349483877e-05, 'epoch': 0.16}
{'loss': 0.3001, 'grad_norm': 14.828348968490902, 'learning_rate': 4.999940145567191e-05, 'epoch': 0.16}
{'loss': 0.4662, 'grad_norm': 39.50764311066977, 'learning_rate': 4.9998337388660844e-05, 'epoch': 0.17}
{'loss': 0.5614, 'grad_norm': 17.367317820082313, 'learning_rate': 4.999674131645065e-05, 'epoch': 0.18}
{'loss': 0.4611, 'grad_norm': 13.868553322842212, 'learning_rate': 4.9994613273008334e-05, 'epoch': 0.19}
{'loss': 0.3322, 'grad_norm': 12.112229890807006, 'learning_rate': 4.999195330362211e-05, 'epoch': 0.19}
{'loss': 0.3638, 'grad_norm': 13.797831893545046, 'learning_rate': 4.9988761464900455e-05, 'epoch': 0.2}
{'loss': 0.3283, 'grad_norm': 10.157427228870457, 'learning_rate': 4.9985037824770866e-05, 'epoch': 0.21}
{'loss': 0.3319, 'grad_norm': 12.126807899430846, 'learning_rate': 4.9980782462478456e-05, 'epoch': 0.21}
{'loss': 0.2915, 'grad_norm': 18.962041291742295, 'learning_rate': 4.997599546858425e-05, 'epoch': 0.22}
{'loss': 0.3373, 'grad_norm': 13.498541999911192, 'learning_rate': 4.997067694496323e-05, 'epoch': 0.23}
{'loss': 0.3434, 'grad_norm': 13.794211652636898, 'learning_rate': 4.996482700480223e-05, 'epoch': 0.23}
{'loss': 0.3454, 'grad_norm': 12.299203173333597, 'learning_rate': 4.9958445772597456e-05, 'epoch': 0.24}
{'loss': 0.532, 'grad_norm': 18.188024588156324, 'learning_rate': 4.9951533384151906e-05, 'epoch': 0.25}
{'loss': 0.3514, 'grad_norm': 11.886519386062929, 'learning_rate': 4.9944089986572415e-05, 'epoch': 0.26}
{'loss': 0.3188, 'grad_norm': 13.73754010880327, 'learning_rate': 4.9936115738266563e-05, 'epoch': 0.26}
{'loss': 0.4074, 'grad_norm': 14.948611115203352, 'learning_rate': 4.992761080893932e-05, 'epoch': 0.27}
{'loss': 0.3089, 'grad_norm': 13.448975408731254, 'learning_rate': 4.9918575379589364e-05, 'epoch': 0.28}
{'loss': 0.2944, 'grad_norm': 12.11748462649116, 'learning_rate': 4.99090096425053e-05, 'epoch': 0.28}
{'loss': 0.4018, 'grad_norm': 17.32742359781959, 'learning_rate': 4.989891380126156e-05, 'epoch': 0.29}
{'loss': 0.3818, 'grad_norm': 19.067554977900404, 'learning_rate': 4.988828807071402e-05, 'epoch': 0.3}
{'loss': 0.4247, 'grad_norm': 11.762606608651154, 'learning_rate': 4.987713267699547e-05, 'epoch': 0.31}
{'loss': 0.3085, 'grad_norm': 12.75198723656153, 'learning_rate': 4.986544785751081e-05, 'epoch': 0.31}
{'loss': 0.388, 'grad_norm': 14.29114645058149, 'learning_rate': 4.985323386093196e-05, 'epoch': 0.32}
{'loss': 0.4681, 'grad_norm': 12.113185172282444, 'learning_rate': 4.98404909471926e-05, 'epoch': 0.33}
{'loss': 0.2832, 'grad_norm': 10.995865811602744, 'learning_rate': 4.982721938748261e-05, 'epoch': 0.33}
{'loss': 0.4194, 'grad_norm': 13.467382600039775, 'learning_rate': 4.981341946424233e-05, 'epoch': 0.34}
{'loss': 0.3923, 'grad_norm': 14.628540147487419, 'learning_rate': 4.9799091471156525e-05, 'epoch': 0.35}
{'loss': 0.2631, 'grad_norm': 10.22037759098061, 'learning_rate': 4.978423571314814e-05, 'epoch': 0.36}
{'loss': 0.3019, 'grad_norm': 10.276509378799322, 'learning_rate': 4.9768852506371847e-05, 'epoch': 0.36}
{'loss': 0.4592, 'grad_norm': 14.987696283447299, 'learning_rate': 4.9752942178207225e-05, 'epoch': 0.37}
{'loss': 0.4093, 'grad_norm': 16.174525549972866, 'learning_rate': 4.9736505067251896e-05, 'epoch': 0.38}
{'loss': 0.4387, 'grad_norm': 13.288772874040863, 'learning_rate': 4.971954152331427e-05, 'epoch': 0.38}
{'loss': 0.3551, 'grad_norm': 10.93420594710703, 'learning_rate': 4.97020519074061e-05, 'epoch': 0.39}
{'loss': 0.3931, 'grad_norm': 9.815527096606745, 'learning_rate': 4.96840365917348e-05, 'epoch': 0.4}
{'loss': 0.3256, 'grad_norm': 13.971149894358172, 'learning_rate': 4.966549595969551e-05, 'epoch': 0.41}
{'loss': 0.3833, 'grad_norm': 18.916778812729216, 'learning_rate': 4.964643040586301e-05, 'epoch': 0.41}
{'loss': 0.4159, 'grad_norm': 19.288093775468464, 'learning_rate': 4.9626840335983215e-05, 'epoch': 0.42}
{'loss': 0.3491, 'grad_norm': 14.71699167664526, 'learning_rate': 4.9606726166964626e-05, 'epoch': 0.43}
{'loss': 0.3798, 'grad_norm': 13.249700310068317, 'learning_rate': 4.9586088326869394e-05, 'epoch': 0.43}
{'loss': 0.3564, 'grad_norm': 11.407842775195247, 'learning_rate': 4.956492725490426e-05, 'epoch': 0.44}
{'loss': 0.3648, 'grad_norm': 12.020442241313365, 'learning_rate': 4.9543243401411205e-05, 'epoch': 0.45}
{'loss': 0.3573, 'grad_norm': 12.606103311113229, 'learning_rate': 4.9521037227857816e-05, 'epoch': 0.46}
{'loss': 0.3524, 'grad_norm': 13.286208606378755, 'learning_rate': 4.94983092068275e-05, 'epoch': 0.46}
{'loss': 0.4318, 'grad_norm': 12.94045409384337, 'learning_rate': 4.9475059822009464e-05, 'epoch': 0.47}
{'loss': 0.309, 'grad_norm': 9.449152144572752, 'learning_rate': 4.945128956818835e-05, 'epoch': 0.48}
{'loss': 0.4098, 'grad_norm': 9.518788392955516, 'learning_rate': 4.9426998951233735e-05, 'epoch': 0.48}
{'loss': 0.2998, 'grad_norm': 11.481825822288808, 'learning_rate': 4.9402188488089387e-05, 'epoch': 0.49}
{'loss': 0.3828, 'grad_norm': 14.675062500282772, 'learning_rate': 4.937685870676223e-05, 'epoch': 0.5}
{'loss': 0.3846, 'grad_norm': 12.4645597156761, 'learning_rate': 4.935101014631114e-05, 'epoch': 0.51}
{'loss': 0.4903, 'grad_norm': 14.347461698489381, 'learning_rate': 4.932464335683543e-05, 'epoch': 0.51}
{'loss': 0.3239, 'grad_norm': 16.223706752166606, 'learning_rate': 4.929775889946319e-05, 'epoch': 0.52}
{'loss': 0.3323, 'grad_norm': 13.113848836720063, 'learning_rate': 4.92703573463393e-05, 'epoch': 0.53}
{'loss': 0.3493, 'grad_norm': 12.975437884712195, 'learning_rate': 4.924243928061331e-05, 'epoch': 0.53}
{'loss': 0.3492, 'grad_norm': 14.49800397494943, 'learning_rate': 4.9214005296426966e-05, 'epoch': 0.54}
{'loss': 0.3534, 'grad_norm': 14.386767485270333, 'learning_rate': 4.918505599890162e-05, 'epoch': 0.55}
{'loss': 0.3481, 'grad_norm': 13.077488509726237, 'learning_rate': 4.91555920041253e-05, 'epoch': 0.56}
{'loss': 0.318, 'grad_norm': 11.708650625951568, 'learning_rate': 4.9125613939139654e-05, 'epoch': 0.56}
{'loss': 0.349, 'grad_norm': 11.236590678961596, 'learning_rate': 4.909512244192657e-05, 'epoch': 0.57}
{'loss': 0.3383, 'grad_norm': 10.289706919954591, 'learning_rate': 4.906411816139459e-05, 'epoch': 0.58}
{'loss': 0.2617, 'grad_norm': 12.287723813083918, 'learning_rate': 4.903260175736515e-05, 'epoch': 0.58}
{'loss': 0.2332, 'grad_norm': 10.696059075075809, 'learning_rate': 4.900057390055847e-05, 'epoch': 0.59}
{'loss': 0.3683, 'grad_norm': 12.225245671879419, 'learning_rate': 4.8968035272579355e-05, 'epoch': 0.6}
{'loss': 0.4086, 'grad_norm': 18.272861413138244, 'learning_rate': 4.893498656590261e-05, 'epoch': 0.6}
{'loss': 0.36, 'grad_norm': 9.143305227711497, 'learning_rate': 4.890142848385838e-05, 'epoch': 0.61}
{'loss': 0.284, 'grad_norm': 9.08756867596586, 'learning_rate': 4.88673617406171e-05, 'epoch': 0.62}
{'loss': 0.3276, 'grad_norm': 10.943693345699085, 'learning_rate': 4.883278706117438e-05, 'epoch': 0.63}
{'loss': 0.3493, 'grad_norm': 14.317819074940825, 'learning_rate': 4.8797705181335526e-05, 'epoch': 0.63}
{'loss': 0.3161, 'grad_norm': 10.467753342450097, 'learning_rate': 4.876211684769989e-05, 'epoch': 0.64}
{'loss': 0.3581, 'grad_norm': 14.594866614800994, 'learning_rate': 4.872602281764497e-05, 'epoch': 0.65}
{'loss': 0.5448, 'grad_norm': 19.94382716033533, 'learning_rate': 4.868942385931032e-05, 'epoch': 0.65}
{'loss': 0.292, 'grad_norm': 9.37812746122471, 'learning_rate': 4.865232075158121e-05, 'epoch': 0.66}
{'loss': 0.324, 'grad_norm': 12.186472928509591, 'learning_rate': 4.861471428407195e-05, 'epoch': 0.67}
{'loss': 0.353, 'grad_norm': 10.890874893301419, 'learning_rate': 4.857660525710927e-05, 'epoch': 0.68}
{'loss': 0.2907, 'grad_norm': 14.942513077417017, 'learning_rate': 4.853799448171508e-05, 'epoch': 0.68}
{'loss': 0.4111, 'grad_norm': 14.126604977981225, 'learning_rate': 4.849888277958938e-05, 'epoch': 0.69}
{'loss': 0.2828, 'grad_norm': 10.449182837075043, 'learning_rate': 4.8459270983092686e-05, 'epoch': 0.7}
{'loss': 0.362, 'grad_norm': 11.537500973119428, 'learning_rate': 4.841915993522832e-05, 'epoch': 0.7}
{'loss': 0.4696, 'grad_norm': 16.74087674535629, 'learning_rate': 4.837855048962448e-05, 'epoch': 0.71}
{'loss': 0.3607, 'grad_norm': 12.925072075582198, 'learning_rate': 4.833744351051611e-05, 'epoch': 0.72}
{'loss': 0.3629, 'grad_norm': 23.066688459925366, 'learning_rate': 4.829583987272645e-05, 'epoch': 0.73}
{'loss': 0.3779, 'grad_norm': 17.721520165615964, 'learning_rate': 4.825374046164844e-05, 'epoch': 0.73}
{'loss': 0.2649, 'grad_norm': 12.924746633403986, 'learning_rate': 4.8211146173225884e-05, 'epoch': 0.74}
{'loss': 0.2577, 'grad_norm': 13.449271879282195, 'learning_rate': 4.8168057913934394e-05, 'epoch': 0.75}
{'loss': 0.3281, 'grad_norm': 10.331315535996806, 'learning_rate': 4.812447660076207e-05, 'epoch': 0.75}
{'loss': 0.3343, 'grad_norm': 10.838037408466462, 'learning_rate': 4.808040316118999e-05, 'epoch': 0.76}
{'loss': 0.2894, 'grad_norm': 14.863340804286985, 'learning_rate': 4.803583853317251e-05, 'epoch': 0.77}
{'loss': 0.3174, 'grad_norm': 11.298911703597733, 'learning_rate': 4.7990783665117234e-05, 'epoch': 0.78}
{'loss': 0.3305, 'grad_norm': 16.700466665364015, 'learning_rate': 4.79452395158649e-05, 'epoch': 0.78}
{'loss': 0.3744, 'grad_norm': 10.680338393383998, 'learning_rate': 4.7899207054668946e-05, 'epoch': 0.79}
{'loss': 0.3423, 'grad_norm': 13.329614291430222, 'learning_rate': 4.785268726117486e-05, 'epoch': 0.8}
{'loss': 0.3023, 'grad_norm': 17.089688850482354, 'learning_rate': 4.780568112539936e-05, 'epoch': 0.8}
{'loss': 0.315, 'grad_norm': 11.582702426468844, 'learning_rate': 4.775818964770933e-05, 'epoch': 0.81}
{'loss': 0.3953, 'grad_norm': 17.151077647034754, 'learning_rate': 4.7710213838800504e-05, 'epoch': 0.82}
{'loss': 0.4865, 'grad_norm': 17.723405996407276, 'learning_rate': 4.766175471967597e-05, 'epoch': 0.83}
{'loss': 0.249, 'grad_norm': 11.02323177449396, 'learning_rate': 4.761281332162445e-05, 'epoch': 0.83}
{'loss': 0.2865, 'grad_norm': 13.613509606944687, 'learning_rate': 4.756339068619834e-05, 'epoch': 0.84}
{'loss': 0.3423, 'grad_norm': 12.465016661675243, 'learning_rate': 4.751348786519154e-05, 'epoch': 0.85}
{'loss': 0.3639, 'grad_norm': 14.448943972180311, 'learning_rate': 4.74631059206171e-05, 'epoch': 0.85}
{'loss': 0.3179, 'grad_norm': 12.20854947081214, 'learning_rate': 4.741224592468458e-05, 'epoch': 0.86}
{'loss': 0.4464, 'grad_norm': 14.670575118664466, 'learning_rate': 4.736090895977725e-05, 'epoch': 0.87}
{'loss': 0.3334, 'grad_norm': 13.905255130245603, 'learning_rate': 4.730909611842907e-05, 'epoch': 0.88}
{'loss': 0.3166, 'grad_norm': 10.372801120442546, 'learning_rate': 4.72568085033014e-05, 'epoch': 0.88}
{'loss': 0.2502, 'grad_norm': 12.191374559221655, 'learning_rate': 4.720404722715957e-05, 'epoch': 0.89}
{'loss': 0.3111, 'grad_norm': 7.287130775187108, 'learning_rate': 4.715081341284918e-05, 'epoch': 0.9}
{'loss': 0.4475, 'grad_norm': 12.60760582033738, 'learning_rate': 4.709710819327222e-05, 'epoch': 0.9}
{'loss': 0.436, 'grad_norm': 12.953520661186019, 'learning_rate': 4.704293271136294e-05, 'epoch': 0.91}
{'loss': 0.1927, 'grad_norm': 14.121774078520984, 'learning_rate': 4.698828812006354e-05, 'epoch': 0.92}
{'loss': 0.2858, 'grad_norm': 11.680151184156024, 'learning_rate': 4.6933175582299615e-05, 'epoch': 0.93}
{'loss': 0.297, 'grad_norm': 11.161561704429753, 'learning_rate': 4.687759627095544e-05, 'epoch': 0.93}
{'loss': 0.4149, 'grad_norm': 12.05812397668209, 'learning_rate': 4.682155136884898e-05, 'epoch': 0.94}
{'loss': 0.2147, 'grad_norm': 8.20706629388915, 'learning_rate': 4.676504206870673e-05, 'epoch': 0.95}
{'loss': 0.3908, 'grad_norm': 8.383365196426686, 'learning_rate': 4.6708069573138335e-05, 'epoch': 0.95}
{'loss': 0.4105, 'grad_norm': 13.284092131260556, 'learning_rate': 4.665063509461097e-05, 'epoch': 0.96}
{'loss': 0.2847, 'grad_norm': 10.439473529341711, 'learning_rate': 4.659273985542357e-05, 'epoch': 0.97}
{'loss': 0.2986, 'grad_norm': 15.360209067728212, 'learning_rate': 4.6534385087680824e-05, 'epoch': 0.98}
{'loss': 0.3931, 'grad_norm': 17.62792354666286, 'learning_rate': 4.64755720332669e-05, 'epoch': 0.98}
{'loss': 0.2416, 'grad_norm': 12.304739251887607, 'learning_rate': 4.641630194381907e-05, 'epoch': 0.99}
{'loss': 0.3021, 'grad_norm': 10.28703559877136, 'learning_rate': 4.6356576080701054e-05, 'epoch': 1.0}
{'loss': 0.4351, 'grad_norm': 13.13617452114507, 'learning_rate': 4.629639571497617e-05, 'epoch': 1.0}
{'loss': 0.4856, 'grad_norm': 21.173321791826915, 'learning_rate': 4.623576212738028e-05, 'epoch': 1.01}
{'loss': 0.4104, 'grad_norm': 13.426793285152648, 'learning_rate': 4.6174676608294574e-05, 'epoch': 1.02}
{'loss': 0.3183, 'grad_norm': 9.64496407839719, 'learning_rate': 4.611314045771804e-05, 'epoch': 1.02}
{'loss': 0.4178, 'grad_norm': 18.169565993831608, 'learning_rate': 4.6051154985239855e-05, 'epoch': 1.03}
{'loss': 0.3907, 'grad_norm': 15.60872739711558, 'learning_rate': 4.598872151001151e-05, 'epoch': 1.04}
