Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                               
{'loss': 1.6155, 'grad_norm': 128.20415592087335, 'learning_rate': 2.325581395348837e-06, 'epoch': 0.01}
{'loss': 1.3246, 'grad_norm': 267.71775579631964, 'learning_rate': 4.651162790697674e-06, 'epoch': 0.01}
{'loss': 1.1996, 'grad_norm': 123.59264980536422, 'learning_rate': 6.976744186046512e-06, 'epoch': 0.02}
{'loss': 1.2506, 'grad_norm': 421.62866898438216, 'learning_rate': 9.302325581395349e-06, 'epoch': 0.03}
{'loss': 1.1044, 'grad_norm': 202.06842468050345, 'learning_rate': 1.1627906976744187e-05, 'epoch': 0.04}
{'loss': 1.0654, 'grad_norm': 93.23035805437345, 'learning_rate': 1.3953488372093024e-05, 'epoch': 0.04}
{'loss': 0.7815, 'grad_norm': 40.82718253088431, 'learning_rate': 1.6279069767441862e-05, 'epoch': 0.05}
{'loss': 0.6682, 'grad_norm': 36.336086451986844, 'learning_rate': 1.8604651162790697e-05, 'epoch': 0.06}
{'loss': 0.6089, 'grad_norm': 26.271733116535327, 'learning_rate': 2.0930232558139536e-05, 'epoch': 0.06}
{'loss': 0.5011, 'grad_norm': 38.14834627308365, 'learning_rate': 2.3255813953488374e-05, 'epoch': 0.07}
{'loss': 0.312, 'grad_norm': 859.5091384889821, 'learning_rate': 2.5581395348837212e-05, 'epoch': 0.08}
{'loss': 0.5403, 'grad_norm': 78.550542215194, 'learning_rate': 2.7906976744186048e-05, 'epoch': 0.09}
{'loss': 0.2811, 'grad_norm': 49.55670494273709, 'learning_rate': 3.0232558139534883e-05, 'epoch': 0.09}
{'loss': 0.3871, 'grad_norm': 148.5048804170475, 'learning_rate': 3.2558139534883724e-05, 'epoch': 0.1}
{'loss': 0.2842, 'grad_norm': 69.35936500022257, 'learning_rate': 3.488372093023256e-05, 'epoch': 0.11}
{'loss': 0.3568, 'grad_norm': 13.99323342065039, 'learning_rate': 3.7209302325581394e-05, 'epoch': 0.11}
{'loss': 0.4588, 'grad_norm': 58.74786890049962, 'learning_rate': 3.953488372093023e-05, 'epoch': 0.12}
{'loss': 0.291, 'grad_norm': 39.35312360955439, 'learning_rate': 4.186046511627907e-05, 'epoch': 0.13}
{'loss': 0.2307, 'grad_norm': 10.456218766681962, 'learning_rate': 4.418604651162791e-05, 'epoch': 0.14}
{'loss': 0.3076, 'grad_norm': 14.759613653782873, 'learning_rate': 4.651162790697675e-05, 'epoch': 0.14}
{'loss': 0.4196, 'grad_norm': 26.616001166226418, 'learning_rate': 4.883720930232558e-05, 'epoch': 0.15}
{'loss': 0.3197, 'grad_norm': 11.8874040575871, 'learning_rate': 4.999993349483877e-05, 'epoch': 0.16}
{'loss': 0.2364, 'grad_norm': 10.17990145895998, 'learning_rate': 4.999940145567191e-05, 'epoch': 0.16}
{'loss': 0.3853, 'grad_norm': 15.964000412405483, 'learning_rate': 4.9998337388660844e-05, 'epoch': 0.17}
{'loss': 0.5385, 'grad_norm': 14.5147792582466, 'learning_rate': 4.999674131645065e-05, 'epoch': 0.18}
{'loss': 0.3704, 'grad_norm': 11.570118981900706, 'learning_rate': 4.9994613273008334e-05, 'epoch': 0.19}
{'loss': 0.3024, 'grad_norm': 10.997847366273914, 'learning_rate': 4.999195330362211e-05, 'epoch': 0.19}
{'loss': 0.339, 'grad_norm': 14.082262939056113, 'learning_rate': 4.9988761464900455e-05, 'epoch': 0.2}
{'loss': 0.3014, 'grad_norm': 10.40949764373094, 'learning_rate': 4.9985037824770866e-05, 'epoch': 0.21}
{'loss': 0.2781, 'grad_norm': 10.753442854975974, 'learning_rate': 4.9980782462478456e-05, 'epoch': 0.21}
{'loss': 0.2946, 'grad_norm': 16.07147660634628, 'learning_rate': 4.997599546858425e-05, 'epoch': 0.22}
{'loss': 0.258, 'grad_norm': 9.028035055057783, 'learning_rate': 4.997067694496323e-05, 'epoch': 0.23}
{'loss': 0.2839, 'grad_norm': 11.654870703892746, 'learning_rate': 4.996482700480223e-05, 'epoch': 0.23}
{'loss': 0.2739, 'grad_norm': 12.552837104493301, 'learning_rate': 4.9958445772597456e-05, 'epoch': 0.24}
{'loss': 0.4829, 'grad_norm': 26.128738215686713, 'learning_rate': 4.9951533384151906e-05, 'epoch': 0.25}
{'loss': 0.2813, 'grad_norm': 9.529035125519247, 'learning_rate': 4.9944089986572415e-05, 'epoch': 0.26}
{'loss': 0.2762, 'grad_norm': 18.33703233259279, 'learning_rate': 4.9936115738266563e-05, 'epoch': 0.26}
{'loss': 0.3425, 'grad_norm': 18.883671724960234, 'learning_rate': 4.992761080893932e-05, 'epoch': 0.27}
{'loss': 0.2274, 'grad_norm': 17.548885456226643, 'learning_rate': 4.9918575379589364e-05, 'epoch': 0.28}
{'loss': 0.2345, 'grad_norm': 10.096262963099598, 'learning_rate': 4.99090096425053e-05, 'epoch': 0.28}
{'loss': 0.352, 'grad_norm': 13.980249853667479, 'learning_rate': 4.989891380126156e-05, 'epoch': 0.29}
{'loss': 0.3529, 'grad_norm': 16.151213655621607, 'learning_rate': 4.988828807071402e-05, 'epoch': 0.3}
{'loss': 0.347, 'grad_norm': 10.027891098869445, 'learning_rate': 4.987713267699547e-05, 'epoch': 0.31}
{'loss': 0.2692, 'grad_norm': 18.857061317784513, 'learning_rate': 4.986544785751081e-05, 'epoch': 0.31}
{'loss': 0.3192, 'grad_norm': 10.374158751850421, 'learning_rate': 4.985323386093196e-05, 'epoch': 0.32}
{'loss': 0.3879, 'grad_norm': 9.712595562133773, 'learning_rate': 4.98404909471926e-05, 'epoch': 0.33}
{'loss': 0.2494, 'grad_norm': 11.474015247717153, 'learning_rate': 4.982721938748261e-05, 'epoch': 0.33}
{'loss': 0.3685, 'grad_norm': 11.8589340570792, 'learning_rate': 4.981341946424233e-05, 'epoch': 0.34}
