Parameter Offload - Persistent parameters statistics: param_count = 487, numel = 2000064
                                                                                                               
{'loss': 7.1927, 'grad_norm': 4589.887765405398, 'learning_rate': 1.7857142857142857e-06, 'epoch': 0.01}
{'loss': 8.17, 'grad_norm': 11327.006602317808, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.02}
{'loss': 6.5139, 'grad_norm': 1210.7836466490287, 'learning_rate': 5.357142857142857e-06, 'epoch': 0.03}
{'loss': 5.2429, 'grad_norm': 545.7063731393598, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.04}
{'loss': 4.1426, 'grad_norm': 563.3244680450166, 'learning_rate': 8.92857142857143e-06, 'epoch': 0.05}
{'loss': 4.5529, 'grad_norm': 330.3256336564601, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.06}
{'loss': 3.9831, 'grad_norm': 284.44188143068266, 'learning_rate': 1.25e-05, 'epoch': 0.08}
{'loss': 3.4627, 'grad_norm': 265.2894270076549, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.09}
{'loss': 2.5345, 'grad_norm': 184.1581921071089, 'learning_rate': 1.6071428571428572e-05, 'epoch': 0.1}
{'loss': 2.5946, 'grad_norm': 153.21910171207912, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.11}
{'loss': 3.5337, 'grad_norm': 244.7786331162765, 'learning_rate': 1.9642857142857145e-05, 'epoch': 0.12}
{'loss': 3.1311, 'grad_norm': 290.5850255563935, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.13}
{'loss': 3.3069, 'grad_norm': 238.81750739786574, 'learning_rate': 2.3214285714285715e-05, 'epoch': 0.14}
{'loss': 2.8327, 'grad_norm': 198.70030527207547, 'learning_rate': 2.5e-05, 'epoch': 0.15}
{'loss': 3.4448, 'grad_norm': 327.2708174749931, 'learning_rate': 2.6785714285714288e-05, 'epoch': 0.16}
{'loss': 3.0713, 'grad_norm': 144.48487787025053, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.17}
{'loss': 2.6162, 'grad_norm': 196.10010778227178, 'learning_rate': 3.0357142857142857e-05, 'epoch': 0.18}
{'loss': 3.0897, 'grad_norm': 166.45953725312611, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.19}
{'loss': 3.0217, 'grad_norm': 143.62766180696616, 'learning_rate': 3.392857142857143e-05, 'epoch': 0.21}
