Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                             
{'loss': 5.2684, 'grad_norm': 207.07649607321204, 'learning_rate': 1.7857142857142857e-06, 'epoch': 0.01}
{'loss': 5.9546, 'grad_norm': 221.4404381508086, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.02}
{'loss': 4.9826, 'grad_norm': 228.31867299390143, 'learning_rate': 5.357142857142857e-06, 'epoch': 0.03}
{'loss': 4.9811, 'grad_norm': 189.5972861219652, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.04}
{'loss': 3.7381, 'grad_norm': 186.89420466038973, 'learning_rate': 8.92857142857143e-06, 'epoch': 0.05}
{'loss': 3.2861, 'grad_norm': 184.0183242376121, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.06}
{'loss': 2.0343, 'grad_norm': 82.97164727030085, 'learning_rate': 1.25e-05, 'epoch': 0.08}
{'loss': 1.494, 'grad_norm': 67.61065104632148, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.09}
{'loss': 1.6786, 'grad_norm': 74.66248046594558, 'learning_rate': 1.6071428571428572e-05, 'epoch': 0.1}
{'loss': 1.3819, 'grad_norm': 47.5895976144267, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.11}
{'loss': 1.5653, 'grad_norm': 64.1082577805795, 'learning_rate': 1.9642857142857145e-05, 'epoch': 0.12}
{'loss': 1.497, 'grad_norm': 62.58726164219382, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.13}
{'loss': 1.4638, 'grad_norm': 56.132906394401026, 'learning_rate': 2.3214285714285715e-05, 'epoch': 0.14}
{'loss': 1.5676, 'grad_norm': 64.5988596119621, 'learning_rate': 2.5e-05, 'epoch': 0.15}
{'loss': 1.6105, 'grad_norm': 66.66498448700158, 'learning_rate': 2.6785714285714288e-05, 'epoch': 0.16}
{'loss': 1.475, 'grad_norm': 57.01066207517417, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.17}
{'loss': 1.3066, 'grad_norm': 76.01155378772569, 'learning_rate': 3.0357142857142857e-05, 'epoch': 0.18}
{'loss': 1.4997, 'grad_norm': 84.83810677630248, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.19}
{'loss': 1.5331, 'grad_norm': 60.194254387567746, 'learning_rate': 3.392857142857143e-05, 'epoch': 0.21}
{'loss': 1.2456, 'grad_norm': 80.24685671397687, 'learning_rate': 3.571428571428572e-05, 'epoch': 0.22}
{'loss': 1.4141, 'grad_norm': 51.077811968538285, 'learning_rate': 3.7500000000000003e-05, 'epoch': 0.23}
{'loss': 1.3186, 'grad_norm': 66.45003574211769, 'learning_rate': 3.928571428571429e-05, 'epoch': 0.24}
{'loss': 1.5826, 'grad_norm': 64.82898641619322, 'learning_rate': 4.107142857142857e-05, 'epoch': 0.25}
{'loss': 1.3217, 'grad_norm': 55.63689403765126, 'learning_rate': 4.2857142857142856e-05, 'epoch': 0.26}
