Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 1.3291, 'grad_norm': 56.284874145522025, 'learning_rate': 1.7857142857142857e-06, 'epoch': 0.01}
{'loss': 1.4046, 'grad_norm': 54.52220875036294, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.02}
{'loss': 1.1335, 'grad_norm': 48.64854297925239, 'learning_rate': 5.357142857142857e-06, 'epoch': 0.03}
{'loss': 1.1802, 'grad_norm': 39.82426976647888, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.04}
{'loss': 0.9121, 'grad_norm': 35.18329736503568, 'learning_rate': 8.92857142857143e-06, 'epoch': 0.05}
{'loss': 0.9125, 'grad_norm': 30.012339580685545, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.06}
{'loss': 0.6591, 'grad_norm': 24.450000067488684, 'learning_rate': 1.25e-05, 'epoch': 0.08}
{'loss': 0.6001, 'grad_norm': 20.35184701534963, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.09}
{'loss': 0.6, 'grad_norm': 19.97864147908708, 'learning_rate': 1.6071428571428572e-05, 'epoch': 0.1}
{'loss': 0.5022, 'grad_norm': 19.11013999006922, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.11}
{'loss': 0.6821, 'grad_norm': 29.418691198484943, 'learning_rate': 1.9642857142857145e-05, 'epoch': 0.12}
{'loss': 0.587, 'grad_norm': 27.73549141947412, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.13}
{'loss': 0.6308, 'grad_norm': 22.64975744703368, 'learning_rate': 2.3214285714285715e-05, 'epoch': 0.14}
{'loss': 0.5965, 'grad_norm': 26.961745027161893, 'learning_rate': 2.5e-05, 'epoch': 0.15}
{'loss': 0.6869, 'grad_norm': 26.825055247843736, 'learning_rate': 2.6785714285714288e-05, 'epoch': 0.16}
{'loss': 0.5938, 'grad_norm': 21.566407580559726, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.17}
