Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 1.315, 'grad_norm': 51.64828849671363, 'learning_rate': 1.8005540166204989e-06, 'epoch': 0.01}
{'loss': 1.13, 'grad_norm': 44.55203596646367, 'learning_rate': 3.6011080332409978e-06, 'epoch': 0.02}
{'loss': 0.8449, 'grad_norm': 26.48462766375393, 'learning_rate': 5.401662049861496e-06, 'epoch': 0.03}
{'loss': 0.6945, 'grad_norm': 31.445620702375447, 'learning_rate': 7.2022160664819955e-06, 'epoch': 0.04}
{'loss': 0.6738, 'grad_norm': 22.214725229172235, 'learning_rate': 9.002770083102493e-06, 'epoch': 0.05}
{'loss': 0.6717, 'grad_norm': 28.833676915459197, 'learning_rate': 1.0803324099722992e-05, 'epoch': 0.06}
{'loss': 0.6642, 'grad_norm': 24.959639629238, 'learning_rate': 1.260387811634349e-05, 'epoch': 0.08}
{'loss': 0.6631, 'grad_norm': 24.41753051711507, 'learning_rate': 1.4404432132963991e-05, 'epoch': 0.09}
{'loss': 0.6297, 'grad_norm': 27.84471100209552, 'learning_rate': 1.620498614958449e-05, 'epoch': 0.1}
{'loss': 0.6335, 'grad_norm': 28.18210516977452, 'learning_rate': 1.8005540166204986e-05, 'epoch': 0.11}
{'loss': 0.6403, 'grad_norm': 28.539928700896606, 'learning_rate': 1.9806094182825486e-05, 'epoch': 0.12}
{'loss': 0.6353, 'grad_norm': 25.545254224160864, 'learning_rate': 2.1606648199445985e-05, 'epoch': 0.13}
{'loss': 0.6283, 'grad_norm': 29.027734289862085, 'learning_rate': 2.3407202216066484e-05, 'epoch': 0.14}
{'loss': 0.6523, 'grad_norm': 24.043142007844047, 'learning_rate': 2.520775623268698e-05, 'epoch': 0.15}
{'loss': 0.6472, 'grad_norm': 29.34469140405342, 'learning_rate': 2.700831024930748e-05, 'epoch': 0.16}
{'loss': 0.6584, 'grad_norm': 23.144634835677465, 'learning_rate': 2.8808864265927982e-05, 'epoch': 0.17}
{'loss': 0.6345, 'grad_norm': 21.125703267843445, 'learning_rate': 3.060941828254848e-05, 'epoch': 0.18}
{'loss': 0.6373, 'grad_norm': 19.832277739757178, 'learning_rate': 3.240997229916898e-05, 'epoch': 0.19}
{'loss': 0.6198, 'grad_norm': 31.148827170140866, 'learning_rate': 3.421052631578947e-05, 'epoch': 0.21}
{'loss': 0.6167, 'grad_norm': 19.669354882585885, 'learning_rate': 3.601108033240997e-05, 'epoch': 0.22}
{'loss': 0.5926, 'grad_norm': 28.225178224645596, 'learning_rate': 3.781163434903047e-05, 'epoch': 0.23}
{'loss': 0.6074, 'grad_norm': 21.19435187795425, 'learning_rate': 3.961218836565097e-05, 'epoch': 0.24}
{'loss': 0.6439, 'grad_norm': 19.80971434189183, 'learning_rate': 4.141274238227147e-05, 'epoch': 0.25}
{'loss': 0.6292, 'grad_norm': 20.758418910080426, 'learning_rate': 4.321329639889197e-05, 'epoch': 0.26}
{'loss': 0.5722, 'grad_norm': 22.98841855197571, 'learning_rate': 4.501385041551246e-05, 'epoch': 0.27}
{'loss': 0.6079, 'grad_norm': 24.677842180455258, 'learning_rate': 4.681440443213297e-05, 'epoch': 0.28}
{'loss': 0.5654, 'grad_norm': 21.508793129081855, 'learning_rate': 4.861495844875347e-05, 'epoch': 0.29}
{'loss': 0.5912, 'grad_norm': 22.31963978238977, 'learning_rate': 4.999999184573231e-05, 'epoch': 0.3}
{'loss': 0.5634, 'grad_norm': 23.898906997743797, 'learning_rate': 4.999976805673171e-05, 'epoch': 0.31}
{'loss': 0.5733, 'grad_norm': 18.99679552808191, 'learning_rate': 4.9999238032814955e-05, 'epoch': 0.32}
{'loss': 0.6235, 'grad_norm': 23.02388816959356, 'learning_rate': 4.999840178047457e-05, 'epoch': 0.33}
{'loss': 0.5725, 'grad_norm': 23.490263476970817, 'learning_rate': 4.9997259309954256e-05, 'epoch': 0.35}
{'loss': 0.575, 'grad_norm': 20.845752308540664, 'learning_rate': 4.99958106352487e-05, 'epoch': 0.36}
{'loss': 0.5729, 'grad_norm': 21.929863223067912, 'learning_rate': 4.9994055774103465e-05, 'epoch': 0.37}
{'loss': 0.5568, 'grad_norm': 19.48634369839385, 'learning_rate': 4.999199474801474e-05, 'epoch': 0.38}
{'loss': 0.6093, 'grad_norm': 24.626367785939177, 'learning_rate': 4.998962758222908e-05, 'epoch': 0.39}
{'loss': 0.5512, 'grad_norm': 24.09819863416843, 'learning_rate': 4.9986954305743124e-05, 'epoch': 0.4}
{'loss': 0.4913, 'grad_norm': 22.31022947139871, 'learning_rate': 4.998397495130318e-05, 'epoch': 0.41}
{'loss': 0.5557, 'grad_norm': 18.780882775185447, 'learning_rate': 4.998068955540489e-05, 'epoch': 0.42}
{'loss': 0.5611, 'grad_norm': 28.283890724066218, 'learning_rate': 4.997709815829274e-05, 'epoch': 0.43}
{'loss': 0.5196, 'grad_norm': 23.040700111822808, 'learning_rate': 4.997320080395959e-05, 'epoch': 0.44}
{'loss': 0.4846, 'grad_norm': 19.225889080096934, 'learning_rate': 4.996899754014612e-05, 'epoch': 0.45}
{'loss': 0.5069, 'grad_norm': 17.33573636786772, 'learning_rate': 4.996448841834026e-05, 'epoch': 0.46}
{'loss': 0.4885, 'grad_norm': 15.227042103442896, 'learning_rate': 4.995967349377654e-05, 'epoch': 0.48}
