Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 1.8266, 'grad_norm': 114.36929831994087, 'learning_rate': 1.9337016574585635e-06, 'epoch': 0.01}
{'loss': 1.6224, 'grad_norm': 61.3775598293063, 'learning_rate': 3.867403314917127e-06, 'epoch': 0.01}
{'loss': 1.2941, 'grad_norm': 48.06820935722491, 'learning_rate': 5.8011049723756905e-06, 'epoch': 0.02}
{'loss': 0.9147, 'grad_norm': 32.38779462870986, 'learning_rate': 7.734806629834254e-06, 'epoch': 0.02}
{'loss': 0.7224, 'grad_norm': 34.747197918034836, 'learning_rate': 9.66850828729282e-06, 'epoch': 0.03}
{'loss': 0.6966, 'grad_norm': 24.91457532593174, 'learning_rate': 1.1602209944751381e-05, 'epoch': 0.03}
{'loss': 0.6618, 'grad_norm': 24.735832587635358, 'learning_rate': 1.3535911602209945e-05, 'epoch': 0.04}
{'loss': 0.6314, 'grad_norm': 25.12221032091178, 'learning_rate': 1.5469613259668508e-05, 'epoch': 0.05}
{'loss': 0.7007, 'grad_norm': 23.828731140284372, 'learning_rate': 1.7403314917127073e-05, 'epoch': 0.05}
{'loss': 0.6645, 'grad_norm': 25.53111734183357, 'learning_rate': 1.933701657458564e-05, 'epoch': 0.06}
{'loss': 0.7017, 'grad_norm': 23.972629504772172, 'learning_rate': 2.12707182320442e-05, 'epoch': 0.06}
{'loss': 0.6976, 'grad_norm': 24.75187692975401, 'learning_rate': 2.3204419889502762e-05, 'epoch': 0.07}
{'loss': 0.6614, 'grad_norm': 24.21332536593736, 'learning_rate': 2.513812154696133e-05, 'epoch': 0.08}
{'loss': 0.6904, 'grad_norm': 29.199236681593902, 'learning_rate': 2.707182320441989e-05, 'epoch': 0.08}
{'loss': 0.6879, 'grad_norm': 22.61939757202803, 'learning_rate': 2.900552486187845e-05, 'epoch': 0.09}
{'loss': 0.6602, 'grad_norm': 21.602857244253933, 'learning_rate': 3.0939226519337016e-05, 'epoch': 0.09}
{'loss': 0.6574, 'grad_norm': 23.27760197308395, 'learning_rate': 3.287292817679558e-05, 'epoch': 0.1}
{'loss': 0.6909, 'grad_norm': 23.02696120016732, 'learning_rate': 3.4806629834254147e-05, 'epoch': 0.1}
{'loss': 0.6633, 'grad_norm': 25.76488155215164, 'learning_rate': 3.674033149171271e-05, 'epoch': 0.11}
{'loss': 0.6543, 'grad_norm': 21.426039524877815, 'learning_rate': 3.867403314917128e-05, 'epoch': 0.12}
{'loss': 0.6801, 'grad_norm': 21.28049343626736, 'learning_rate': 4.0607734806629835e-05, 'epoch': 0.12}
{'loss': 0.6905, 'grad_norm': 20.261966115050566, 'learning_rate': 4.25414364640884e-05, 'epoch': 0.13}
{'loss': 0.6303, 'grad_norm': 21.09090137385943, 'learning_rate': 4.447513812154696e-05, 'epoch': 0.13}
{'loss': 0.6748, 'grad_norm': 21.70601291972529, 'learning_rate': 4.6408839779005524e-05, 'epoch': 0.14}
{'loss': 0.6798, 'grad_norm': 26.49184783210586, 'learning_rate': 4.834254143646409e-05, 'epoch': 0.15}
{'loss': 0.6716, 'grad_norm': 19.99209327589585, 'learning_rate': 4.999999637525968e-05, 'epoch': 0.15}
{'loss': 0.6842, 'grad_norm': 19.782480329119615, 'learning_rate': 4.99997680169729e-05, 'epoch': 0.16}
{'loss': 0.6656, 'grad_norm': 23.668489847439886, 'learning_rate': 4.999918443784337e-05, 'epoch': 0.16}
{'loss': 0.6964, 'grad_norm': 26.08807498327262, 'learning_rate': 4.9998245646163124e-05, 'epoch': 0.17}
{'loss': 0.7, 'grad_norm': 32.180562120499644, 'learning_rate': 4.999695165527143e-05, 'epoch': 0.17}
{'loss': 0.6343, 'grad_norm': 29.297670423674038, 'learning_rate': 4.999530248355456e-05, 'epoch': 0.18}
{'loss': 0.6991, 'grad_norm': 27.740759420817778, 'learning_rate': 4.9993298154445544e-05, 'epoch': 0.19}
{'loss': 0.7174, 'grad_norm': 18.189224938450987, 'learning_rate': 4.999093869642383e-05, 'epoch': 0.19}
{'loss': 0.6547, 'grad_norm': 19.96923165762929, 'learning_rate': 4.998822414301485e-05, 'epoch': 0.2}
{'loss': 0.6662, 'grad_norm': 19.277651385567726, 'learning_rate': 4.9985154532789624e-05, 'epoch': 0.2}
{'loss': 0.6806, 'grad_norm': 16.999220405941305, 'learning_rate': 4.998172990936413e-05, 'epoch': 0.21}
{'loss': 0.6658, 'grad_norm': 14.961972864040751, 'learning_rate': 4.997795032139873e-05, 'epoch': 0.22}
{'loss': 0.6767, 'grad_norm': 13.356224952639458, 'learning_rate': 4.997381582259745e-05, 'epoch': 0.22}
{'loss': 0.6593, 'grad_norm': 17.535139572314776, 'learning_rate': 4.996932647170725e-05, 'epoch': 0.23}
{'loss': 0.6628, 'grad_norm': 13.099328960745614, 'learning_rate': 4.9964482332517146e-05, 'epoch': 0.23}
{'loss': 0.6766, 'grad_norm': 14.051824565148976, 'learning_rate': 4.995928347385736e-05, 'epoch': 0.24}
{'loss': 0.6689, 'grad_norm': 17.501134051383946, 'learning_rate': 4.99537299695983e-05, 'epoch': 0.24}
{'loss': 0.656, 'grad_norm': 16.21200380709762, 'learning_rate': 4.9947821898649496e-05, 'epoch': 0.25}
{'loss': 0.6608, 'grad_norm': 17.852388466225964, 'learning_rate': 4.994155934495854e-05, 'epoch': 0.26}
{'loss': 0.664, 'grad_norm': 15.082363336964795, 'learning_rate': 4.993494239750985e-05, 'epoch': 0.26}
{'loss': 0.6585, 'grad_norm': 18.329653666955082, 'learning_rate': 4.9927971150323385e-05, 'epoch': 0.27}
{'loss': 0.6633, 'grad_norm': 17.16957846913787, 'learning_rate': 4.992064570245337e-05, 'epoch': 0.27}
{'loss': 0.6761, 'grad_norm': 16.516319497382767, 'learning_rate': 4.991296615798683e-05, 'epoch': 0.28}
{'loss': 0.6646, 'grad_norm': 19.922325588732225, 'learning_rate': 4.990493262604216e-05, 'epoch': 0.29}
{'loss': 0.6499, 'grad_norm': 15.980362728589023, 'learning_rate': 4.9896545220767525e-05, 'epoch': 0.29}
{'loss': 0.6736, 'grad_norm': 15.429935538235659, 'learning_rate': 4.988780406133929e-05, 'epoch': 0.3}
{'loss': 0.6726, 'grad_norm': 13.666855373985943, 'learning_rate': 4.987870927196029e-05, 'epoch': 0.3}
{'loss': 0.6613, 'grad_norm': 12.455674434962269, 'learning_rate': 4.986926098185806e-05, 'epoch': 0.31}
