Parameter Offload - Persistent parameters statistics: param_count = 487, numel = 2000064
                                                                                                   
{'loss': 4.1589, 'grad_norm': 180.56548939506845, 'learning_rate': 6.920415224913496e-07, 'epoch': 0.01}
{'loss': 4.4303, 'grad_norm': 277.80772220108014, 'learning_rate': 1.3840830449826992e-06, 'epoch': 0.02}
{'loss': 4.0501, 'grad_norm': 181.1501598734473, 'learning_rate': 2.0761245674740485e-06, 'epoch': 0.02}
{'loss': 2.667, 'grad_norm': 109.80991323522667, 'learning_rate': 2.7681660899653983e-06, 'epoch': 0.03}
{'loss': 2.1444, 'grad_norm': 111.24663356303351, 'learning_rate': 3.4602076124567473e-06, 'epoch': 0.04}
{'loss': 1.7098, 'grad_norm': 80.03940524275308, 'learning_rate': 4.152249134948097e-06, 'epoch': 0.05}
{'loss': 1.7499, 'grad_norm': 71.1337484952172, 'learning_rate': 4.8442906574394464e-06, 'epoch': 0.06}
{'loss': 1.7138, 'grad_norm': 90.26687625929164, 'learning_rate': 5.536332179930797e-06, 'epoch': 0.07}
{'loss': 1.6659, 'grad_norm': 69.62064170077441, 'learning_rate': 6.228373702422146e-06, 'epoch': 0.07}
{'loss': 1.7158, 'grad_norm': 94.7531382396311, 'learning_rate': 6.9204152249134946e-06, 'epoch': 0.08}
{'loss': 1.6555, 'grad_norm': 67.5281794902826, 'learning_rate': 7.612456747404845e-06, 'epoch': 0.09}
{'loss': 1.6784, 'grad_norm': 68.47014712377411, 'learning_rate': 8.304498269896194e-06, 'epoch': 0.1}
{'loss': 1.6194, 'grad_norm': 77.7828485937004, 'learning_rate': 8.996539792387544e-06, 'epoch': 0.11}
{'loss': 1.6111, 'grad_norm': 66.04894352262616, 'learning_rate': 9.688581314878893e-06, 'epoch': 0.12}
{'loss': 1.6451, 'grad_norm': 57.04455617113849, 'learning_rate': 1.0380622837370241e-05, 'epoch': 0.12}
{'loss': 1.6586, 'grad_norm': 74.06043116393542, 'learning_rate': 1.1072664359861593e-05, 'epoch': 0.13}
{'loss': 1.6796, 'grad_norm': 54.26993488863713, 'learning_rate': 1.1764705882352942e-05, 'epoch': 0.14}
{'loss': 1.6299, 'grad_norm': 51.47560201780407, 'learning_rate': 1.2456747404844292e-05, 'epoch': 0.15}
{'loss': 1.6907, 'grad_norm': 67.56749836323858, 'learning_rate': 1.314878892733564e-05, 'epoch': 0.16}
{'loss': 1.6516, 'grad_norm': 51.53773714400224, 'learning_rate': 1.3840830449826989e-05, 'epoch': 0.17}
{'loss': 1.6874, 'grad_norm': 66.97416408038663, 'learning_rate': 1.4532871972318341e-05, 'epoch': 0.17}
{'loss': 1.614, 'grad_norm': 51.80975848648291, 'learning_rate': 1.522491349480969e-05, 'epoch': 0.18}
{'loss': 1.7043, 'grad_norm': 54.775525345507056, 'learning_rate': 1.5916955017301038e-05, 'epoch': 0.19}
{'loss': 1.6506, 'grad_norm': 50.51079453379395, 'learning_rate': 1.6608996539792388e-05, 'epoch': 0.2}
{'loss': 1.6267, 'grad_norm': 47.70632712006002, 'learning_rate': 1.730103806228374e-05, 'epoch': 0.21}
{'loss': 1.6514, 'grad_norm': 48.25972155667248, 'learning_rate': 1.799307958477509e-05, 'epoch': 0.22}
{'loss': 1.6799, 'grad_norm': 42.864692302357575, 'learning_rate': 1.868512110726644e-05, 'epoch': 0.22}
{'loss': 1.6512, 'grad_norm': 44.33618386995747, 'learning_rate': 1.9377162629757786e-05, 'epoch': 0.23}
{'loss': 1.6667, 'grad_norm': 43.993344821701186, 'learning_rate': 1.9999999433707122e-05, 'epoch': 0.24}
{'loss': 1.6421, 'grad_norm': 46.27777804164382, 'learning_rate': 1.999993147863916e-05, 'epoch': 0.25}
{'loss': 1.6259, 'grad_norm': 59.1816328669488, 'learning_rate': 1.999975026587715e-05, 'epoch': 0.26}
{'loss': 1.6462, 'grad_norm': 45.97546638944424, 'learning_rate': 1.9999455797473474e-05, 'epoch': 0.27}
{'loss': 1.6414, 'grad_norm': 49.505193693571314, 'learning_rate': 1.9999048076763236e-05, 'epoch': 0.27}
{'loss': 1.6725, 'grad_norm': 46.92675728940047, 'learning_rate': 1.999852710836422e-05, 'epoch': 0.28}
{'loss': 1.6097, 'grad_norm': 48.33759891505335, 'learning_rate': 1.9997892898176836e-05, 'epoch': 0.29}
{'loss': 1.7102, 'grad_norm': 52.10533934971174, 'learning_rate': 1.9997145453384046e-05, 'epoch': 0.3}
{'loss': 1.6513, 'grad_norm': 74.1827940444225, 'learning_rate': 1.99962847824513e-05, 'epoch': 0.31}
{'loss': 1.6356, 'grad_norm': 61.061588909781804, 'learning_rate': 1.9995310895126426e-05, 'epoch': 0.32}
{'loss': 1.6697, 'grad_norm': 45.883290720284606, 'learning_rate': 1.9994223802439517e-05, 'epoch': 0.32}
{'loss': 1.6258, 'grad_norm': 39.008095080019075, 'learning_rate': 1.9993023516702826e-05, 'epoch': 0.33}
{'loss': 1.6227, 'grad_norm': 37.157725445283646, 'learning_rate': 1.9991710051510602e-05, 'epoch': 0.34}
{'loss': 1.7143, 'grad_norm': 47.21131981802018, 'learning_rate': 1.9990283421738952e-05, 'epoch': 0.35}
{'loss': 1.6751, 'grad_norm': 33.86471224357265, 'learning_rate': 1.9988743643545663e-05, 'epoch': 0.36}
{'loss': 1.6246, 'grad_norm': 44.73143871182346, 'learning_rate': 1.9987090734370033e-05, 'epoch': 0.37}
{'loss': 1.6611, 'grad_norm': 36.378950380543024, 'learning_rate': 1.998532471293265e-05, 'epoch': 0.37}
{'loss': 1.6099, 'grad_norm': 36.99230453998832, 'learning_rate': 1.998344559923521e-05, 'epoch': 0.38}
{'loss': 1.7033, 'grad_norm': 47.62979988151482, 'learning_rate': 1.998145341456027e-05, 'epoch': 0.39}
