Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.454, 'grad_norm': 200.12347253074142, 'learning_rate': 3.1152647975077885e-07, 'epoch': 0.01}
{'loss': 4.3095, 'grad_norm': 315.03368021264004, 'learning_rate': 6.230529595015577e-07, 'epoch': 0.02}
{'loss': 4.1998, 'grad_norm': 314.38717731888204, 'learning_rate': 9.345794392523365e-07, 'epoch': 0.02}
{'loss': 3.473, 'grad_norm': 155.75981531023265, 'learning_rate': 1.2461059190031154e-06, 'epoch': 0.03}
{'loss': 3.4819, 'grad_norm': 294.8924647505924, 'learning_rate': 1.5576323987538942e-06, 'epoch': 0.04}
{'loss': 2.3764, 'grad_norm': 103.87135110984184, 'learning_rate': 1.869158878504673e-06, 'epoch': 0.05}
{'loss': 2.2815, 'grad_norm': 92.4955299250713, 'learning_rate': 2.1806853582554518e-06, 'epoch': 0.06}
{'loss': 1.9171, 'grad_norm': 91.94713978036174, 'learning_rate': 2.4922118380062308e-06, 'epoch': 0.07}
{'loss': 1.7883, 'grad_norm': 72.51066310977222, 'learning_rate': 2.8037383177570094e-06, 'epoch': 0.07}
{'loss': 1.741, 'grad_norm': 96.71545026763799, 'learning_rate': 3.1152647975077884e-06, 'epoch': 0.08}
{'loss': 1.7412, 'grad_norm': 70.87492329075071, 'learning_rate': 3.426791277258567e-06, 'epoch': 0.09}
{'loss': 1.6925, 'grad_norm': 76.57156054202382, 'learning_rate': 3.738317757009346e-06, 'epoch': 0.1}
{'loss': 1.6239, 'grad_norm': 86.18771769590327, 'learning_rate': 4.0498442367601245e-06, 'epoch': 0.11}
{'loss': 1.6616, 'grad_norm': 74.21890692476177, 'learning_rate': 4.3613707165109035e-06, 'epoch': 0.12}
{'loss': 1.6442, 'grad_norm': 68.19625527789503, 'learning_rate': 4.672897196261682e-06, 'epoch': 0.12}
{'loss': 1.6578, 'grad_norm': 83.03909296601051, 'learning_rate': 4.9844236760124615e-06, 'epoch': 0.13}
{'loss': 1.6952, 'grad_norm': 68.84486013404847, 'learning_rate': 5.29595015576324e-06, 'epoch': 0.14}
{'loss': 1.6619, 'grad_norm': 63.24055602165238, 'learning_rate': 5.607476635514019e-06, 'epoch': 0.15}
{'loss': 1.6924, 'grad_norm': 79.62862488642607, 'learning_rate': 5.919003115264798e-06, 'epoch': 0.16}
{'loss': 1.6935, 'grad_norm': 61.846142113861845, 'learning_rate': 6.230529595015577e-06, 'epoch': 0.17}
{'loss': 1.7174, 'grad_norm': 84.40720183343532, 'learning_rate': 6.542056074766355e-06, 'epoch': 0.17}
{'loss': 1.6393, 'grad_norm': 58.595350500262676, 'learning_rate': 6.853582554517134e-06, 'epoch': 0.18}
{'loss': 1.677, 'grad_norm': 57.40561977670502, 'learning_rate': 7.165109034267913e-06, 'epoch': 0.19}
{'loss': 1.6789, 'grad_norm': 55.98408444967732, 'learning_rate': 7.476635514018692e-06, 'epoch': 0.2}
{'loss': 1.6179, 'grad_norm': 56.76371066900992, 'learning_rate': 7.78816199376947e-06, 'epoch': 0.21}
{'loss': 1.6226, 'grad_norm': 58.12667989996564, 'learning_rate': 8.099688473520249e-06, 'epoch': 0.22}
{'loss': 1.6629, 'grad_norm': 52.072498875428785, 'learning_rate': 8.411214953271028e-06, 'epoch': 0.22}
{'loss': 1.6394, 'grad_norm': 58.533328173604616, 'learning_rate': 8.722741433021807e-06, 'epoch': 0.23}
{'loss': 1.64, 'grad_norm': 59.04450854538414, 'learning_rate': 9.034267912772586e-06, 'epoch': 0.24}
{'loss': 1.6466, 'grad_norm': 58.44925176569891, 'learning_rate': 9.345794392523363e-06, 'epoch': 0.25}
{'loss': 1.6552, 'grad_norm': 70.23454746189664, 'learning_rate': 9.657320872274144e-06, 'epoch': 0.26}
{'loss': 1.6505, 'grad_norm': 56.403117516238424, 'learning_rate': 9.968847352024923e-06, 'epoch': 0.27}
{'loss': 1.6288, 'grad_norm': 57.7896948435039, 'learning_rate': 1.02803738317757e-05, 'epoch': 0.27}
{'loss': 1.6508, 'grad_norm': 56.384499231269515, 'learning_rate': 1.059190031152648e-05, 'epoch': 0.28}
{'loss': 1.6245, 'grad_norm': 53.248577678038906, 'learning_rate': 1.090342679127726e-05, 'epoch': 0.29}
{'loss': 1.7079, 'grad_norm': 53.42050165343503, 'learning_rate': 1.1214953271028037e-05, 'epoch': 0.3}
{'loss': 1.6636, 'grad_norm': 65.75822860119308, 'learning_rate': 1.1526479750778816e-05, 'epoch': 0.31}
{'loss': 1.6089, 'grad_norm': 53.31386770747031, 'learning_rate': 1.1838006230529595e-05, 'epoch': 0.32}
{'loss': 1.6722, 'grad_norm': 51.41075242544717, 'learning_rate': 1.2149532710280374e-05, 'epoch': 0.32}
{'loss': 1.6307, 'grad_norm': 54.670915999622615, 'learning_rate': 1.2461059190031153e-05, 'epoch': 0.33}
{'loss': 1.6453, 'grad_norm': 58.68670565289801, 'learning_rate': 1.277258566978193e-05, 'epoch': 0.34}
{'loss': 1.7229, 'grad_norm': 66.81245621137542, 'learning_rate': 1.308411214953271e-05, 'epoch': 0.35}
{'loss': 1.6665, 'grad_norm': 48.97221881591919, 'learning_rate': 1.339563862928349e-05, 'epoch': 0.36}
{'loss': 1.6493, 'grad_norm': 60.87550475621672, 'learning_rate': 1.3707165109034268e-05, 'epoch': 0.37}
{'loss': 1.6388, 'grad_norm': 51.427920295816875, 'learning_rate': 1.4018691588785047e-05, 'epoch': 0.37}
{'loss': 1.5975, 'grad_norm': 48.44119220313309, 'learning_rate': 1.4330218068535826e-05, 'epoch': 0.38}
{'loss': 1.6388, 'grad_norm': 47.906082436419034, 'learning_rate': 1.4641744548286605e-05, 'epoch': 0.39}
{'loss': 1.6468, 'grad_norm': 51.53940952873826, 'learning_rate': 1.4953271028037384e-05, 'epoch': 0.4}
{'loss': 1.6712, 'grad_norm': 50.77325978074322, 'learning_rate': 1.5264797507788163e-05, 'epoch': 0.41}
{'loss': 1.6553, 'grad_norm': 53.26109122678046, 'learning_rate': 1.557632398753894e-05, 'epoch': 0.42}
{'loss': 1.6838, 'grad_norm': 54.79915864854859, 'learning_rate': 1.5887850467289717e-05, 'epoch': 0.42}
{'loss': 1.6254, 'grad_norm': 67.80073167184848, 'learning_rate': 1.6199376947040498e-05, 'epoch': 0.43}
{'loss': 1.651, 'grad_norm': 49.836035120010294, 'learning_rate': 1.651090342679128e-05, 'epoch': 0.44}
{'loss': 1.5902, 'grad_norm': 48.58093141750699, 'learning_rate': 1.6822429906542056e-05, 'epoch': 0.45}
{'loss': 1.6216, 'grad_norm': 46.27248299901687, 'learning_rate': 1.7133956386292837e-05, 'epoch': 0.46}
{'loss': 1.6849, 'grad_norm': 42.99107553012991, 'learning_rate': 1.7445482866043614e-05, 'epoch': 0.47}
{'loss': 1.6977, 'grad_norm': 43.24792221295777, 'learning_rate': 1.775700934579439e-05, 'epoch': 0.47}
{'loss': 1.6666, 'grad_norm': 41.974876577322746, 'learning_rate': 1.8068535825545172e-05, 'epoch': 0.48}
{'loss': 1.6639, 'grad_norm': 39.442681257779505, 'learning_rate': 1.838006230529595e-05, 'epoch': 0.49}
{'loss': 1.6708, 'grad_norm': 38.75407820296839, 'learning_rate': 1.8691588785046727e-05, 'epoch': 0.5}
{'loss': 1.6583, 'grad_norm': 51.797592017349245, 'learning_rate': 1.900311526479751e-05, 'epoch': 0.51}
{'loss': 1.6134, 'grad_norm': 52.54706822784063, 'learning_rate': 1.9314641744548288e-05, 'epoch': 0.52}
{'loss': 1.644, 'grad_norm': 54.21951668198961, 'learning_rate': 1.9626168224299065e-05, 'epoch': 0.52}
{'loss': 1.571, 'grad_norm': 45.71127849888575, 'learning_rate': 1.9937694704049846e-05, 'epoch': 0.53}
