Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
  0%|                                                                     | 0/9624 [00:00<?, ?it/s][34m[1mwandb[0m: Network error (ConnectionError), entering retry loop.
                                                                                                   
{'loss': 4.523, 'grad_norm': 233.31029913688465, 'learning_rate': 2.0768431983385257e-07, 'epoch': 0.01}
{'loss': 3.9566, 'grad_norm': 221.09804885456117, 'learning_rate': 4.1536863966770515e-07, 'epoch': 0.02}
{'loss': 3.4952, 'grad_norm': 164.9936623409706, 'learning_rate': 6.230529595015577e-07, 'epoch': 0.02}
{'loss': 3.5295, 'grad_norm': 164.8301932768981, 'learning_rate': 8.307372793354103e-07, 'epoch': 0.03}
{'loss': 4.2911, 'grad_norm': 181.32087275277902, 'learning_rate': 1.0384215991692628e-06, 'epoch': 0.04}
{'loss': 3.0675, 'grad_norm': 176.1515574826889, 'learning_rate': 1.2461059190031154e-06, 'epoch': 0.05}
{'loss': 2.7403, 'grad_norm': 225.80123763803198, 'learning_rate': 1.453790238836968e-06, 'epoch': 0.06}
{'loss': 2.7085, 'grad_norm': 124.30998143277618, 'learning_rate': 1.6614745586708206e-06, 'epoch': 0.07}
{'loss': 2.2585, 'grad_norm': 84.8065368536987, 'learning_rate': 1.869158878504673e-06, 'epoch': 0.07}
{'loss': 1.999, 'grad_norm': 98.51024924006238, 'learning_rate': 2.0768431983385256e-06, 'epoch': 0.08}
{'loss': 1.8281, 'grad_norm': 81.19066161777845, 'learning_rate': 2.284527518172378e-06, 'epoch': 0.09}
{'loss': 1.7132, 'grad_norm': 82.82509145784556, 'learning_rate': 2.4922118380062308e-06, 'epoch': 0.1}
{'loss': 1.7159, 'grad_norm': 99.77654544443705, 'learning_rate': 2.6998961578400836e-06, 'epoch': 0.11}
{'loss': 1.7043, 'grad_norm': 82.44375230335572, 'learning_rate': 2.907580477673936e-06, 'epoch': 0.12}
{'loss': 1.7502, 'grad_norm': 71.17813406929977, 'learning_rate': 3.1152647975077884e-06, 'epoch': 0.12}
{'loss': 1.7459, 'grad_norm': 92.54621537219325, 'learning_rate': 3.322949117341641e-06, 'epoch': 0.13}
{'loss': 1.7489, 'grad_norm': 73.7910757732523, 'learning_rate': 3.5306334371754936e-06, 'epoch': 0.14}
{'loss': 1.7738, 'grad_norm': 78.32423496346743, 'learning_rate': 3.738317757009346e-06, 'epoch': 0.15}
{'loss': 1.6729, 'grad_norm': 89.59293088423308, 'learning_rate': 3.946002076843199e-06, 'epoch': 0.16}
{'loss': 1.6573, 'grad_norm': 71.34765350336676, 'learning_rate': 4.153686396677051e-06, 'epoch': 0.17}
{'loss': 1.7593, 'grad_norm': 94.26060896034467, 'learning_rate': 4.3613707165109035e-06, 'epoch': 0.17}
{'loss': 1.696, 'grad_norm': 70.91316508469733, 'learning_rate': 4.569055036344756e-06, 'epoch': 0.18}
{'loss': 1.6722, 'grad_norm': 65.10421091957582, 'learning_rate': 4.776739356178609e-06, 'epoch': 0.19}
{'loss': 1.6599, 'grad_norm': 68.20397572823325, 'learning_rate': 4.9844236760124615e-06, 'epoch': 0.2}
{'loss': 1.6922, 'grad_norm': 69.727631373103, 'learning_rate': 5.192107995846314e-06, 'epoch': 0.21}
{'loss': 1.6616, 'grad_norm': 72.17872490425694, 'learning_rate': 5.399792315680167e-06, 'epoch': 0.22}
{'loss': 1.6318, 'grad_norm': 64.17961384927852, 'learning_rate': 5.607476635514019e-06, 'epoch': 0.22}
{'loss': 1.6351, 'grad_norm': 68.41532150419532, 'learning_rate': 5.815160955347872e-06, 'epoch': 0.23}
{'loss': 1.6524, 'grad_norm': 65.57014424137384, 'learning_rate': 6.022845275181724e-06, 'epoch': 0.24}
{'loss': 1.6191, 'grad_norm': 64.52085219817717, 'learning_rate': 6.230529595015577e-06, 'epoch': 0.25}
{'loss': 1.6193, 'grad_norm': 81.36847380821263, 'learning_rate': 6.438213914849429e-06, 'epoch': 0.26}
{'loss': 1.5885, 'grad_norm': 62.68240966930232, 'learning_rate': 6.645898234683282e-06, 'epoch': 0.27}
{'loss': 1.6223, 'grad_norm': 64.26341611841755, 'learning_rate': 6.853582554517134e-06, 'epoch': 0.27}
{'loss': 1.654, 'grad_norm': 86.92656404043453, 'learning_rate': 7.061266874350987e-06, 'epoch': 0.28}
{'loss': 1.6589, 'grad_norm': 63.63605870117264, 'learning_rate': 7.26895119418484e-06, 'epoch': 0.29}
{'loss': 1.6911, 'grad_norm': 65.16412731710129, 'learning_rate': 7.476635514018692e-06, 'epoch': 0.3}
{'loss': 1.6672, 'grad_norm': 80.75847691840782, 'learning_rate': 7.684319833852544e-06, 'epoch': 0.31}
{'loss': 1.6004, 'grad_norm': 61.57990164424158, 'learning_rate': 7.892004153686398e-06, 'epoch': 0.32}
{'loss': 1.652, 'grad_norm': 65.08146693162702, 'learning_rate': 8.099688473520249e-06, 'epoch': 0.32}
{'loss': 1.637, 'grad_norm': 57.62797660518697, 'learning_rate': 8.307372793354102e-06, 'epoch': 0.33}
{'loss': 1.6602, 'grad_norm': 60.92155230231592, 'learning_rate': 8.515057113187954e-06, 'epoch': 0.34}
{'loss': 1.6862, 'grad_norm': 71.13658031820671, 'learning_rate': 8.722741433021807e-06, 'epoch': 0.35}
{'loss': 1.6963, 'grad_norm': 52.60145417285443, 'learning_rate': 8.93042575285566e-06, 'epoch': 0.36}
{'loss': 1.6443, 'grad_norm': 63.113277649299526, 'learning_rate': 9.138110072689512e-06, 'epoch': 0.37}
{'loss': 1.6532, 'grad_norm': 53.05519353748512, 'learning_rate': 9.345794392523365e-06, 'epoch': 0.37}
{'loss': 1.6344, 'grad_norm': 50.67520096041185, 'learning_rate': 9.553478712357218e-06, 'epoch': 0.38}
{'loss': 1.6689, 'grad_norm': 50.77220573398011, 'learning_rate': 9.76116303219107e-06, 'epoch': 0.39}
{'loss': 1.637, 'grad_norm': 50.85237747013773, 'learning_rate': 9.968847352024923e-06, 'epoch': 0.4}
{'loss': 1.6521, 'grad_norm': 51.816484811153856, 'learning_rate': 1.0176531671858776e-05, 'epoch': 0.41}
{'loss': 1.6367, 'grad_norm': 52.841299718737076, 'learning_rate': 1.0384215991692628e-05, 'epoch': 0.42}
{'loss': 1.6861, 'grad_norm': 68.50603985586032, 'learning_rate': 1.059190031152648e-05, 'epoch': 0.42}
{'loss': 1.6389, 'grad_norm': 65.42481021779156, 'learning_rate': 1.0799584631360334e-05, 'epoch': 0.43}
{'loss': 1.659, 'grad_norm': 53.15500850579538, 'learning_rate': 1.1007268951194186e-05, 'epoch': 0.44}
{'loss': 1.6085, 'grad_norm': 50.92229861986089, 'learning_rate': 1.1214953271028037e-05, 'epoch': 0.45}
{'loss': 1.6458, 'grad_norm': 48.8760923092544, 'learning_rate': 1.142263759086189e-05, 'epoch': 0.46}
{'loss': 1.6273, 'grad_norm': 44.80528409494072, 'learning_rate': 1.1630321910695744e-05, 'epoch': 0.47}
{'loss': 1.7206, 'grad_norm': 52.32601950959347, 'learning_rate': 1.1838006230529595e-05, 'epoch': 0.47}
{'loss': 1.6259, 'grad_norm': 50.69763948006906, 'learning_rate': 1.2045690550363449e-05, 'epoch': 0.48}
{'loss': 1.63, 'grad_norm': 51.12317628782649, 'learning_rate': 1.22533748701973e-05, 'epoch': 0.49}
{'loss': 1.6352, 'grad_norm': 48.401626162312965, 'learning_rate': 1.2461059190031153e-05, 'epoch': 0.5}
{'loss': 1.6389, 'grad_norm': 61.89490202397491, 'learning_rate': 1.2668743509865007e-05, 'epoch': 0.51}
{'loss': 1.6243, 'grad_norm': 62.56547498183728, 'learning_rate': 1.2876427829698858e-05, 'epoch': 0.52}
{'loss': 1.6334, 'grad_norm': 63.248068643761776, 'learning_rate': 1.308411214953271e-05, 'epoch': 0.52}
{'loss': 1.5317, 'grad_norm': 52.68970832076687, 'learning_rate': 1.3291796469366565e-05, 'epoch': 0.53}
{'loss': 1.6764, 'grad_norm': 51.78602837698381, 'learning_rate': 1.3499480789200416e-05, 'epoch': 0.54}
{'loss': 1.6463, 'grad_norm': 58.42195559674718, 'learning_rate': 1.3707165109034268e-05, 'epoch': 0.55}
{'loss': 1.6734, 'grad_norm': 60.013100071764875, 'learning_rate': 1.3914849428868123e-05, 'epoch': 0.56}
{'loss': 1.6387, 'grad_norm': 64.25201906712613, 'learning_rate': 1.4122533748701974e-05, 'epoch': 0.57}
{'loss': 1.6746, 'grad_norm': 48.01420820840528, 'learning_rate': 1.4330218068535826e-05, 'epoch': 0.57}
{'loss': 1.6777, 'grad_norm': 49.249171080921315, 'learning_rate': 1.453790238836968e-05, 'epoch': 0.58}
{'loss': 1.6579, 'grad_norm': 53.32918046860795, 'learning_rate': 1.4745586708203532e-05, 'epoch': 0.59}
{'loss': 1.6428, 'grad_norm': 48.27479767089994, 'learning_rate': 1.4953271028037384e-05, 'epoch': 0.6}
{'loss': 1.6768, 'grad_norm': 60.73860992227037, 'learning_rate': 1.5160955347871239e-05, 'epoch': 0.61}
{'loss': 1.5537, 'grad_norm': 50.68693443782869, 'learning_rate': 1.536863966770509e-05, 'epoch': 0.62}
{'loss': 1.6569, 'grad_norm': 51.99914138269816, 'learning_rate': 1.557632398753894e-05, 'epoch': 0.62}
{'loss': 1.6923, 'grad_norm': 64.78291295034882, 'learning_rate': 1.5784008307372795e-05, 'epoch': 0.63}
{'loss': 1.6832, 'grad_norm': 51.468401834172504, 'learning_rate': 1.5991692627206647e-05, 'epoch': 0.64}
{'loss': 1.6036, 'grad_norm': 56.12943477071467, 'learning_rate': 1.6199376947040498e-05, 'epoch': 0.65}
{'loss': 1.6792, 'grad_norm': 57.69026128872393, 'learning_rate': 1.6407061266874353e-05, 'epoch': 0.66}
{'loss': 1.6694, 'grad_norm': 50.80812460954735, 'learning_rate': 1.6614745586708205e-05, 'epoch': 0.67}
{'loss': 1.6245, 'grad_norm': 49.76561652287587, 'learning_rate': 1.6822429906542056e-05, 'epoch': 0.67}
{'loss': 1.6325, 'grad_norm': 44.888764603471316, 'learning_rate': 1.7030114226375908e-05, 'epoch': 0.68}
{'loss': 1.6144, 'grad_norm': 46.10842592244594, 'learning_rate': 1.7237798546209763e-05, 'epoch': 0.69}
{'loss': 1.665, 'grad_norm': 59.277814848408774, 'learning_rate': 1.7445482866043614e-05, 'epoch': 0.7}
{'loss': 1.6757, 'grad_norm': 57.057054424875616, 'learning_rate': 1.7653167185877466e-05, 'epoch': 0.71}
{'loss': 1.6925, 'grad_norm': 46.36371937850597, 'learning_rate': 1.786085150571132e-05, 'epoch': 0.71}
{'loss': 1.6621, 'grad_norm': 73.33544882232962, 'learning_rate': 1.8068535825545172e-05, 'epoch': 0.72}
{'loss': 1.6066, 'grad_norm': 43.127628193469235, 'learning_rate': 1.8276220145379024e-05, 'epoch': 0.73}
{'loss': 1.656, 'grad_norm': 46.431420222183384, 'learning_rate': 1.848390446521288e-05, 'epoch': 0.74}
{'loss': 1.6869, 'grad_norm': 44.754147666776646, 'learning_rate': 1.869158878504673e-05, 'epoch': 0.75}
{'loss': 1.6281, 'grad_norm': 44.34587672404731, 'learning_rate': 1.889927310488058e-05, 'epoch': 0.76}
{'loss': 1.5824, 'grad_norm': 86.00877192854048, 'learning_rate': 1.9106957424714437e-05, 'epoch': 0.76}
{'loss': 1.6674, 'grad_norm': 52.4102233916406, 'learning_rate': 1.9314641744548288e-05, 'epoch': 0.77}
{'loss': 1.6153, 'grad_norm': 49.227725108958836, 'learning_rate': 1.952232606438214e-05, 'epoch': 0.78}
{'loss': 1.6283, 'grad_norm': 61.940326176659525, 'learning_rate': 1.9730010384215995e-05, 'epoch': 0.79}
{'loss': 1.6048, 'grad_norm': 52.791853567498926, 'learning_rate': 1.9937694704049846e-05, 'epoch': 0.8}
{'loss': 1.5394, 'grad_norm': 50.2563534322433, 'learning_rate': 1.9999967764863082e-05, 'epoch': 0.81}
{'loss': 1.6409, 'grad_norm': 57.54544874163031, 'learning_rate': 1.9999809878978462e-05, 'epoch': 0.81}
{'loss': 1.7022, 'grad_norm': 42.62236777300055, 'learning_rate': 1.999952042368145e-05, 'epoch': 0.82}
{'loss': 1.6677, 'grad_norm': 41.75392061491478, 'learning_rate': 1.999909940278046e-05, 'epoch': 0.83}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
                                                                                                   
{'loss': 1.6339, 'grad_norm': 55.19738503742115, 'learning_rate': 1.9998546821814944e-05, 'epoch': 0.84}
{'loss': 1.6088, 'grad_norm': 54.211444359785034, 'learning_rate': 1.9997862688055325e-05, 'epoch': 0.85}
{'loss': 1.5574, 'grad_norm': 51.94333707218094, 'learning_rate': 1.9997047010502867e-05, 'epoch': 0.86}
{'loss': 1.6486, 'grad_norm': 45.557400442206195, 'learning_rate': 1.9996099799889608e-05, 'epoch': 0.86}
{'loss': 1.7586, 'grad_norm': 46.25108084076957, 'learning_rate': 1.999502106867817e-05, 'epoch': 0.87}
{'loss': 1.6143, 'grad_norm': 45.81773551230827, 'learning_rate': 1.9993810831061635e-05, 'epoch': 0.88}
{'loss': 1.6269, 'grad_norm': 45.21298181045735, 'learning_rate': 1.9992469102963327e-05, 'epoch': 0.89}
{'loss': 1.6858, 'grad_norm': 54.57054632430862, 'learning_rate': 1.9990995902036616e-05, 'epoch': 0.9}
