Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.5583, 'grad_norm': 305.4396199063194, 'learning_rate': 2.0768431983385257e-07, 'epoch': 0.01}
{'loss': 3.9092, 'grad_norm': 159.13024454631025, 'learning_rate': 4.1536863966770515e-07, 'epoch': 0.02}
{'loss': 3.7096, 'grad_norm': 190.8794806285007, 'learning_rate': 6.230529595015577e-07, 'epoch': 0.02}
{'loss': 4.5595, 'grad_norm': 174.07622242543496, 'learning_rate': 8.307372793354103e-07, 'epoch': 0.03}
{'loss': 3.9212, 'grad_norm': 187.57263699809295, 'learning_rate': 1.0384215991692628e-06, 'epoch': 0.04}
{'loss': 3.4838, 'grad_norm': 154.006144373258, 'learning_rate': 1.2461059190031154e-06, 'epoch': 0.05}
{'loss': 3.2015, 'grad_norm': 100.27211157857242, 'learning_rate': 1.453790238836968e-06, 'epoch': 0.06}
{'loss': 2.6452, 'grad_norm': 120.2795110786065, 'learning_rate': 1.6614745586708206e-06, 'epoch': 0.07}
{'loss': 2.2156, 'grad_norm': 84.11248007628731, 'learning_rate': 1.869158878504673e-06, 'epoch': 0.07}
{'loss': 2.0799, 'grad_norm': 98.8360144255205, 'learning_rate': 2.0768431983385256e-06, 'epoch': 0.08}
{'loss': 2.0453, 'grad_norm': 75.00214004234337, 'learning_rate': 2.284527518172378e-06, 'epoch': 0.09}
{'loss': 1.7484, 'grad_norm': 76.49390826483334, 'learning_rate': 2.4922118380062308e-06, 'epoch': 0.1}
{'loss': 1.6914, 'grad_norm': 89.00975960667188, 'learning_rate': 2.6998961578400836e-06, 'epoch': 0.11}
{'loss': 1.7912, 'grad_norm': 75.00642655470195, 'learning_rate': 2.907580477673936e-06, 'epoch': 0.12}
{'loss': 1.7254, 'grad_norm': 74.71408109890095, 'learning_rate': 3.1152647975077884e-06, 'epoch': 0.12}
{'loss': 1.7152, 'grad_norm': 91.43172200258407, 'learning_rate': 3.322949117341641e-06, 'epoch': 0.13}
{'loss': 1.7002, 'grad_norm': 67.4224672947027, 'learning_rate': 3.5306334371754936e-06, 'epoch': 0.14}
{'loss': 1.6502, 'grad_norm': 70.3689458896765, 'learning_rate': 3.738317757009346e-06, 'epoch': 0.15}
{'loss': 1.6674, 'grad_norm': 90.12690321264071, 'learning_rate': 3.946002076843199e-06, 'epoch': 0.16}
