Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.7349, 'grad_norm': 191.48940513227492, 'learning_rate': 2.0768431983385257e-07, 'epoch': 0.01}
{'loss': 4.5009, 'grad_norm': 197.404294633492, 'learning_rate': 4.1536863966770515e-07, 'epoch': 0.02}
{'loss': 3.8292, 'grad_norm': 214.8146680953706, 'learning_rate': 6.230529595015577e-07, 'epoch': 0.02}
{'loss': 3.8299, 'grad_norm': 181.5159429084284, 'learning_rate': 8.307372793354103e-07, 'epoch': 0.03}
{'loss': 4.2702, 'grad_norm': 165.19014635744824, 'learning_rate': 1.0384215991692628e-06, 'epoch': 0.04}
{'loss': 3.1662, 'grad_norm': 171.97503978878905, 'learning_rate': 1.2461059190031154e-06, 'epoch': 0.05}
{'loss': 3.1572, 'grad_norm': 152.29413588562937, 'learning_rate': 1.453790238836968e-06, 'epoch': 0.06}
{'loss': 2.6094, 'grad_norm': 103.69561236253263, 'learning_rate': 1.6614745586708206e-06, 'epoch': 0.07}
{'loss': 2.2258, 'grad_norm': 101.31201023639817, 'learning_rate': 1.869158878504673e-06, 'epoch': 0.07}
{'loss': 2.0962, 'grad_norm': 103.26555463692002, 'learning_rate': 2.0768431983385256e-06, 'epoch': 0.08}
{'loss': 1.9985, 'grad_norm': 75.08507468580915, 'learning_rate': 2.284527518172378e-06, 'epoch': 0.09}
{'loss': 1.8191, 'grad_norm': 87.09270653789571, 'learning_rate': 2.4922118380062308e-06, 'epoch': 0.1}
{'loss': 1.7203, 'grad_norm': 93.22787798577474, 'learning_rate': 2.6998961578400836e-06, 'epoch': 0.11}
{'loss': 1.7811, 'grad_norm': 102.0812632828082, 'learning_rate': 2.907580477673936e-06, 'epoch': 0.12}
{'loss': 1.7413, 'grad_norm': 70.42339123438798, 'learning_rate': 3.1152647975077884e-06, 'epoch': 0.12}
{'loss': 1.7201, 'grad_norm': 91.78786554142114, 'learning_rate': 3.322949117341641e-06, 'epoch': 0.13}
{'loss': 1.7267, 'grad_norm': 61.489990304900175, 'learning_rate': 3.5306334371754936e-06, 'epoch': 0.14}
{'loss': 1.6904, 'grad_norm': 68.87892733456745, 'learning_rate': 3.738317757009346e-06, 'epoch': 0.15}
{'loss': 1.7246, 'grad_norm': 90.10376085692583, 'learning_rate': 3.946002076843199e-06, 'epoch': 0.16}
{'loss': 1.7128, 'grad_norm': 68.81153129236635, 'learning_rate': 4.153686396677051e-06, 'epoch': 0.17}
{'loss': 1.6875, 'grad_norm': 89.24299516752534, 'learning_rate': 4.3613707165109035e-06, 'epoch': 0.17}
{'loss': 1.6613, 'grad_norm': 72.1746123336153, 'learning_rate': 4.569055036344756e-06, 'epoch': 0.18}
{'loss': 1.7056, 'grad_norm': 67.72861234242812, 'learning_rate': 4.776739356178609e-06, 'epoch': 0.19}
{'loss': 1.6641, 'grad_norm': 66.74521341354631, 'learning_rate': 4.9844236760124615e-06, 'epoch': 0.2}
{'loss': 1.6247, 'grad_norm': 69.98258315061544, 'learning_rate': 5.192107995846314e-06, 'epoch': 0.21}
{'loss': 1.6769, 'grad_norm': 74.33543143779657, 'learning_rate': 5.399792315680167e-06, 'epoch': 0.22}
{'loss': 1.6877, 'grad_norm': 67.12317202228579, 'learning_rate': 5.607476635514019e-06, 'epoch': 0.22}
{'loss': 1.6552, 'grad_norm': 69.15446608669717, 'learning_rate': 5.815160955347872e-06, 'epoch': 0.23}
{'loss': 1.663, 'grad_norm': 67.41501639406306, 'learning_rate': 6.022845275181724e-06, 'epoch': 0.24}
{'loss': 1.6502, 'grad_norm': 68.67709487554582, 'learning_rate': 6.230529595015577e-06, 'epoch': 0.25}
{'loss': 1.6362, 'grad_norm': 78.44009744911311, 'learning_rate': 6.438213914849429e-06, 'epoch': 0.26}
{'loss': 1.639, 'grad_norm': 63.07097948350375, 'learning_rate': 6.645898234683282e-06, 'epoch': 0.27}
{'loss': 1.656, 'grad_norm': 71.35865423702677, 'learning_rate': 6.853582554517134e-06, 'epoch': 0.27}
{'loss': 1.649, 'grad_norm': 59.91248995478408, 'learning_rate': 7.061266874350987e-06, 'epoch': 0.28}
{'loss': 1.6547, 'grad_norm': 61.336785925212745, 'learning_rate': 7.26895119418484e-06, 'epoch': 0.29}
{'loss': 1.7013, 'grad_norm': 61.11951953915469, 'learning_rate': 7.476635514018692e-06, 'epoch': 0.3}
{'loss': 1.6817, 'grad_norm': 73.78473379268442, 'learning_rate': 7.684319833852544e-06, 'epoch': 0.31}
{'loss': 1.6509, 'grad_norm': 60.07837456409148, 'learning_rate': 7.892004153686398e-06, 'epoch': 0.32}
{'loss': 1.6456, 'grad_norm': 55.181018140689105, 'learning_rate': 8.099688473520249e-06, 'epoch': 0.32}
{'loss': 1.6503, 'grad_norm': 55.80080888967873, 'learning_rate': 8.307372793354102e-06, 'epoch': 0.33}
{'loss': 1.6368, 'grad_norm': 61.459702266465406, 'learning_rate': 8.515057113187954e-06, 'epoch': 0.34}
{'loss': 1.7078, 'grad_norm': 68.72989457079184, 'learning_rate': 8.722741433021807e-06, 'epoch': 0.35}
{'loss': 1.6658, 'grad_norm': 51.97819007251643, 'learning_rate': 8.93042575285566e-06, 'epoch': 0.36}
{'loss': 1.6257, 'grad_norm': 63.270963909780725, 'learning_rate': 9.138110072689512e-06, 'epoch': 0.37}
{'loss': 1.6695, 'grad_norm': 54.689306440107174, 'learning_rate': 9.345794392523365e-06, 'epoch': 0.37}
{'loss': 1.6722, 'grad_norm': 50.849557434889114, 'learning_rate': 9.553478712357218e-06, 'epoch': 0.38}
{'loss': 1.6769, 'grad_norm': 50.40659281249219, 'learning_rate': 9.76116303219107e-06, 'epoch': 0.39}
