Parameter Offload - Persistent parameters statistics: param_count = 487, numel = 2000064
                                                                                                   
{'loss': 4.0472, 'grad_norm': 236.7903883553146, 'learning_rate': 2.1582733812949643e-07, 'epoch': 0.01}
{'loss': 3.207, 'grad_norm': 260.3208493878585, 'learning_rate': 4.3165467625899287e-07, 'epoch': 0.01}
{'loss': 3.2944, 'grad_norm': 163.31488966160566, 'learning_rate': 6.474820143884893e-07, 'epoch': 0.02}
{'loss': 2.8651, 'grad_norm': 179.1858637752784, 'learning_rate': 8.633093525179857e-07, 'epoch': 0.02}
{'loss': 4.1332, 'grad_norm': 195.7257002761087, 'learning_rate': 1.079136690647482e-06, 'epoch': 0.03}
{'loss': 3.5714, 'grad_norm': 222.60175323649892, 'learning_rate': 1.2949640287769785e-06, 'epoch': 0.03}
{'loss': 3.1761, 'grad_norm': 306.33427817948984, 'learning_rate': 1.510791366906475e-06, 'epoch': 0.04}
{'loss': 4.3997, 'grad_norm': 319.6933767589367, 'learning_rate': 1.7266187050359715e-06, 'epoch': 0.04}
{'loss': 3.2195, 'grad_norm': 154.96481126857398, 'learning_rate': 1.942446043165468e-06, 'epoch': 0.05}
{'loss': 2.2475, 'grad_norm': 140.17881736753432, 'learning_rate': 2.158273381294964e-06, 'epoch': 0.05}
{'loss': 2.6472, 'grad_norm': 208.92418209185237, 'learning_rate': 2.3741007194244605e-06, 'epoch': 0.06}
{'loss': 2.6594, 'grad_norm': 137.36977847240888, 'learning_rate': 2.589928057553957e-06, 'epoch': 0.06}
{'loss': 2.0412, 'grad_norm': 132.68300279919566, 'learning_rate': 2.805755395683453e-06, 'epoch': 0.07}
{'loss': 2.0511, 'grad_norm': 137.2211832883802, 'learning_rate': 3.02158273381295e-06, 'epoch': 0.08}
{'loss': 1.5042, 'grad_norm': 105.40662299132984, 'learning_rate': 3.237410071942446e-06, 'epoch': 0.08}
{'loss': 1.7011, 'grad_norm': 102.27143348059585, 'learning_rate': 3.453237410071943e-06, 'epoch': 0.09}
{'loss': 1.6308, 'grad_norm': 74.73311329398187, 'learning_rate': 3.669064748201439e-06, 'epoch': 0.09}
{'loss': 1.4765, 'grad_norm': 81.48913536398949, 'learning_rate': 3.884892086330936e-06, 'epoch': 0.1}
{'loss': 1.5804, 'grad_norm': 69.44383456605875, 'learning_rate': 4.100719424460432e-06, 'epoch': 0.1}
{'loss': 1.7348, 'grad_norm': 87.79195948971937, 'learning_rate': 4.316546762589928e-06, 'epoch': 0.11}
{'loss': 1.5114, 'grad_norm': 87.61816851012448, 'learning_rate': 4.5323741007194245e-06, 'epoch': 0.11}
{'loss': 1.5487, 'grad_norm': 63.8219100004638, 'learning_rate': 4.748201438848921e-06, 'epoch': 0.12}
{'loss': 1.177, 'grad_norm': 70.2926759590012, 'learning_rate': 4.9640287769784175e-06, 'epoch': 0.12}
{'loss': 1.5088, 'grad_norm': 63.54188063407922, 'learning_rate': 5.179856115107914e-06, 'epoch': 0.13}
{'loss': 1.0877, 'grad_norm': 66.2726354203939, 'learning_rate': 5.3956834532374105e-06, 'epoch': 0.14}
{'loss': 1.4011, 'grad_norm': 91.85401787322749, 'learning_rate': 5.611510791366906e-06, 'epoch': 0.14}
