Parameter Offload - Persistent parameters statistics: param_count = 487, numel = 2000064
  3%|█▌                                                        | 76/2775 [05:12<2:42:48,  3.62s/it]
{'loss': 7.6047, 'grad_norm': 417.32099705598455, 'learning_rate': 2.1582733812949643e-07, 'epoch': 0.01}
{'loss': 7.6823, 'grad_norm': 405.8623977561736, 'learning_rate': 4.3165467625899287e-07, 'epoch': 0.01}
{'loss': 7.4933, 'grad_norm': 422.83023795581886, 'learning_rate': 6.474820143884893e-07, 'epoch': 0.02}
{'loss': 7.0217, 'grad_norm': 391.61464196254167, 'learning_rate': 8.633093525179857e-07, 'epoch': 0.02}
{'loss': 8.1295, 'grad_norm': 384.7832170655417, 'learning_rate': 1.079136690647482e-06, 'epoch': 0.03}
{'loss': 7.6395, 'grad_norm': 394.278332839317, 'learning_rate': 1.2949640287769785e-06, 'epoch': 0.03}
{'loss': 6.9493, 'grad_norm': 506.2850562794354, 'learning_rate': 1.510791366906475e-06, 'epoch': 0.04}
{'loss': 6.5341, 'grad_norm': 441.30502125158034, 'learning_rate': 1.7266187050359715e-06, 'epoch': 0.04}
{'loss': 4.7304, 'grad_norm': 340.1256675756061, 'learning_rate': 1.942446043165468e-06, 'epoch': 0.05}
{'loss': 4.4417, 'grad_norm': 346.64952026852217, 'learning_rate': 2.158273381294964e-06, 'epoch': 0.05}
{'loss': 4.244, 'grad_norm': 395.23151270693086, 'learning_rate': 2.3741007194244605e-06, 'epoch': 0.06}
{'loss': 4.908, 'grad_norm': 362.00266812606867, 'learning_rate': 2.589928057553957e-06, 'epoch': 0.06}
{'loss': 1.9041, 'grad_norm': 293.7407942747473, 'learning_rate': 2.805755395683453e-06, 'epoch': 0.07}
{'loss': 1.482, 'grad_norm': 264.06166682079447, 'learning_rate': 3.02158273381295e-06, 'epoch': 0.08}
{'loss': 0.4301, 'grad_norm': 30.57408135313342, 'learning_rate': 3.237410071942446e-06, 'epoch': 0.08}
{'loss': 0.0861, 'grad_norm': 16.052899185956704, 'learning_rate': 3.453237410071943e-06, 'epoch': 0.09}
{'loss': 0.0517, 'grad_norm': 8.190178462067284, 'learning_rate': 3.669064748201439e-06, 'epoch': 0.09}
{'loss': 0.0241, 'grad_norm': 1.5592165425889633, 'learning_rate': 3.884892086330936e-06, 'epoch': 0.1}
{'loss': 0.0033, 'grad_norm': 1.0887753578826467, 'learning_rate': 4.100719424460432e-06, 'epoch': 0.1}
{'loss': 0.003, 'grad_norm': 0.880995342335034, 'learning_rate': 4.316546762589928e-06, 'epoch': 0.11}
{'loss': 0.0031, 'grad_norm': 0.229699982672527, 'learning_rate': 4.5323741007194245e-06, 'epoch': 0.11}
{'loss': 0.0007, 'grad_norm': 0.09263616546242007, 'learning_rate': 4.748201438848921e-06, 'epoch': 0.12}
{'loss': 0.0005, 'grad_norm': 0.07767256751265979, 'learning_rate': 4.9640287769784175e-06, 'epoch': 0.12}
{'loss': 0.0002, 'grad_norm': 0.032386745595186985, 'learning_rate': 5.179856115107914e-06, 'epoch': 0.13}
{'loss': 0.0003, 'grad_norm': 0.061692734164931734, 'learning_rate': 5.3956834532374105e-06, 'epoch': 0.14}
