Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 1.6321, 'grad_norm': 69.45111832559894, 'learning_rate': 2.3809523809523808e-06, 'epoch': 0.01}
{'loss': 1.6719, 'grad_norm': 66.71178558987445, 'learning_rate': 4.7619047619047615e-06, 'epoch': 0.01}
{'loss': 1.4419, 'grad_norm': 67.47332060220464, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.02}
{'loss': 1.2921, 'grad_norm': 42.44647492574417, 'learning_rate': 9.523809523809523e-06, 'epoch': 0.03}
{'loss': 1.0415, 'grad_norm': 26.106163126407512, 'learning_rate': 1.1904761904761905e-05, 'epoch': 0.04}
{'loss': 0.7137, 'grad_norm': 45.78957325820425, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.04}
{'loss': 0.4878, 'grad_norm': 18.65071765672957, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.05}
{'loss': 0.4794, 'grad_norm': 17.220737969163054, 'learning_rate': 1.9047619047619046e-05, 'epoch': 0.06}
{'loss': 0.5254, 'grad_norm': 19.386133461917087, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.06}
{'loss': 0.5605, 'grad_norm': 19.040249816592866, 'learning_rate': 2.380952380952381e-05, 'epoch': 0.07}
{'loss': 0.4992, 'grad_norm': 19.08830031548954, 'learning_rate': 2.6190476190476192e-05, 'epoch': 0.08}
{'loss': 0.4903, 'grad_norm': 14.205703801077902, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.09}
{'loss': 0.4565, 'grad_norm': 9.815270419149355, 'learning_rate': 3.095238095238095e-05, 'epoch': 0.09}
{'loss': 0.5096, 'grad_norm': 18.104245368432995, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.1}
{'loss': 0.4225, 'grad_norm': 15.822373341864843, 'learning_rate': 3.571428571428572e-05, 'epoch': 0.11}
{'loss': 0.4267, 'grad_norm': 15.716343633834928, 'learning_rate': 3.809523809523809e-05, 'epoch': 0.12}
{'loss': 0.5061, 'grad_norm': 21.66638240370736, 'learning_rate': 4.047619047619048e-05, 'epoch': 0.12}
{'loss': 0.4584, 'grad_norm': 10.014314314512397, 'learning_rate': 4.2857142857142856e-05, 'epoch': 0.13}
{'loss': 0.438, 'grad_norm': 13.547371363793564, 'learning_rate': 4.523809523809524e-05, 'epoch': 0.14}
{'loss': 0.489, 'grad_norm': 17.396760905398274, 'learning_rate': 4.761904761904762e-05, 'epoch': 0.14}
{'loss': 0.4426, 'grad_norm': 10.141847004114043, 'learning_rate': 5e-05, 'epoch': 0.15}
{'loss': 0.4281, 'grad_norm': 12.817002358592783, 'learning_rate': 4.9999728425380934e-05, 'epoch': 0.16}
{'loss': 0.4303, 'grad_norm': 18.868732923883183, 'learning_rate': 4.999891370742394e-05, 'epoch': 0.17}
{'loss': 0.4308, 'grad_norm': 11.495368505848813, 'learning_rate': 4.9997555863829584e-05, 'epoch': 0.17}
{'loss': 0.4256, 'grad_norm': 15.98730888055444, 'learning_rate': 4.999565492409831e-05, 'epoch': 0.18}
{'loss': 0.4419, 'grad_norm': 12.550497863436606, 'learning_rate': 4.9993210929529886e-05, 'epoch': 0.19}
{'loss': 0.391, 'grad_norm': 12.590103033410902, 'learning_rate': 4.999022393322246e-05, 'epoch': 0.19}
{'loss': 0.4535, 'grad_norm': 16.00447704144586, 'learning_rate': 4.998669400007142e-05, 'epoch': 0.2}
{'loss': 0.433, 'grad_norm': 12.596103433503284, 'learning_rate': 4.9982621206768e-05, 'epoch': 0.21}
{'loss': 0.3925, 'grad_norm': 11.348647358860978, 'learning_rate': 4.997800564179758e-05, 'epoch': 0.22}
{'loss': 0.4108, 'grad_norm': 7.292977688745934, 'learning_rate': 4.997284740543776e-05, 'epoch': 0.22}
{'loss': 0.4034, 'grad_norm': 11.033528420861858, 'learning_rate': 4.9967146609756254e-05, 'epoch': 0.23}
{'loss': 0.4428, 'grad_norm': 14.475044789185272, 'learning_rate': 4.996090337860836e-05, 'epoch': 0.24}
{'loss': 0.5495, 'grad_norm': 17.113752524832442, 'learning_rate': 4.9954117847634344e-05, 'epoch': 0.24}
{'loss': 0.4084, 'grad_norm': 12.215831376468797, 'learning_rate': 4.994679016425642e-05, 'epoch': 0.25}
{'loss': 0.4914, 'grad_norm': 12.935073240350413, 'learning_rate': 4.993892048767563e-05, 'epoch': 0.26}
{'loss': 0.4424, 'grad_norm': 11.045317645045767, 'learning_rate': 4.993050898886834e-05, 'epoch': 0.27}
{'loss': 0.4226, 'grad_norm': 12.318008675380346, 'learning_rate': 4.9921555850582486e-05, 'epoch': 0.27}
{'loss': 0.4222, 'grad_norm': 13.528637518004905, 'learning_rate': 4.99120612673337e-05, 'epoch': 0.28}
{'loss': 0.3916, 'grad_norm': 8.628846086423383, 'learning_rate': 4.9902025445401e-05, 'epoch': 0.29}
{'loss': 0.397, 'grad_norm': 9.456763581831348, 'learning_rate': 4.989144860282236e-05, 'epoch': 0.29}
