Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 8537280
                                                                                                   
{'loss': 4.2311, 'grad_norm': 236.63516948441028, 'learning_rate': 9.523809523809525e-07, 'epoch': 0.01}
{'loss': 4.0211, 'grad_norm': 222.80323116366114, 'learning_rate': 1.904761904761905e-06, 'epoch': 0.01}
{'loss': 3.0373, 'grad_norm': 412.7613723764261, 'learning_rate': 2.8571428571428573e-06, 'epoch': 0.02}
{'loss': 2.9972, 'grad_norm': 276.88196306996906, 'learning_rate': 3.80952380952381e-06, 'epoch': 0.03}
{'loss': 3.7369, 'grad_norm': 266.16661398970206, 'learning_rate': 4.761904761904762e-06, 'epoch': 0.04}
{'loss': 2.7296, 'grad_norm': 256.8451240555361, 'learning_rate': 5.7142857142857145e-06, 'epoch': 0.04}
{'loss': 2.5072, 'grad_norm': 291.0354095423541, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.05}
{'loss': 1.7165, 'grad_norm': 250.35533621895732, 'learning_rate': 7.61904761904762e-06, 'epoch': 0.06}
{'loss': 1.7022, 'grad_norm': 153.17798746905012, 'learning_rate': 8.571428571428571e-06, 'epoch': 0.06}
{'loss': 1.1318, 'grad_norm': 183.41421638418228, 'learning_rate': 9.523809523809525e-06, 'epoch': 0.07}
{'loss': 0.7178, 'grad_norm': 103.60726413189634, 'learning_rate': 1.0476190476190477e-05, 'epoch': 0.08}
{'loss': 0.6327, 'grad_norm': 138.63683340200575, 'learning_rate': 1.1428571428571429e-05, 'epoch': 0.09}
{'loss': 0.4666, 'grad_norm': 55.487257028602755, 'learning_rate': 1.2380952380952383e-05, 'epoch': 0.09}
{'loss': 0.4565, 'grad_norm': 128.1514308815319, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.1}
{'loss': 0.5002, 'grad_norm': 35.14142674034357, 'learning_rate': 1.4285714285714287e-05, 'epoch': 0.11}
{'loss': 0.4166, 'grad_norm': 25.703976650285018, 'learning_rate': 1.523809523809524e-05, 'epoch': 0.12}
{'loss': 0.4776, 'grad_norm': 57.725047286671234, 'learning_rate': 1.6190476190476193e-05, 'epoch': 0.12}
{'loss': 0.4321, 'grad_norm': 22.428093304532005, 'learning_rate': 1.7142857142857142e-05, 'epoch': 0.13}
{'loss': 0.4475, 'grad_norm': 23.070977015619945, 'learning_rate': 1.8095238095238097e-05, 'epoch': 0.14}
{'loss': 0.5468, 'grad_norm': 38.19166483889126, 'learning_rate': 1.904761904761905e-05, 'epoch': 0.14}
{'loss': 0.53, 'grad_norm': 20.96803910237314, 'learning_rate': 2e-05, 'epoch': 0.15}
{'loss': 0.4444, 'grad_norm': 23.4870880151132, 'learning_rate': 1.9999891370152375e-05, 'epoch': 0.16}
{'loss': 0.4147, 'grad_norm': 29.771152335876554, 'learning_rate': 1.999956548296958e-05, 'epoch': 0.17}
{'loss': 0.452, 'grad_norm': 18.07942197266736, 'learning_rate': 1.9999022345531834e-05, 'epoch': 0.17}
{'loss': 0.4725, 'grad_norm': 23.936340452340502, 'learning_rate': 1.9998261969639324e-05, 'epoch': 0.18}
{'loss': 0.4319, 'grad_norm': 17.6981364989266, 'learning_rate': 1.9997284371811955e-05, 'epoch': 0.19}
{'loss': 0.3916, 'grad_norm': 18.234902977203227, 'learning_rate': 1.9996089573288985e-05, 'epoch': 0.19}
{'loss': 0.4275, 'grad_norm': 24.938661151624498, 'learning_rate': 1.999467760002857e-05, 'epoch': 0.2}
{'loss': 0.4281, 'grad_norm': 19.50665068704219, 'learning_rate': 1.99930484827072e-05, 'epoch': 0.21}
{'loss': 0.4093, 'grad_norm': 18.24580131830353, 'learning_rate': 1.9991202256719032e-05, 'epoch': 0.22}
{'loss': 0.4012, 'grad_norm': 13.313744352011014, 'learning_rate': 1.9989138962175105e-05, 'epoch': 0.22}
{'loss': 0.4346, 'grad_norm': 17.66316034851512, 'learning_rate': 1.9986858643902502e-05, 'epoch': 0.23}
{'loss': 0.4301, 'grad_norm': 19.33527996684654, 'learning_rate': 1.9984361351443343e-05, 'epoch': 0.24}
{'loss': 0.5094, 'grad_norm': 20.977898954735792, 'learning_rate': 1.9981647139053737e-05, 'epoch': 0.24}
{'loss': 0.4022, 'grad_norm': 16.913418592769126, 'learning_rate': 1.9978716065702566e-05, 'epoch': 0.25}
{'loss': 0.4887, 'grad_norm': 19.092320000377896, 'learning_rate': 1.9975568195070253e-05, 'epoch': 0.26}
{'loss': 0.4558, 'grad_norm': 18.988951478179906, 'learning_rate': 1.9972203595547334e-05, 'epoch': 0.27}
{'loss': 0.4407, 'grad_norm': 17.941729104076213, 'learning_rate': 1.9968622340232993e-05, 'epoch': 0.27}
{'loss': 0.4194, 'grad_norm': 22.212073191199675, 'learning_rate': 1.996482450693348e-05, 'epoch': 0.28}
{'loss': 0.4226, 'grad_norm': 14.445716160324993, 'learning_rate': 1.99608101781604e-05, 'epoch': 0.29}
{'loss': 0.4044, 'grad_norm': 17.190256105470347, 'learning_rate': 1.9956579441128942e-05, 'epoch': 0.29}
{'loss': 0.4508, 'grad_norm': 29.53869388226909, 'learning_rate': 1.9952132387755965e-05, 'epoch': 0.3}
{'loss': 0.4938, 'grad_norm': 26.84459597743611, 'learning_rate': 1.994746911465802e-05, 'epoch': 0.31}
{'loss': 0.4283, 'grad_norm': 23.38144021101396, 'learning_rate': 1.9942589723149233e-05, 'epoch': 0.32}
{'loss': 0.4166, 'grad_norm': 14.067523979353368, 'learning_rate': 1.9937494319239112e-05, 'epoch': 0.32}
{'loss': 0.3899, 'grad_norm': 14.38018610951232, 'learning_rate': 1.9932183013630257e-05, 'epoch': 0.33}
{'loss': 0.4487, 'grad_norm': 16.670737264788837, 'learning_rate': 1.9926655921715924e-05, 'epoch': 0.34}
{'loss': 0.4538, 'grad_norm': 19.353872720101467, 'learning_rate': 1.9920913163577542e-05, 'epoch': 0.35}
{'loss': 0.4456, 'grad_norm': 15.41535793819485, 'learning_rate': 1.9914954863982106e-05, 'epoch': 0.35}
{'loss': 0.4366, 'grad_norm': 16.476113983781985, 'learning_rate': 1.990878115237945e-05, 'epoch': 0.36}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.39904382824897766, 'eval_accuracy': 0.8461538461538461, 'eval_runtime': 94.5078, 'eval_samples_per_second': 1.122, 'eval_steps_per_second': 0.286, 'epoch': 0.36}
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
[2025-08-02 09:56:47,223] [WARNING] [stage3.py:2164:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
                                                                                                   
{'loss': 0.4049, 'grad_norm': 15.454893157372457, 'learning_rate': 1.990239216289944e-05, 'epoch': 0.37}
{'loss': 0.4413, 'grad_norm': 20.284046718968813, 'learning_rate': 1.989578803434907e-05, 'epoch': 0.37}
{'loss': 0.4397, 'grad_norm': 14.971896512213947, 'learning_rate': 1.9888968910209433e-05, 'epoch': 0.38}
{'loss': 0.3852, 'grad_norm': 13.256202886871897, 'learning_rate': 1.9881934938632615e-05, 'epoch': 0.39}
{'loss': 0.4382, 'grad_norm': 15.937131018546294, 'learning_rate': 1.9874686272438467e-05, 'epoch': 0.4}
{'loss': 0.3985, 'grad_norm': 13.096565307821784, 'learning_rate': 1.986722306911129e-05, 'epoch': 0.4}
{'loss': 0.3953, 'grad_norm': 13.954966361684113, 'learning_rate': 1.9859545490796414e-05, 'epoch': 0.41}
{'loss': 0.4209, 'grad_norm': 13.399836674514457, 'learning_rate': 1.9851653704296664e-05, 'epoch': 0.42}
{'loss': 0.4311, 'grad_norm': 14.325755557063603, 'learning_rate': 1.9843547881068763e-05, 'epoch': 0.42}
{'loss': 0.4276, 'grad_norm': 12.953082074541982, 'learning_rate': 1.9835228197219573e-05, 'epoch': 0.43}
{'loss': 0.4492, 'grad_norm': 25.46794361344675, 'learning_rate': 1.9826694833502295e-05, 'epoch': 0.44}
{'loss': 0.4234, 'grad_norm': 14.16175496821946, 'learning_rate': 1.9817947975312527e-05, 'epoch': 0.45}
{'loss': 0.431, 'grad_norm': 16.8487383326336, 'learning_rate': 1.9808987812684247e-05, 'epoch': 0.45}
{'loss': 0.4251, 'grad_norm': 21.843606746069863, 'learning_rate': 1.979981454028567e-05, 'epoch': 0.46}
{'loss': 0.4681, 'grad_norm': 12.09044884629769, 'learning_rate': 1.979042835741503e-05, 'epoch': 0.47}
{'loss': 0.428, 'grad_norm': 15.765886348172053, 'learning_rate': 1.9780829467996262e-05, 'epoch': 0.47}
{'loss': 0.4241, 'grad_norm': 14.784038526858133, 'learning_rate': 1.9771018080574534e-05, 'epoch': 0.48}
{'loss': 0.4597, 'grad_norm': 13.377859154131249, 'learning_rate': 1.9760994408311757e-05, 'epoch': 0.49}
{'loss': 0.4466, 'grad_norm': 14.548845971093874, 'learning_rate': 1.9750758668981925e-05, 'epoch': 0.5}
{'loss': 0.4098, 'grad_norm': 15.639185446713633, 'learning_rate': 1.9740311084966398e-05, 'epoch': 0.5}
{'loss': 0.4096, 'grad_norm': 14.330399114774275, 'learning_rate': 1.9729651883249075e-05, 'epoch': 0.51}
{'loss': 0.4359, 'grad_norm': 18.712527212371086, 'learning_rate': 1.971878129541144e-05, 'epoch': 0.52}
{'loss': 0.4107, 'grad_norm': 15.416592873314551, 'learning_rate': 1.9707699557627554e-05, 'epoch': 0.53}
{'loss': 0.4309, 'grad_norm': 17.29196339101699, 'learning_rate': 1.9696406910658918e-05, 'epoch': 0.53}
{'loss': 0.4607, 'grad_norm': 17.777486755505567, 'learning_rate': 1.968490359984923e-05, 'epoch': 0.54}
{'loss': 0.3982, 'grad_norm': 14.479457614502987, 'learning_rate': 1.9673189875119082e-05, 'epoch': 0.55}
{'loss': 0.399, 'grad_norm': 15.722318790354015, 'learning_rate': 1.9661265990960486e-05, 'epoch': 0.55}
{'loss': 0.4205, 'grad_norm': 15.707149481309239, 'learning_rate': 1.9649132206431395e-05, 'epoch': 0.56}
{'loss': 0.4381, 'grad_norm': 13.646077392182217, 'learning_rate': 1.9636788785150037e-05, 'epoch': 0.57}
{'loss': 0.3857, 'grad_norm': 15.016644968001449, 'learning_rate': 1.9624235995289212e-05, 'epoch': 0.58}
{'loss': 0.4251, 'grad_norm': 15.853978169891162, 'learning_rate': 1.9611474109570446e-05, 'epoch': 0.58}
{'loss': 0.448, 'grad_norm': 20.324382672188268, 'learning_rate': 1.959850340525808e-05, 'epoch': 0.59}
{'loss': 0.4416, 'grad_norm': 12.231251032273095, 'learning_rate': 1.9585324164153236e-05, 'epoch': 0.6}
{'loss': 0.4005, 'grad_norm': 13.545330108667637, 'learning_rate': 1.9571936672587718e-05, 'epoch': 0.6}
{'loss': 0.4205, 'grad_norm': 11.934030772273754, 'learning_rate': 1.9558341221417744e-05, 'epoch': 0.61}
{'loss': 0.4433, 'grad_norm': 14.375662174882342, 'learning_rate': 1.9544538106017682e-05, 'epoch': 0.62}
{'loss': 0.4465, 'grad_norm': 13.795035879997911, 'learning_rate': 1.9530527626273592e-05, 'epoch': 0.63}
{'loss': 0.4545, 'grad_norm': 13.328952940240601, 'learning_rate': 1.9516310086576734e-05, 'epoch': 0.63}
{'loss': 0.454, 'grad_norm': 20.37277791911658, 'learning_rate': 1.9501885795816937e-05, 'epoch': 0.64}
{'loss': 0.4295, 'grad_norm': 18.666713709259067, 'learning_rate': 1.9487255067375907e-05, 'epoch': 0.65}
{'loss': 0.4546, 'grad_norm': 16.12865799382009, 'learning_rate': 1.9472418219120403e-05, 'epoch': 0.65}
{'loss': 0.4112, 'grad_norm': 12.539388182558245, 'learning_rate': 1.9457375573395334e-05, 'epoch': 0.66}
{'loss': 0.4235, 'grad_norm': 14.114377580412024, 'learning_rate': 1.9442127457016768e-05, 'epoch': 0.67}
{'loss': 0.4297, 'grad_norm': 15.193069132180742, 'learning_rate': 1.9426674201264814e-05, 'epoch': 0.68}
{'loss': 0.4249, 'grad_norm': 19.216816477960407, 'learning_rate': 1.9411016141876438e-05, 'epoch': 0.68}
{'loss': 0.4247, 'grad_norm': 17.616562207431702, 'learning_rate': 1.9395153619038158e-05, 'epoch': 0.69}
{'loss': 0.4185, 'grad_norm': 20.177317958957662, 'learning_rate': 1.9379086977378664e-05, 'epoch': 0.7}
{'loss': 0.4313, 'grad_norm': 15.672455346216399, 'learning_rate': 1.936281656596132e-05, 'epoch': 0.71}
{'loss': 0.4735, 'grad_norm': 19.272174829416866, 'learning_rate': 1.9346342738276593e-05, 'epoch': 0.71}
{'loss': 0.449, 'grad_norm': 20.43312031756605, 'learning_rate': 1.932966585223436e-05, 'epoch': 0.72}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.4456771910190582, 'eval_accuracy': 0.8461538461538461, 'eval_runtime': 94.2857, 'eval_samples_per_second': 1.124, 'eval_steps_per_second': 0.286, 'epoch': 0.72}
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
[2025-08-02 10:08:36,444] [WARNING] [stage3.py:2164:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
                                                                                                   
{'loss': 0.4534, 'grad_norm': 16.271259643190707, 'learning_rate': 1.9312786270156135e-05, 'epoch': 0.73}
{'loss': 0.3946, 'grad_norm': 12.017869970425455, 'learning_rate': 1.929570435876721e-05, 'epoch': 0.73}
{'loss': 0.4264, 'grad_norm': 9.48703741522358, 'learning_rate': 1.927842048918867e-05, 'epoch': 0.74}
{'loss': 0.4179, 'grad_norm': 12.576256601268172, 'learning_rate': 1.926093503692933e-05, 'epoch': 0.75}
{'loss': 0.4011, 'grad_norm': 12.554280035326249, 'learning_rate': 1.9243248381877605e-05, 'epoch': 0.76}
{'loss': 0.4429, 'grad_norm': 19.084755402527442, 'learning_rate': 1.9225360908293217e-05, 'epoch': 0.76}
{'loss': 0.4648, 'grad_norm': 12.007098822146414, 'learning_rate': 1.9207273004798873e-05, 'epoch': 0.77}
{'loss': 0.4322, 'grad_norm': 20.29760766535567, 'learning_rate': 1.9188985064371818e-05, 'epoch': 0.78}
{'loss': 0.4403, 'grad_norm': 16.910846371553916, 'learning_rate': 1.9170497484335276e-05, 'epoch': 0.78}
{'loss': 0.4154, 'grad_norm': 15.220451228784915, 'learning_rate': 1.915181066634986e-05, 'epoch': 0.79}
{'loss': 0.4395, 'grad_norm': 17.009581775594512, 'learning_rate': 1.9132925016404805e-05, 'epoch': 0.8}
{'loss': 0.4805, 'grad_norm': 12.16202487773808, 'learning_rate': 1.911384094480916e-05, 'epoch': 0.81}
{'loss': 0.3994, 'grad_norm': 15.705922758720412, 'learning_rate': 1.9094558866182892e-05, 'epoch': 0.81}
{'loss': 0.389, 'grad_norm': 15.862450676620114, 'learning_rate': 1.907507919944785e-05, 'epoch': 0.82}
{'loss': 0.4238, 'grad_norm': 13.739051669867495, 'learning_rate': 1.9055402367818673e-05, 'epoch': 0.83}
