Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.213, 'grad_norm': 247.01629449256393, 'learning_rate': 8.955223880597015e-07, 'epoch': 0.01}
{'loss': 4.0388, 'grad_norm': 292.14274531255154, 'learning_rate': 1.791044776119403e-06, 'epoch': 0.02}
{'loss': 4.2342, 'grad_norm': 249.00888240452886, 'learning_rate': 2.686567164179105e-06, 'epoch': 0.03}
{'loss': 3.5464, 'grad_norm': 238.642332074264, 'learning_rate': 3.582089552238806e-06, 'epoch': 0.04}
{'loss': 2.8473, 'grad_norm': 378.8554900438014, 'learning_rate': 4.477611940298508e-06, 'epoch': 0.05}
{'loss': 2.4105, 'grad_norm': 202.51960003005675, 'learning_rate': 5.37313432835821e-06, 'epoch': 0.06}
{'loss': 1.7589, 'grad_norm': 296.7604329719099, 'learning_rate': 6.2686567164179116e-06, 'epoch': 0.08}
{'loss': 1.1564, 'grad_norm': 137.19141405522356, 'learning_rate': 7.164179104477612e-06, 'epoch': 0.09}
{'loss': 0.6326, 'grad_norm': 63.66760596231034, 'learning_rate': 8.059701492537314e-06, 'epoch': 0.1}
{'loss': 0.6125, 'grad_norm': 62.05155902512852, 'learning_rate': 8.955223880597016e-06, 'epoch': 0.11}
{'loss': 0.4881, 'grad_norm': 35.515643093778856, 'learning_rate': 9.850746268656717e-06, 'epoch': 0.12}
{'loss': 0.4745, 'grad_norm': 39.240106043787925, 'learning_rate': 1.074626865671642e-05, 'epoch': 0.13}
{'loss': 0.4368, 'grad_norm': 30.183364807790667, 'learning_rate': 1.1641791044776121e-05, 'epoch': 0.14}
{'loss': 0.4777, 'grad_norm': 22.842668389506542, 'learning_rate': 1.2537313432835823e-05, 'epoch': 0.15}
{'loss': 0.4259, 'grad_norm': 30.371315141919606, 'learning_rate': 1.3432835820895525e-05, 'epoch': 0.16}
{'loss': 0.4226, 'grad_norm': 27.01544147601963, 'learning_rate': 1.4328358208955224e-05, 'epoch': 0.17}
{'loss': 0.4898, 'grad_norm': 28.53667418564151, 'learning_rate': 1.5223880597014925e-05, 'epoch': 0.18}
{'loss': 0.4048, 'grad_norm': 22.28737488961463, 'learning_rate': 1.6119402985074627e-05, 'epoch': 0.19}
{'loss': 0.4384, 'grad_norm': 24.667867865473795, 'learning_rate': 1.701492537313433e-05, 'epoch': 0.21}
{'loss': 0.407, 'grad_norm': 20.61148925704258, 'learning_rate': 1.791044776119403e-05, 'epoch': 0.22}
{'loss': 0.4307, 'grad_norm': 40.26936707915424, 'learning_rate': 1.8805970149253735e-05, 'epoch': 0.23}
{'loss': 0.425, 'grad_norm': 28.581171111471637, 'learning_rate': 1.9701492537313435e-05, 'epoch': 0.24}
{'loss': 0.4653, 'grad_norm': 12.604850734473928, 'learning_rate': 1.9999957574287587e-05, 'epoch': 0.25}
{'loss': 0.4852, 'grad_norm': 22.98088289965822, 'learning_rate': 1.9999734840281743e-05, 'epoch': 0.26}
{'loss': 0.4265, 'grad_norm': 20.65951635874213, 'learning_rate': 1.9999321195801086e-05, 'epoch': 0.27}
{'loss': 0.4516, 'grad_norm': 29.223276113201354, 'learning_rate': 1.9998716648742723e-05, 'epoch': 0.28}
{'loss': 0.4102, 'grad_norm': 17.42866482384841, 'learning_rate': 1.9997921210648408e-05, 'epoch': 0.29}
{'loss': 0.4341, 'grad_norm': 21.29087966908411, 'learning_rate': 1.9996934896704282e-05, 'epoch': 0.3}
{'loss': 0.463, 'grad_norm': 12.519442592992208, 'learning_rate': 1.9995757725740612e-05, 'epoch': 0.31}
{'loss': 0.4472, 'grad_norm': 17.585883646542968, 'learning_rate': 1.9994389720231423e-05, 'epoch': 0.32}
{'loss': 0.446, 'grad_norm': 25.429564659788248, 'learning_rate': 1.999283090629406e-05, 'epoch': 0.33}
{'loss': 0.4308, 'grad_norm': 20.869751995955905, 'learning_rate': 1.999108131368871e-05, 'epoch': 0.35}
{'loss': 0.4452, 'grad_norm': 18.587932307165715, 'learning_rate': 1.9989140975817813e-05, 'epoch': 0.36}
{'loss': 0.4246, 'grad_norm': 16.3174966223327, 'learning_rate': 1.9987009929725428e-05, 'epoch': 0.37}
{'loss': 0.4466, 'grad_norm': 15.037565927171695, 'learning_rate': 1.9984688216096542e-05, 'epoch': 0.38}
{'loss': 0.4163, 'grad_norm': 17.020633812230297, 'learning_rate': 1.998217587925627e-05, 'epoch': 0.39}
{'loss': 0.4294, 'grad_norm': 16.672436523489548, 'learning_rate': 1.997947296716903e-05, 'epoch': 0.4}
{'loss': 0.3904, 'grad_norm': 16.97020190381588, 'learning_rate': 1.9976579531437616e-05, 'epoch': 0.41}
{'loss': 0.418, 'grad_norm': 17.519336590431454, 'learning_rate': 1.9973495627302207e-05, 'epoch': 0.42}
{'loss': 0.4221, 'grad_norm': 14.87029223602802, 'learning_rate': 1.9970221313639324e-05, 'epoch': 0.43}
{'loss': 0.4367, 'grad_norm': 17.198039893654045, 'learning_rate': 1.9966756652960704e-05, 'epoch': 0.44}
{'loss': 0.4143, 'grad_norm': 20.00367252701671, 'learning_rate': 1.99631017114121e-05, 'epoch': 0.45}
{'loss': 0.4415, 'grad_norm': 19.431184623714223, 'learning_rate': 1.995925655877203e-05, 'epoch': 0.46}
{'loss': 0.438, 'grad_norm': 20.65805145390219, 'learning_rate': 1.995522126845043e-05, 'epoch': 0.47}
{'loss': 0.4343, 'grad_norm': 18.962770280550874, 'learning_rate': 1.9950995917487256e-05, 'epoch': 0.49}
{'loss': 0.4651, 'grad_norm': 19.127546095937944, 'learning_rate': 1.994658058655103e-05, 'epoch': 0.5}
{'loss': 0.4163, 'grad_norm': 16.35293464752196, 'learning_rate': 1.994197535993728e-05, 'epoch': 0.51}
{'loss': 0.4282, 'grad_norm': 22.133624995446507, 'learning_rate': 1.9937180325566934e-05, 'epoch': 0.52}
{'loss': 0.4384, 'grad_norm': 37.1330694263884, 'learning_rate': 1.993219557498465e-05, 'epoch': 0.53}
{'loss': 0.4739, 'grad_norm': 20.62205115141434, 'learning_rate': 1.9927021203357054e-05, 'epoch': 0.54}
{'loss': 0.4095, 'grad_norm': 13.853532663617777, 'learning_rate': 1.9921657309470953e-05, 'epoch': 0.55}
{'loss': 0.4028, 'grad_norm': 16.381196198487583, 'learning_rate': 1.9916103995731406e-05, 'epoch': 0.56}
{'loss': 0.4324, 'grad_norm': 14.211697191931199, 'learning_rate': 1.9910361368159803e-05, 'epoch': 0.57}
{'loss': 0.4107, 'grad_norm': 17.778866409796787, 'learning_rate': 1.9904429536391828e-05, 'epoch': 0.58}
{'loss': 0.4334, 'grad_norm': 14.69978695130218, 'learning_rate': 1.9898308613675364e-05, 'epoch': 0.59}
{'loss': 0.4227, 'grad_norm': 18.27914862513024, 'learning_rate': 1.989199871686834e-05, 'epoch': 0.6}
{'loss': 0.4393, 'grad_norm': 18.756242142897356, 'learning_rate': 1.988549996643648e-05, 'epoch': 0.62}
{'loss': 0.4373, 'grad_norm': 15.388683028288272, 'learning_rate': 1.987881248645104e-05, 'epoch': 0.63}
{'loss': 0.4553, 'grad_norm': 10.577823923264523, 'learning_rate': 1.9871936404586392e-05, 'epoch': 0.64}
{'loss': 0.4505, 'grad_norm': 25.438882227273435, 'learning_rate': 1.986487185211763e-05, 'epoch': 0.65}
{'loss': 0.4445, 'grad_norm': 22.790259987118592, 'learning_rate': 1.9857618963918033e-05, 'epoch': 0.66}
{'loss': 0.426, 'grad_norm': 15.211844851233348, 'learning_rate': 1.9850177878456503e-05, 'epoch': 0.67}
{'loss': 0.437, 'grad_norm': 15.169813632762603, 'learning_rate': 1.984254873779493e-05, 'epoch': 0.68}
{'loss': 0.4204, 'grad_norm': 20.032859876814925, 'learning_rate': 1.983473168758546e-05, 'epoch': 0.69}
{'loss': 0.4274, 'grad_norm': 26.48480860595535, 'learning_rate': 1.982672687706772e-05, 'epoch': 0.7}
{'loss': 0.45, 'grad_norm': 22.37976433813632, 'learning_rate': 1.9818534459065992e-05, 'epoch': 0.71}
{'loss': 0.4468, 'grad_norm': 15.48198489159329, 'learning_rate': 1.9810154589986257e-05, 'epoch': 0.72}
{'loss': 0.4205, 'grad_norm': 17.00658283712365, 'learning_rate': 1.9801587429813237e-05, 'epoch': 0.73}
{'loss': 0.4205, 'grad_norm': 17.295312217217003, 'learning_rate': 1.979283314210733e-05, 'epoch': 0.74}
{'loss': 0.4019, 'grad_norm': 14.87122190553445, 'learning_rate': 1.9783891894001484e-05, 'epoch': 0.76}
{'loss': 0.4531, 'grad_norm': 21.849641559811097, 'learning_rate': 1.977476385619803e-05, 'epoch': 0.77}
{'loss': 0.4498, 'grad_norm': 37.44562271465209, 'learning_rate': 1.9765449202965387e-05, 'epoch': 0.78}
{'loss': 0.4485, 'grad_norm': 11.662535722206687, 'learning_rate': 1.9755948112134758e-05, 'epoch': 0.79}
{'loss': 0.4234, 'grad_norm': 19.079974660529103, 'learning_rate': 1.9746260765096724e-05, 'epoch': 0.8}
{'loss': 0.4519, 'grad_norm': 27.25701954315026, 'learning_rate': 1.9736387346797793e-05, 'epoch': 0.81}
{'loss': 0.3911, 'grad_norm': 19.7079051794456, 'learning_rate': 1.9726328045736863e-05, 'epoch': 0.82}
{'loss': 0.4152, 'grad_norm': 18.133626345635356, 'learning_rate': 1.9716083053961622e-05, 'epoch': 0.83}
{'loss': 0.4234, 'grad_norm': 23.179004942391515, 'learning_rate': 1.9705652567064877e-05, 'epoch': 0.84}
{'loss': 0.4518, 'grad_norm': 189.78399885662276, 'learning_rate': 1.969503678418083e-05, 'epoch': 0.85}
{'loss': 0.4163, 'grad_norm': 15.619221955370111, 'learning_rate': 1.9684235907981274e-05, 'epoch': 0.86}
{'loss': 0.4494, 'grad_norm': 17.698014941289053, 'learning_rate': 1.967325014467171e-05, 'epoch': 0.87}
{'loss': 0.4171, 'grad_norm': 22.022471429825647, 'learning_rate': 1.9662079703987435e-05, 'epoch': 0.88}
{'loss': 0.387, 'grad_norm': 13.781742568821006, 'learning_rate': 1.965072479918951e-05, 'epoch': 0.9}
{'loss': 0.4414, 'grad_norm': 24.892901031950537, 'learning_rate': 1.963918564706072e-05, 'epoch': 0.91}
{'loss': 0.427, 'grad_norm': 14.780440376888912, 'learning_rate': 1.9627462467901397e-05, 'epoch': 0.92}
{'loss': 0.4202, 'grad_norm': 14.025799690977918, 'learning_rate': 1.9615555485525255e-05, 'epoch': 0.93}
{'loss': 0.4211, 'grad_norm': 16.4600882197346, 'learning_rate': 1.960346492725508e-05, 'epoch': 0.94}
{'loss': 0.4257, 'grad_norm': 16.47016911751546, 'learning_rate': 1.9591191023918417e-05, 'epoch': 0.95}
{'loss': 0.4048, 'grad_norm': 13.892854633009089, 'learning_rate': 1.9578734009843156e-05, 'epoch': 0.96}
{'loss': 0.4046, 'grad_norm': 16.772810876173054, 'learning_rate': 1.956609412285304e-05, 'epoch': 0.97}
{'loss': 0.4449, 'grad_norm': 19.56424327742314, 'learning_rate': 1.955327160426316e-05, 'epoch': 0.98}
{'loss': 0.4248, 'grad_norm': 15.949919329578359, 'learning_rate': 1.9540266698875315e-05, 'epoch': 0.99}
{'loss': 0.3992, 'grad_norm': 13.305357011420305, 'learning_rate': 1.9527079654973353e-05, 'epoch': 1.0}
{'loss': 0.4045, 'grad_norm': 11.391287853693512, 'learning_rate': 1.9513710724318432e-05, 'epoch': 1.01}
{'loss': 0.4232, 'grad_norm': 14.905320990561316, 'learning_rate': 1.950016016214421e-05, 'epoch': 1.03}
{'loss': 0.4862, 'grad_norm': 27.963287988961063, 'learning_rate': 1.9486428227151973e-05, 'epoch': 1.04}
{'loss': 0.4972, 'grad_norm': 15.09815851031382, 'learning_rate': 1.9472515181505694e-05, 'epoch': 1.05}
{'loss': 0.407, 'grad_norm': 34.44345760785368, 'learning_rate': 1.9458421290827035e-05, 'epoch': 1.06}
{'loss': 0.442, 'grad_norm': 17.029424345660757, 'learning_rate': 1.9444146824190263e-05, 'epoch': 1.07}
{'loss': 0.417, 'grad_norm': 17.999761687237903, 'learning_rate': 1.9429692054117128e-05, 'epoch': 1.08}
{'loss': 0.4104, 'grad_norm': 16.079427499295218, 'learning_rate': 1.9415057256571642e-05, 'epoch': 1.09}
{'loss': 0.4269, 'grad_norm': 17.836990642727983, 'learning_rate': 1.9400242710954837e-05, 'epoch': 1.1}
{'loss': 0.4285, 'grad_norm': 13.154036296771642, 'learning_rate': 1.9385248700099402e-05, 'epoch': 1.11}
{'loss': 0.4207, 'grad_norm': 14.567543848125695, 'learning_rate': 1.9370075510264304e-05, 'epoch': 1.12}
