Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.1198, 'grad_norm': 321.1479020640355, 'learning_rate': 5.970149253731343e-07, 'epoch': 0.01}
{'loss': 4.1288, 'grad_norm': 241.8539955293737, 'learning_rate': 1.4925373134328358e-06, 'epoch': 0.02}
{'loss': 4.2072, 'grad_norm': 280.8964532891902, 'learning_rate': 2.3880597014925373e-06, 'epoch': 0.03}
{'loss': 3.3807, 'grad_norm': 185.41074901646812, 'learning_rate': 3.283582089552239e-06, 'epoch': 0.04}
{'loss': 3.1281, 'grad_norm': 245.21596356450686, 'learning_rate': 4.17910447761194e-06, 'epoch': 0.05}
{'loss': 2.8696, 'grad_norm': 234.6206573975833, 'learning_rate': 5.074626865671642e-06, 'epoch': 0.06}
{'loss': 2.0928, 'grad_norm': 346.45380788828265, 'learning_rate': 5.970149253731343e-06, 'epoch': 0.08}
{'loss': 1.1995, 'grad_norm': 113.24269068237908, 'learning_rate': 6.865671641791045e-06, 'epoch': 0.09}
{'loss': 1.0099, 'grad_norm': 280.42209280378967, 'learning_rate': 7.761194029850747e-06, 'epoch': 0.1}
{'loss': 0.7057, 'grad_norm': 93.94915354677175, 'learning_rate': 8.656716417910447e-06, 'epoch': 0.11}
{'loss': 0.4736, 'grad_norm': 44.884703591018294, 'learning_rate': 9.552238805970149e-06, 'epoch': 0.12}
{'loss': 0.4958, 'grad_norm': 36.382899768689086, 'learning_rate': 1.0447761194029851e-05, 'epoch': 0.13}
{'loss': 0.434, 'grad_norm': 37.50201768888099, 'learning_rate': 1.1343283582089553e-05, 'epoch': 0.14}
{'loss': 0.5072, 'grad_norm': 22.090895833875994, 'learning_rate': 1.2238805970149255e-05, 'epoch': 0.15}
{'loss': 0.4175, 'grad_norm': 22.747162860797488, 'learning_rate': 1.3134328358208957e-05, 'epoch': 0.16}
{'loss': 0.424, 'grad_norm': 66.49459076920614, 'learning_rate': 1.4029850746268658e-05, 'epoch': 0.17}
{'loss': 0.464, 'grad_norm': 40.280536650032815, 'learning_rate': 1.492537313432836e-05, 'epoch': 0.18}
{'loss': 0.4062, 'grad_norm': 25.007117355108665, 'learning_rate': 1.582089552238806e-05, 'epoch': 0.19}
{'loss': 0.4301, 'grad_norm': 43.100651287729995, 'learning_rate': 1.671641791044776e-05, 'epoch': 0.21}
{'loss': 0.4065, 'grad_norm': 22.990112520047244, 'learning_rate': 1.7611940298507464e-05, 'epoch': 0.22}
{'loss': 0.423, 'grad_norm': 34.146912789531555, 'learning_rate': 1.8507462686567165e-05, 'epoch': 0.23}
{'loss': 0.4031, 'grad_norm': 24.441407185853414, 'learning_rate': 1.9402985074626868e-05, 'epoch': 0.24}
{'loss': 0.4636, 'grad_norm': 16.34250589081864, 'learning_rate': 1.999998939356627e-05, 'epoch': 0.25}
{'loss': 0.4755, 'grad_norm': 21.330647455032086, 'learning_rate': 1.9999830297510324e-05, 'epoch': 0.26}
{'loss': 0.4191, 'grad_norm': 19.396608957624988, 'learning_rate': 1.9999480289157135e-05, 'epoch': 0.27}
{'loss': 0.4362, 'grad_norm': 28.24601171745574, 'learning_rate': 1.9998939375188903e-05, 'epoch': 0.28}
{'loss': 0.4144, 'grad_norm': 18.327176376842765, 'learning_rate': 1.9998207565932524e-05, 'epoch': 0.29}
{'loss': 0.428, 'grad_norm': 21.573284345112228, 'learning_rate': 1.9997284875359364e-05, 'epoch': 0.3}
{'loss': 0.4539, 'grad_norm': 15.523641008791945, 'learning_rate': 1.9996171321085024e-05, 'epoch': 0.31}
{'loss': 0.4353, 'grad_norm': 19.323447251652144, 'learning_rate': 1.9994866924368988e-05, 'epoch': 0.32}
{'loss': 0.4262, 'grad_norm': 22.059288872078934, 'learning_rate': 1.9993371710114213e-05, 'epoch': 0.33}
{'loss': 0.4139, 'grad_norm': 21.862158196172768, 'learning_rate': 1.9991685706866663e-05, 'epoch': 0.35}
{'loss': 0.442, 'grad_norm': 22.61178094851687, 'learning_rate': 1.9989808946814758e-05, 'epoch': 0.36}
{'loss': 0.4313, 'grad_norm': 18.920202543155924, 'learning_rate': 1.9987741465788765e-05, 'epoch': 0.37}
{'loss': 0.4415, 'grad_norm': 14.425908025029566, 'learning_rate': 1.998548330326011e-05, 'epoch': 0.38}
{'loss': 0.4189, 'grad_norm': 17.302276665624472, 'learning_rate': 1.9983034502340622e-05, 'epoch': 0.39}
{'loss': 0.4066, 'grad_norm': 18.18187703311868, 'learning_rate': 1.9980395109781717e-05, 'epoch': 0.4}
{'loss': 0.3823, 'grad_norm': 19.95704811825097, 'learning_rate': 1.9977565175973498e-05, 'epoch': 0.41}
{'loss': 0.4226, 'grad_norm': 16.86120780957661, 'learning_rate': 1.99745447549438e-05, 'epoch': 0.42}
{'loss': 0.4442, 'grad_norm': 16.592520780070814, 'learning_rate': 1.9971333904357152e-05, 'epoch': 0.43}
{'loss': 0.4391, 'grad_norm': 21.008539718518225, 'learning_rate': 1.996793268551368e-05, 'epoch': 0.44}
{'loss': 0.4251, 'grad_norm': 24.140504594872603, 'learning_rate': 1.996434116334794e-05, 'epoch': 0.45}
{'loss': 0.4314, 'grad_norm': 21.42190097689308, 'learning_rate': 1.9960559406427666e-05, 'epoch': 0.46}
{'loss': 0.4441, 'grad_norm': 21.231209255960295, 'learning_rate': 1.9956587486952478e-05, 'epoch': 0.47}
{'loss': 0.4233, 'grad_norm': 19.416766351741433, 'learning_rate': 1.9952425480752483e-05, 'epoch': 0.49}
{'loss': 0.468, 'grad_norm': 19.811381788922834, 'learning_rate': 1.9948073467286853e-05, 'epoch': 0.5}
{'loss': 0.4121, 'grad_norm': 20.17640276333284, 'learning_rate': 1.9943531529642283e-05, 'epoch': 0.51}
{'loss': 0.4311, 'grad_norm': 23.26230137670623, 'learning_rate': 1.993879975453142e-05, 'epoch': 0.52}
{'loss': 0.4148, 'grad_norm': 25.687500271186877, 'learning_rate': 1.9933878232291205e-05, 'epoch': 0.53}
{'loss': 0.4743, 'grad_norm': 21.384526541201257, 'learning_rate': 1.9928767056881137e-05, 'epoch': 0.54}
{'loss': 0.4135, 'grad_norm': 16.175614617361774, 'learning_rate': 1.9923466325881503e-05, 'epoch': 0.55}
{'loss': 0.4147, 'grad_norm': 17.891942042947203, 'learning_rate': 1.9917976140491496e-05, 'epoch': 0.56}
{'loss': 0.4373, 'grad_norm': 13.347865985976368, 'learning_rate': 1.9912296605527277e-05, 'epoch': 0.57}
{'loss': 0.4158, 'grad_norm': 21.568579535704423, 'learning_rate': 1.990642782942e-05, 'epoch': 0.58}
{'loss': 0.4385, 'grad_norm': 13.979373916861874, 'learning_rate': 1.990036992421371e-05, 'epoch': 0.59}
{'loss': 0.4259, 'grad_norm': 17.56516637648827, 'learning_rate': 1.989412300556324e-05, 'epoch': 0.6}
{'loss': 0.4296, 'grad_norm': 18.153396095252955, 'learning_rate': 1.988768719273197e-05, 'epoch': 0.62}
{'loss': 0.4442, 'grad_norm': 15.940185967930274, 'learning_rate': 1.9881062608589562e-05, 'epoch': 0.63}
{'loss': 0.4301, 'grad_norm': 11.536835729300865, 'learning_rate': 1.9874249379609627e-05, 'epoch': 0.64}
