Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.1328, 'grad_norm': 19.600588436482358, 'learning_rate': 5.970149253731343e-07, 'epoch': 0.01}
{'loss': 4.1936, 'grad_norm': 17.313102573503908, 'learning_rate': 1.4925373134328358e-06, 'epoch': 0.02}
{'loss': 4.3283, 'grad_norm': 20.52795547827246, 'learning_rate': 2.3880597014925373e-06, 'epoch': 0.03}
{'loss': 3.4708, 'grad_norm': 16.042378106155404, 'learning_rate': 3.283582089552239e-06, 'epoch': 0.04}
{'loss': 3.5792, 'grad_norm': 20.048709238124673, 'learning_rate': 4.17910447761194e-06, 'epoch': 0.05}
{'loss': 3.8385, 'grad_norm': 17.382062619839346, 'learning_rate': 5.074626865671642e-06, 'epoch': 0.06}
{'loss': 3.9706, 'grad_norm': 27.67612251469927, 'learning_rate': 5.970149253731343e-06, 'epoch': 0.08}
{'loss': 3.1883, 'grad_norm': 19.374116934971845, 'learning_rate': 6.865671641791045e-06, 'epoch': 0.09}
{'loss': 2.3286, 'grad_norm': 17.65525989082585, 'learning_rate': 7.761194029850747e-06, 'epoch': 0.1}
{'loss': 2.111, 'grad_norm': 16.05359012668326, 'learning_rate': 8.656716417910447e-06, 'epoch': 0.11}
{'loss': 1.3733, 'grad_norm': 14.193908538898244, 'learning_rate': 9.552238805970149e-06, 'epoch': 0.12}
{'loss': 1.1279, 'grad_norm': 11.748393747771521, 'learning_rate': 1.0447761194029851e-05, 'epoch': 0.13}
{'loss': 0.6857, 'grad_norm': 8.44379839122748, 'learning_rate': 1.1343283582089553e-05, 'epoch': 0.14}
{'loss': 0.6722, 'grad_norm': 3.9610791230148856, 'learning_rate': 1.2238805970149255e-05, 'epoch': 0.15}
{'loss': 0.4693, 'grad_norm': 3.599711708832486, 'learning_rate': 1.3134328358208957e-05, 'epoch': 0.16}
{'loss': 0.4548, 'grad_norm': 2.5904830218667523, 'learning_rate': 1.4029850746268658e-05, 'epoch': 0.17}
{'loss': 0.451, 'grad_norm': 1.8697836875567446, 'learning_rate': 1.492537313432836e-05, 'epoch': 0.18}
{'loss': 0.417, 'grad_norm': 2.4306219103568902, 'learning_rate': 1.582089552238806e-05, 'epoch': 0.19}
{'loss': 0.4507, 'grad_norm': 2.006451562528185, 'learning_rate': 1.671641791044776e-05, 'epoch': 0.21}
{'loss': 0.4327, 'grad_norm': 2.216758150570647, 'learning_rate': 1.7611940298507464e-05, 'epoch': 0.22}
