Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.2857, 'grad_norm': 257.37802071769073, 'learning_rate': 5.970149253731343e-07, 'epoch': 0.01}
{'loss': 4.4006, 'grad_norm': 293.53286311464905, 'learning_rate': 1.4925373134328358e-06, 'epoch': 0.02}
{'loss': 4.1538, 'grad_norm': 293.868918007707, 'learning_rate': 2.3880597014925373e-06, 'epoch': 0.03}
{'loss': 3.315, 'grad_norm': 330.1021289174627, 'learning_rate': 3.283582089552239e-06, 'epoch': 0.04}
{'loss': 3.0089, 'grad_norm': 210.29544539757882, 'learning_rate': 4.17910447761194e-06, 'epoch': 0.05}
{'loss': 2.6876, 'grad_norm': 224.85956461294722, 'learning_rate': 5.074626865671642e-06, 'epoch': 0.06}
{'loss': 2.0761, 'grad_norm': 426.2128986801862, 'learning_rate': 5.970149253731343e-06, 'epoch': 0.08}
{'loss': 1.3046, 'grad_norm': 101.8792234207749, 'learning_rate': 6.865671641791045e-06, 'epoch': 0.09}
{'loss': 0.8345, 'grad_norm': 72.14084625185268, 'learning_rate': 7.761194029850747e-06, 'epoch': 0.1}
{'loss': 0.6538, 'grad_norm': 63.521431600414566, 'learning_rate': 8.656716417910447e-06, 'epoch': 0.11}
{'loss': 0.5672, 'grad_norm': 50.159258996385255, 'learning_rate': 9.552238805970149e-06, 'epoch': 0.12}
{'loss': 0.5717, 'grad_norm': 45.38578388820052, 'learning_rate': 1.0447761194029851e-05, 'epoch': 0.13}
{'loss': 0.5027, 'grad_norm': 81.85584467554953, 'learning_rate': 1.1343283582089553e-05, 'epoch': 0.14}
{'loss': 0.4546, 'grad_norm': 62.2316877950465, 'learning_rate': 1.2238805970149255e-05, 'epoch': 0.15}
{'loss': 0.4685, 'grad_norm': 40.02386762463474, 'learning_rate': 1.3134328358208957e-05, 'epoch': 0.16}
{'loss': 0.4768, 'grad_norm': 30.148102873921967, 'learning_rate': 1.4029850746268658e-05, 'epoch': 0.17}
{'loss': 0.4554, 'grad_norm': 32.392021261660176, 'learning_rate': 1.492537313432836e-05, 'epoch': 0.18}
{'loss': 0.4168, 'grad_norm': 17.033303932489414, 'learning_rate': 1.582089552238806e-05, 'epoch': 0.19}
{'loss': 0.4484, 'grad_norm': 43.89813869820303, 'learning_rate': 1.671641791044776e-05, 'epoch': 0.21}
{'loss': 0.4359, 'grad_norm': 32.09900249925532, 'learning_rate': 1.7611940298507464e-05, 'epoch': 0.22}
{'loss': 0.4392, 'grad_norm': 18.920104573477506, 'learning_rate': 1.8507462686567165e-05, 'epoch': 0.23}
{'loss': 0.4386, 'grad_norm': 18.241877459149286, 'learning_rate': 1.9402985074626868e-05, 'epoch': 0.24}
{'loss': 0.4373, 'grad_norm': 16.430783759071257, 'learning_rate': 1.999998939356627e-05, 'epoch': 0.25}
{'loss': 0.4579, 'grad_norm': 21.189149990178596, 'learning_rate': 1.9999830297510324e-05, 'epoch': 0.26}
{'loss': 0.4023, 'grad_norm': 15.972003316011884, 'learning_rate': 1.9999480289157135e-05, 'epoch': 0.27}
{'loss': 0.4419, 'grad_norm': 17.77017061174089, 'learning_rate': 1.9998939375188903e-05, 'epoch': 0.28}
{'loss': 0.3984, 'grad_norm': 17.943571849214067, 'learning_rate': 1.9998207565932524e-05, 'epoch': 0.29}
{'loss': 0.4661, 'grad_norm': 16.07767267887112, 'learning_rate': 1.9997284875359364e-05, 'epoch': 0.3}
{'loss': 0.4802, 'grad_norm': 24.2349185980158, 'learning_rate': 1.9996171321085024e-05, 'epoch': 0.31}
{'loss': 0.4417, 'grad_norm': 18.77753203386238, 'learning_rate': 1.9994866924368988e-05, 'epoch': 0.32}
{'loss': 0.4063, 'grad_norm': 25.207699353223813, 'learning_rate': 1.9993371710114213e-05, 'epoch': 0.33}
{'loss': 0.434, 'grad_norm': 20.80763810834339, 'learning_rate': 1.9991685706866663e-05, 'epoch': 0.35}
{'loss': 0.4514, 'grad_norm': 14.484457289290528, 'learning_rate': 1.9989808946814758e-05, 'epoch': 0.36}
{'loss': 0.4529, 'grad_norm': 20.082083985671982, 'learning_rate': 1.9987741465788765e-05, 'epoch': 0.37}
{'loss': 0.4555, 'grad_norm': 17.22648345901713, 'learning_rate': 1.998548330326011e-05, 'epoch': 0.38}
{'loss': 0.4082, 'grad_norm': 14.452600105377593, 'learning_rate': 1.9983034502340622e-05, 'epoch': 0.39}
{'loss': 0.4183, 'grad_norm': 15.940127036663519, 'learning_rate': 1.9980395109781717e-05, 'epoch': 0.4}
{'loss': 0.3903, 'grad_norm': 11.387443564032267, 'learning_rate': 1.9977565175973498e-05, 'epoch': 0.41}
{'loss': 0.4299, 'grad_norm': 19.7644696023558, 'learning_rate': 1.99745447549438e-05, 'epoch': 0.42}
{'loss': 0.4359, 'grad_norm': 13.552677589365468, 'learning_rate': 1.9971333904357152e-05, 'epoch': 0.43}
{'loss': 0.4427, 'grad_norm': 17.474218068621507, 'learning_rate': 1.996793268551368e-05, 'epoch': 0.44}
{'loss': 0.4124, 'grad_norm': 14.373182554346577, 'learning_rate': 1.996434116334794e-05, 'epoch': 0.45}
