Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 4.0629, 'grad_norm': 354.9540600707466, 'learning_rate': 5.970149253731343e-07, 'epoch': 0.01}
{'loss': 4.1354, 'grad_norm': 301.30955028932595, 'learning_rate': 1.4925373134328358e-06, 'epoch': 0.02}
{'loss': 4.1516, 'grad_norm': 275.3612800726171, 'learning_rate': 2.3880597014925373e-06, 'epoch': 0.03}
{'loss': 3.3044, 'grad_norm': 326.3052118765477, 'learning_rate': 3.283582089552239e-06, 'epoch': 0.04}
{'loss': 2.6846, 'grad_norm': 249.43219188439127, 'learning_rate': 4.17910447761194e-06, 'epoch': 0.05}
{'loss': 2.6544, 'grad_norm': 262.30135498171285, 'learning_rate': 5.074626865671642e-06, 'epoch': 0.06}
{'loss': 2.3121, 'grad_norm': 215.23533034837322, 'learning_rate': 5.970149253731343e-06, 'epoch': 0.08}
{'loss': 1.1164, 'grad_norm': 106.23894012183868, 'learning_rate': 6.865671641791045e-06, 'epoch': 0.09}
{'loss': 0.8763, 'grad_norm': 94.33269492016608, 'learning_rate': 7.761194029850747e-06, 'epoch': 0.1}
{'loss': 0.672, 'grad_norm': 57.074325603611285, 'learning_rate': 8.656716417910447e-06, 'epoch': 0.11}
{'loss': 0.5028, 'grad_norm': 125.84213256691815, 'learning_rate': 9.552238805970149e-06, 'epoch': 0.12}
{'loss': 0.5659, 'grad_norm': 53.3040296452649, 'learning_rate': 1.0447761194029851e-05, 'epoch': 0.13}
{'loss': 0.4954, 'grad_norm': 21.554264736092072, 'learning_rate': 1.1343283582089553e-05, 'epoch': 0.14}
{'loss': 0.5019, 'grad_norm': 59.94016928438202, 'learning_rate': 1.2238805970149255e-05, 'epoch': 0.15}
{'loss': 0.4841, 'grad_norm': 23.45769990922154, 'learning_rate': 1.3134328358208957e-05, 'epoch': 0.16}
{'loss': 0.4749, 'grad_norm': 33.898507220881676, 'learning_rate': 1.4029850746268658e-05, 'epoch': 0.17}
{'loss': 0.4666, 'grad_norm': 31.53934567076294, 'learning_rate': 1.492537313432836e-05, 'epoch': 0.18}
{'loss': 0.4182, 'grad_norm': 20.580591280026344, 'learning_rate': 1.582089552238806e-05, 'epoch': 0.19}
{'loss': 0.461, 'grad_norm': 45.342815556535534, 'learning_rate': 1.671641791044776e-05, 'epoch': 0.21}
{'loss': 0.427, 'grad_norm': 38.14891080223095, 'learning_rate': 1.7611940298507464e-05, 'epoch': 0.22}
{'loss': 0.4346, 'grad_norm': 17.436284976825224, 'learning_rate': 1.8507462686567165e-05, 'epoch': 0.23}
{'loss': 0.4258, 'grad_norm': 17.434260236105292, 'learning_rate': 1.9402985074626868e-05, 'epoch': 0.24}
{'loss': 0.4434, 'grad_norm': 19.84396990930719, 'learning_rate': 1.999998939356627e-05, 'epoch': 0.25}
{'loss': 0.4659, 'grad_norm': 20.822040594904983, 'learning_rate': 1.9999830297510324e-05, 'epoch': 0.26}
{'loss': 0.4111, 'grad_norm': 20.418137633303292, 'learning_rate': 1.9999480289157135e-05, 'epoch': 0.27}
{'loss': 0.4431, 'grad_norm': 21.444550874278285, 'learning_rate': 1.9998939375188903e-05, 'epoch': 0.28}
{'loss': 0.4097, 'grad_norm': 20.410745986342864, 'learning_rate': 1.9998207565932524e-05, 'epoch': 0.29}
{'loss': 0.464, 'grad_norm': 15.198981109914486, 'learning_rate': 1.9997284875359364e-05, 'epoch': 0.3}
{'loss': 0.4649, 'grad_norm': 26.203437955125047, 'learning_rate': 1.9996171321085024e-05, 'epoch': 0.31}
{'loss': 0.4473, 'grad_norm': 36.71724633216827, 'learning_rate': 1.9994866924368988e-05, 'epoch': 0.32}
{'loss': 0.4123, 'grad_norm': 18.820204184288627, 'learning_rate': 1.9993371710114213e-05, 'epoch': 0.33}
{'loss': 0.4396, 'grad_norm': 21.15410821674315, 'learning_rate': 1.9991685706866663e-05, 'epoch': 0.35}
{'loss': 0.4485, 'grad_norm': 15.651625698236716, 'learning_rate': 1.9989808946814758e-05, 'epoch': 0.36}
{'loss': 0.4479, 'grad_norm': 19.872423609738895, 'learning_rate': 1.9987741465788765e-05, 'epoch': 0.37}
{'loss': 0.452, 'grad_norm': 17.509888814856303, 'learning_rate': 1.998548330326011e-05, 'epoch': 0.38}
{'loss': 0.4053, 'grad_norm': 12.784472487903672, 'learning_rate': 1.9983034502340622e-05, 'epoch': 0.39}
{'loss': 0.4131, 'grad_norm': 14.809694618497742, 'learning_rate': 1.9980395109781717e-05, 'epoch': 0.4}
{'loss': 0.3863, 'grad_norm': 10.148784115919153, 'learning_rate': 1.9977565175973498e-05, 'epoch': 0.41}
{'loss': 0.4344, 'grad_norm': 19.642378859152082, 'learning_rate': 1.99745447549438e-05, 'epoch': 0.42}
{'loss': 0.4381, 'grad_norm': 14.206318065556301, 'learning_rate': 1.9971333904357152e-05, 'epoch': 0.43}
{'loss': 0.4421, 'grad_norm': 16.91477395541787, 'learning_rate': 1.996793268551368e-05, 'epoch': 0.44}
{'loss': 0.4217, 'grad_norm': 15.506481446628591, 'learning_rate': 1.996434116334794e-05, 'epoch': 0.45}
{'loss': 0.4155, 'grad_norm': 18.34078890640591, 'learning_rate': 1.9960559406427666e-05, 'epoch': 0.46}
{'loss': 0.4254, 'grad_norm': 15.980690395013236, 'learning_rate': 1.9956587486952478e-05, 'epoch': 0.47}
{'loss': 0.3927, 'grad_norm': 10.332943386225077, 'learning_rate': 1.9952425480752483e-05, 'epoch': 0.49}
{'loss': 0.4421, 'grad_norm': 12.411806496704273, 'learning_rate': 1.9948073467286853e-05, 'epoch': 0.5}
