Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 8537280
                                                                                                   
{'loss': 4.1026, 'grad_norm': 261.00296307606453, 'learning_rate': 2.9850746268656716e-07, 'epoch': 0.01}
{'loss': 4.2899, 'grad_norm': 216.59796448147, 'learning_rate': 7.462686567164179e-07, 'epoch': 0.02}
{'loss': 4.4719, 'grad_norm': 256.6967743450964, 'learning_rate': 1.1940298507462686e-06, 'epoch': 0.03}
{'loss': 3.6494, 'grad_norm': 188.8417552343029, 'learning_rate': 1.6417910447761196e-06, 'epoch': 0.04}
{'loss': 3.7069, 'grad_norm': 337.33698354393147, 'learning_rate': 2.08955223880597e-06, 'epoch': 0.05}
{'loss': 3.6455, 'grad_norm': 229.32516246548818, 'learning_rate': 2.537313432835821e-06, 'epoch': 0.06}
{'loss': 3.7858, 'grad_norm': 317.09852790763955, 'learning_rate': 2.9850746268656716e-06, 'epoch': 0.08}
{'loss': 2.828, 'grad_norm': 215.9813472645336, 'learning_rate': 3.4328358208955225e-06, 'epoch': 0.09}
{'loss': 2.0826, 'grad_norm': 141.2287267716493, 'learning_rate': 3.8805970149253735e-06, 'epoch': 0.1}
{'loss': 1.6682, 'grad_norm': 220.6198568470398, 'learning_rate': 4.3283582089552236e-06, 'epoch': 0.11}
{'loss': 0.9249, 'grad_norm': 78.04544207015758, 'learning_rate': 4.7761194029850745e-06, 'epoch': 0.12}
{'loss': 0.8729, 'grad_norm': 136.51765188048898, 'learning_rate': 5.2238805970149255e-06, 'epoch': 0.13}
{'loss': 0.6725, 'grad_norm': 60.78946085135659, 'learning_rate': 5.671641791044776e-06, 'epoch': 0.14}
{'loss': 0.5253, 'grad_norm': 105.86569001205876, 'learning_rate': 6.119402985074627e-06, 'epoch': 0.15}
{'loss': 0.5141, 'grad_norm': 46.353177226547416, 'learning_rate': 6.567164179104478e-06, 'epoch': 0.16}
{'loss': 0.5624, 'grad_norm': 54.82763366876074, 'learning_rate': 7.014925373134329e-06, 'epoch': 0.17}
{'loss': 0.5895, 'grad_norm': 50.49532137040168, 'learning_rate': 7.46268656716418e-06, 'epoch': 0.18}
{'loss': 0.4839, 'grad_norm': 36.552834971697294, 'learning_rate': 7.91044776119403e-06, 'epoch': 0.19}
{'loss': 0.54, 'grad_norm': 49.8861779706265, 'learning_rate': 8.35820895522388e-06, 'epoch': 0.21}
{'loss': 0.4785, 'grad_norm': 29.285403631813594, 'learning_rate': 8.805970149253732e-06, 'epoch': 0.22}
{'loss': 0.4751, 'grad_norm': 28.90308305443142, 'learning_rate': 9.253731343283582e-06, 'epoch': 0.23}
{'loss': 0.4662, 'grad_norm': 24.94340744614803, 'learning_rate': 9.701492537313434e-06, 'epoch': 0.24}
{'loss': 0.4758, 'grad_norm': 22.595088587332857, 'learning_rate': 9.999994696783136e-06, 'epoch': 0.25}
{'loss': 0.4859, 'grad_norm': 28.57250985125533, 'learning_rate': 9.999915148755162e-06, 'epoch': 0.26}
