Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 8537280
                                                                                                   
{'loss': 8.2955, 'grad_norm': 45.150558260748475, 'learning_rate': 4.4843049327354265e-08, 'epoch': 0.01}
{'loss': 9.3685, 'grad_norm': 45.5673914648266, 'learning_rate': 1.1210762331838565e-07, 'epoch': 0.02}
{'loss': 9.0662, 'grad_norm': 38.898560709893985, 'learning_rate': 1.7937219730941706e-07, 'epoch': 0.03}
{'loss': 9.094, 'grad_norm': 34.52988753259744, 'learning_rate': 2.4663677130044844e-07, 'epoch': 0.04}
{'loss': 9.5273, 'grad_norm': 50.69697733934638, 'learning_rate': 3.1390134529147985e-07, 'epoch': 0.05}
{'loss': 8.825, 'grad_norm': 41.86793259427504, 'learning_rate': 3.8116591928251125e-07, 'epoch': 0.06}
{'loss': 8.8581, 'grad_norm': 45.59854034719258, 'learning_rate': 4.484304932735426e-07, 'epoch': 0.08}
{'loss': 8.8876, 'grad_norm': 36.208040516860066, 'learning_rate': 5.15695067264574e-07, 'epoch': 0.09}
{'loss': 9.6764, 'grad_norm': 45.72039655746905, 'learning_rate': 5.829596412556054e-07, 'epoch': 0.1}
{'loss': 9.5176, 'grad_norm': 37.80846498171581, 'learning_rate': 6.502242152466367e-07, 'epoch': 0.11}
{'loss': 9.45, 'grad_norm': 44.73305142322019, 'learning_rate': 7.174887892376682e-07, 'epoch': 0.12}
{'loss': 9.8531, 'grad_norm': 44.10565555447821, 'learning_rate': 7.847533632286996e-07, 'epoch': 0.13}
{'loss': 10.1104, 'grad_norm': 40.822994087729015, 'learning_rate': 8.520179372197309e-07, 'epoch': 0.14}
{'loss': 8.0854, 'grad_norm': 47.5588458347079, 'learning_rate': 9.192825112107625e-07, 'epoch': 0.15}
{'loss': 8.1683, 'grad_norm': 37.097337132279094, 'learning_rate': 9.865470852017938e-07, 'epoch': 0.16}
{'loss': 8.9264, 'grad_norm': 37.74614257219448, 'learning_rate': 1.0538116591928252e-06, 'epoch': 0.17}
{'loss': 8.4618, 'grad_norm': 53.9068344124362, 'learning_rate': 1.1210762331838566e-06, 'epoch': 0.18}
{'loss': 9.1034, 'grad_norm': 41.51727150779622, 'learning_rate': 1.188340807174888e-06, 'epoch': 0.19}
{'loss': 8.6813, 'grad_norm': 36.14597325099906, 'learning_rate': 1.2556053811659194e-06, 'epoch': 0.21}
{'loss': 7.9342, 'grad_norm': 41.469751097280856, 'learning_rate': 1.3228699551569508e-06, 'epoch': 0.22}
{'loss': 7.86, 'grad_norm': 36.641257069418536, 'learning_rate': 1.3901345291479822e-06, 'epoch': 0.23}
{'loss': 8.1847, 'grad_norm': 50.43335609198523, 'learning_rate': 1.4573991031390136e-06, 'epoch': 0.24}
{'loss': 8.1078, 'grad_norm': 46.5171437508473, 'learning_rate': 1.524663677130045e-06, 'epoch': 0.25}
{'loss': 9.0383, 'grad_norm': 54.60746444278848, 'learning_rate': 1.5919282511210762e-06, 'epoch': 0.26}
{'loss': 10.1116, 'grad_norm': 44.16967592951632, 'learning_rate': 1.6591928251121078e-06, 'epoch': 0.27}
{'loss': 9.2466, 'grad_norm': 54.49292274193908, 'learning_rate': 1.7264573991031392e-06, 'epoch': 0.28}
{'loss': 8.9258, 'grad_norm': 46.60174167371729, 'learning_rate': 1.7937219730941704e-06, 'epoch': 0.29}
{'loss': 8.154, 'grad_norm': 42.81361079810852, 'learning_rate': 1.860986547085202e-06, 'epoch': 0.3}
{'loss': 6.9557, 'grad_norm': 38.95540890608683, 'learning_rate': 1.9282511210762332e-06, 'epoch': 0.31}
{'loss': 7.6555, 'grad_norm': 43.7598452807322, 'learning_rate': 1.9955156950672647e-06, 'epoch': 0.32}
{'loss': 7.7865, 'grad_norm': 43.96142372570011, 'learning_rate': 2.062780269058296e-06, 'epoch': 0.33}
{'loss': 7.1515, 'grad_norm': 39.02624391389007, 'learning_rate': 2.1300448430493275e-06, 'epoch': 0.35}
{'loss': 7.6229, 'grad_norm': 42.02378366344903, 'learning_rate': 2.197309417040359e-06, 'epoch': 0.36}
{'loss': 6.8083, 'grad_norm': 32.62013655414244, 'learning_rate': 2.2645739910313903e-06, 'epoch': 0.37}
{'loss': 6.701, 'grad_norm': 45.246692463428644, 'learning_rate': 2.3318385650224217e-06, 'epoch': 0.38}
{'loss': 6.7499, 'grad_norm': 30.356937803257917, 'learning_rate': 2.399103139013453e-06, 'epoch': 0.39}
{'loss': 6.0897, 'grad_norm': 33.89252092728068, 'learning_rate': 2.4663677130044845e-06, 'epoch': 0.4}
{'loss': 5.5791, 'grad_norm': 28.48480525708441, 'learning_rate': 2.533632286995516e-06, 'epoch': 0.41}
{'loss': 5.2794, 'grad_norm': 33.06421121492381, 'learning_rate': 2.600896860986547e-06, 'epoch': 0.42}
{'loss': 6.0108, 'grad_norm': 34.74559519759361, 'learning_rate': 2.6681614349775787e-06, 'epoch': 0.43}
{'loss': 4.3284, 'grad_norm': 26.559706493848598, 'learning_rate': 2.73542600896861e-06, 'epoch': 0.44}
{'loss': 4.6874, 'grad_norm': 24.442861980107597, 'learning_rate': 2.802690582959641e-06, 'epoch': 0.45}
{'loss': 3.9789, 'grad_norm': 22.66306531284274, 'learning_rate': 2.869955156950673e-06, 'epoch': 0.46}
{'loss': 3.005, 'grad_norm': 23.919207454701493, 'learning_rate': 2.9372197309417044e-06, 'epoch': 0.47}
{'loss': 3.7791, 'grad_norm': 24.400961785799197, 'learning_rate': 3.0044843049327353e-06, 'epoch': 0.49}
{'loss': 3.223, 'grad_norm': 23.873773124215155, 'learning_rate': 3.071748878923767e-06, 'epoch': 0.5}
{'loss': 3.3151, 'grad_norm': 21.05624899300886, 'learning_rate': 3.1390134529147986e-06, 'epoch': 0.51}
{'loss': 2.3301, 'grad_norm': 14.73482129488331, 'learning_rate': 3.2062780269058296e-06, 'epoch': 0.52}
{'loss': 2.263, 'grad_norm': 16.385055809685543, 'learning_rate': 3.2735426008968614e-06, 'epoch': 0.53}
{'loss': 2.3515, 'grad_norm': 19.81798786797056, 'learning_rate': 3.340807174887893e-06, 'epoch': 0.54}
{'loss': 2.3161, 'grad_norm': 15.337669189617104, 'learning_rate': 3.4080717488789238e-06, 'epoch': 0.55}
{'loss': 2.0395, 'grad_norm': 10.573975812787547, 'learning_rate': 3.4753363228699556e-06, 'epoch': 0.56}
{'loss': 2.2146, 'grad_norm': 12.679736006287067, 'learning_rate': 3.542600896860987e-06, 'epoch': 0.57}
{'loss': 1.7943, 'grad_norm': 11.360858321521285, 'learning_rate': 3.609865470852018e-06, 'epoch': 0.58}
