Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 8537280
                                                                                                   
{'loss': 9.3905, 'grad_norm': 115.79007783535641, 'learning_rate': 5.970149253731343e-08, 'epoch': 0.01}
{'loss': 8.9154, 'grad_norm': 130.8530710546026, 'learning_rate': 1.4925373134328355e-07, 'epoch': 0.02}
{'loss': 8.567, 'grad_norm': 102.27039320385921, 'learning_rate': 2.388059701492537e-07, 'epoch': 0.03}
{'loss': 10.0446, 'grad_norm': 114.59532834271067, 'learning_rate': 3.2835820895522385e-07, 'epoch': 0.04}
{'loss': 8.6097, 'grad_norm': 104.51781157202639, 'learning_rate': 4.17910447761194e-07, 'epoch': 0.05}
{'loss': 7.7732, 'grad_norm': 89.21711959581113, 'learning_rate': 5.074626865671642e-07, 'epoch': 0.06}
{'loss': 7.712, 'grad_norm': 97.76595535663891, 'learning_rate': 5.970149253731342e-07, 'epoch': 0.08}
{'loss': 8.2985, 'grad_norm': 105.21055636846636, 'learning_rate': 6.865671641791044e-07, 'epoch': 0.09}
{'loss': 8.7799, 'grad_norm': 100.08530391085192, 'learning_rate': 7.761194029850746e-07, 'epoch': 0.1}
{'loss': 9.489, 'grad_norm': 65.18092009503106, 'learning_rate': 8.656716417910447e-07, 'epoch': 0.11}
{'loss': 9.1198, 'grad_norm': 121.68551019155906, 'learning_rate': 9.552238805970149e-07, 'epoch': 0.12}
{'loss': 8.4784, 'grad_norm': 108.04250376392817, 'learning_rate': 1.0447761194029848e-06, 'epoch': 0.13}
{'loss': 8.3266, 'grad_norm': 93.02274484041585, 'learning_rate': 1.134328358208955e-06, 'epoch': 0.14}
{'loss': 6.248, 'grad_norm': 41.51306296892075, 'learning_rate': 1.2238805970149252e-06, 'epoch': 0.15}
{'loss': 6.7098, 'grad_norm': 89.86542037397295, 'learning_rate': 1.3134328358208954e-06, 'epoch': 0.16}
{'loss': 8.19, 'grad_norm': 76.39965966222348, 'learning_rate': 1.4029850746268656e-06, 'epoch': 0.17}
{'loss': 5.6269, 'grad_norm': 45.60214485069973, 'learning_rate': 1.4925373134328358e-06, 'epoch': 0.18}
{'loss': 6.7624, 'grad_norm': 67.77611736301435, 'learning_rate': 1.5820895522388058e-06, 'epoch': 0.19}
{'loss': 6.7276, 'grad_norm': 85.30160861739, 'learning_rate': 1.671641791044776e-06, 'epoch': 0.21}
