Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 8537280
                                                                                                   
{'loss': 9.6001, 'grad_norm': 92.57761436303566, 'learning_rate': 4.4843049327354265e-08, 'epoch': 0.01}
{'loss': 10.457, 'grad_norm': 95.17412277564485, 'learning_rate': 1.1210762331838565e-07, 'epoch': 0.02}
{'loss': 9.5484, 'grad_norm': 104.38938481686074, 'learning_rate': 1.7937219730941706e-07, 'epoch': 0.03}
{'loss': 9.6793, 'grad_norm': 92.31184682342037, 'learning_rate': 2.4663677130044844e-07, 'epoch': 0.04}
{'loss': 8.9002, 'grad_norm': 123.74800437329515, 'learning_rate': 3.1390134529147985e-07, 'epoch': 0.05}
{'loss': 8.4503, 'grad_norm': 90.54096303257882, 'learning_rate': 3.8116591928251125e-07, 'epoch': 0.06}
{'loss': 8.7952, 'grad_norm': 84.59487847274416, 'learning_rate': 4.484304932735426e-07, 'epoch': 0.08}
{'loss': 9.3122, 'grad_norm': 94.28836574626511, 'learning_rate': 5.15695067264574e-07, 'epoch': 0.09}
{'loss': 9.7403, 'grad_norm': 87.68412321204504, 'learning_rate': 5.829596412556054e-07, 'epoch': 0.1}
{'loss': 9.3511, 'grad_norm': 101.47530901595468, 'learning_rate': 6.502242152466367e-07, 'epoch': 0.11}
{'loss': 9.0003, 'grad_norm': 82.75768655652443, 'learning_rate': 7.174887892376682e-07, 'epoch': 0.12}
{'loss': 9.3394, 'grad_norm': 107.93272602121041, 'learning_rate': 7.847533632286996e-07, 'epoch': 0.13}
{'loss': 8.8742, 'grad_norm': 86.94323174041207, 'learning_rate': 8.520179372197309e-07, 'epoch': 0.14}
{'loss': 8.1243, 'grad_norm': 89.87381623254014, 'learning_rate': 9.192825112107625e-07, 'epoch': 0.15}
{'loss': 8.18, 'grad_norm': 73.27788281500288, 'learning_rate': 9.865470852017938e-07, 'epoch': 0.16}
{'loss': 7.8791, 'grad_norm': 87.38897495541647, 'learning_rate': 1.0538116591928252e-06, 'epoch': 0.17}
{'loss': 8.8637, 'grad_norm': 86.99757502523637, 'learning_rate': 1.1210762331838566e-06, 'epoch': 0.18}
{'loss': 8.8969, 'grad_norm': 75.86581257298367, 'learning_rate': 1.188340807174888e-06, 'epoch': 0.19}
{'loss': 7.1052, 'grad_norm': 69.89575218878237, 'learning_rate': 1.2556053811659194e-06, 'epoch': 0.21}
{'loss': 5.7508, 'grad_norm': 69.503492479566, 'learning_rate': 1.3228699551569508e-06, 'epoch': 0.22}
{'loss': 6.0898, 'grad_norm': 52.37466776729811, 'learning_rate': 1.3901345291479822e-06, 'epoch': 0.23}
{'loss': 6.2255, 'grad_norm': 70.83449001468627, 'learning_rate': 1.4573991031390136e-06, 'epoch': 0.24}
{'loss': 6.2238, 'grad_norm': 100.24471031765806, 'learning_rate': 1.524663677130045e-06, 'epoch': 0.25}
{'loss': 5.9489, 'grad_norm': 61.61791186814244, 'learning_rate': 1.5919282511210762e-06, 'epoch': 0.26}
{'loss': 6.0814, 'grad_norm': 46.6956244100608, 'learning_rate': 1.6591928251121078e-06, 'epoch': 0.27}
{'loss': 4.6926, 'grad_norm': 42.666420827843055, 'learning_rate': 1.7264573991031392e-06, 'epoch': 0.28}
{'loss': 4.4611, 'grad_norm': 43.874759911826544, 'learning_rate': 1.7937219730941704e-06, 'epoch': 0.29}
{'loss': 4.685, 'grad_norm': 38.193272213356835, 'learning_rate': 1.860986547085202e-06, 'epoch': 0.3}
{'loss': 4.4341, 'grad_norm': 53.96240799955023, 'learning_rate': 1.9282511210762332e-06, 'epoch': 0.31}
{'loss': 3.4269, 'grad_norm': 32.87290207321546, 'learning_rate': 1.9955156950672647e-06, 'epoch': 0.32}
{'loss': 3.6277, 'grad_norm': 27.409433453118314, 'learning_rate': 2.062780269058296e-06, 'epoch': 0.33}
{'loss': 3.5544, 'grad_norm': 30.30391120396013, 'learning_rate': 2.1300448430493275e-06, 'epoch': 0.35}
