Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 8537280
                                                                                                   
{'loss': 8.2917, 'grad_norm': 85.0390670111543, 'learning_rate': 4.484304932735426e-07, 'epoch': 0.01}
{'loss': 8.631, 'grad_norm': 110.82874515964815, 'learning_rate': 1.1210762331838566e-06, 'epoch': 0.02}
{'loss': 8.3389, 'grad_norm': 99.81383385075212, 'learning_rate': 1.7937219730941704e-06, 'epoch': 0.03}
{'loss': 8.886, 'grad_norm': 73.5817842110414, 'learning_rate': 2.466367713004484e-06, 'epoch': 0.04}
{'loss': 8.9389, 'grad_norm': 85.77572566641135, 'learning_rate': 3.1390134529147986e-06, 'epoch': 0.05}
{'loss': 8.0389, 'grad_norm': 70.84962813727677, 'learning_rate': 3.8116591928251122e-06, 'epoch': 0.06}
{'loss': 6.7799, 'grad_norm': 75.26013197732134, 'learning_rate': 4.484304932735426e-06, 'epoch': 0.08}
{'loss': 6.263, 'grad_norm': 64.1064350520937, 'learning_rate': 5.15695067264574e-06, 'epoch': 0.09}
{'loss': 4.4576, 'grad_norm': 38.24609662976886, 'learning_rate': 5.8295964125560544e-06, 'epoch': 0.1}
{'loss': 3.9556, 'grad_norm': 30.768858437554364, 'learning_rate': 6.502242152466368e-06, 'epoch': 0.11}
{'loss': 2.9321, 'grad_norm': 25.027898582069252, 'learning_rate': 7.174887892376682e-06, 'epoch': 0.12}
{'loss': 2.8678, 'grad_norm': 18.37004243257084, 'learning_rate': 7.847533632286996e-06, 'epoch': 0.13}
{'loss': 2.4587, 'grad_norm': 19.585326120155838, 'learning_rate': 8.52017937219731e-06, 'epoch': 0.14}
{'loss': 1.6077, 'grad_norm': 12.214539693579553, 'learning_rate': 9.192825112107624e-06, 'epoch': 0.15}
{'loss': 1.886, 'grad_norm': 14.033884861206829, 'learning_rate': 9.865470852017936e-06, 'epoch': 0.16}
{'loss': 1.7346, 'grad_norm': 13.730132591911325, 'learning_rate': 1.0538116591928252e-05, 'epoch': 0.17}
{'loss': 2.3167, 'grad_norm': 17.06003308227066, 'learning_rate': 1.1210762331838566e-05, 'epoch': 0.18}
{'loss': 1.8563, 'grad_norm': 7.9453704503868705, 'learning_rate': 1.1883408071748879e-05, 'epoch': 0.19}
{'loss': 1.439, 'grad_norm': 4.706347692741435, 'learning_rate': 1.2556053811659194e-05, 'epoch': 0.21}
{'loss': 1.3412, 'grad_norm': 9.438269966455488, 'learning_rate': 1.3228699551569507e-05, 'epoch': 0.22}
{'loss': 1.3891, 'grad_norm': 5.920579102546913, 'learning_rate': 1.3901345291479822e-05, 'epoch': 0.23}
{'loss': 1.4108, 'grad_norm': 6.684968119827765, 'learning_rate': 1.4573991031390136e-05, 'epoch': 0.24}
{'loss': 1.2987, 'grad_norm': 4.8122574155986815, 'learning_rate': 1.5246636771300449e-05, 'epoch': 0.25}
{'loss': 1.2276, 'grad_norm': 4.223657055566523, 'learning_rate': 1.5919282511210763e-05, 'epoch': 0.26}
{'loss': 1.2957, 'grad_norm': 3.269646989940404, 'learning_rate': 1.6591928251121077e-05, 'epoch': 0.27}
{'loss': 1.2457, 'grad_norm': 3.236903105066959, 'learning_rate': 1.726457399103139e-05, 'epoch': 0.28}
{'loss': 1.2774, 'grad_norm': 3.5263768690026023, 'learning_rate': 1.7937219730941705e-05, 'epoch': 0.29}
{'loss': 1.2597, 'grad_norm': 3.1543453808593456, 'learning_rate': 1.860986547085202e-05, 'epoch': 0.3}
{'loss': 1.3105, 'grad_norm': 3.910285231313895, 'learning_rate': 1.9282511210762333e-05, 'epoch': 0.31}
{'loss': 1.2551, 'grad_norm': 3.292897656266737, 'learning_rate': 1.9955156950672647e-05, 'epoch': 0.32}
{'loss': 1.2238, 'grad_norm': 4.152632663852094, 'learning_rate': 2.062780269058296e-05, 'epoch': 0.33}
{'loss': 1.2598, 'grad_norm': 3.5666287512655934, 'learning_rate': 2.1300448430493276e-05, 'epoch': 0.35}
{'loss': 1.2749, 'grad_norm': 2.679454635347406, 'learning_rate': 2.197309417040359e-05, 'epoch': 0.36}
{'loss': 1.2715, 'grad_norm': 2.9129005580310476, 'learning_rate': 2.26457399103139e-05, 'epoch': 0.37}
{'loss': 1.2879, 'grad_norm': 2.7941762084391577, 'learning_rate': 2.3318385650224218e-05, 'epoch': 0.38}
{'loss': 1.1895, 'grad_norm': 2.837348096468539, 'learning_rate': 2.3991031390134532e-05, 'epoch': 0.39}
{'loss': 1.1824, 'grad_norm': 2.5308810847468104, 'learning_rate': 2.4663677130044842e-05, 'epoch': 0.4}
{'loss': 1.288, 'grad_norm': 1.8954672550620517, 'learning_rate': 2.533632286995516e-05, 'epoch': 0.41}
{'loss': 1.2565, 'grad_norm': 3.511936347931489, 'learning_rate': 2.600896860986547e-05, 'epoch': 0.42}
{'loss': 1.2645, 'grad_norm': 2.302522039900631, 'learning_rate': 2.6681614349775785e-05, 'epoch': 0.43}
