Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.7146, 'grad_norm': 34.10880602648307, 'learning_rate': 1.1904761904761904e-06, 'epoch': 0.01}
{'loss': 2.796, 'grad_norm': 27.551179966538648, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.01}
{'loss': 2.9819, 'grad_norm': 34.59565606710769, 'learning_rate': 5.9523809523809525e-06, 'epoch': 0.02}
{'loss': 2.2099, 'grad_norm': 27.257668949647783, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.03}
{'loss': 2.2208, 'grad_norm': 12.249095812021535, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.04}
{'loss': 1.2338, 'grad_norm': 8.601021685004238, 'learning_rate': 1.3095238095238096e-05, 'epoch': 0.04}
{'loss': 1.335, 'grad_norm': 5.198611588973122, 'learning_rate': 1.5476190476190476e-05, 'epoch': 0.05}
{'loss': 1.2971, 'grad_norm': 8.68722965681417, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.06}
{'loss': 0.9474, 'grad_norm': 5.224183163208432, 'learning_rate': 2.023809523809524e-05, 'epoch': 0.06}
{'loss': 0.909, 'grad_norm': 7.260553094398989, 'learning_rate': 2.261904761904762e-05, 'epoch': 0.07}
{'loss': 0.8881, 'grad_norm': 4.125317663953082, 'learning_rate': 2.5e-05, 'epoch': 0.08}
{'loss': 0.7242, 'grad_norm': 3.4990699896796214, 'learning_rate': 2.7380952380952383e-05, 'epoch': 0.09}
{'loss': 0.5103, 'grad_norm': 2.321477000403073, 'learning_rate': 2.9761904761904762e-05, 'epoch': 0.09}
{'loss': 0.4963, 'grad_norm': 2.8620163894772332, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.1}
{'loss': 0.5239, 'grad_norm': 1.950234455847678, 'learning_rate': 3.4523809523809526e-05, 'epoch': 0.11}
{'loss': 0.4116, 'grad_norm': 1.4295387015616094, 'learning_rate': 3.690476190476191e-05, 'epoch': 0.12}
{'loss': 0.5028, 'grad_norm': 2.265470085220871, 'learning_rate': 3.928571428571429e-05, 'epoch': 0.12}
{'loss': 0.4248, 'grad_norm': 1.6839521204641237, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.13}
{'loss': 0.4319, 'grad_norm': 1.3913528703160964, 'learning_rate': 4.404761904761905e-05, 'epoch': 0.14}
{'loss': 0.4204, 'grad_norm': 1.1780159218967743, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.14}
{'loss': 0.4581, 'grad_norm': 2.541599283515687, 'learning_rate': 4.880952380952381e-05, 'epoch': 0.15}
{'loss': 0.4245, 'grad_norm': 1.0780586021296943, 'learning_rate': 4.999993210625304e-05, 'epoch': 0.16}
{'loss': 0.4538, 'grad_norm': 1.4449303050176097, 'learning_rate': 4.999938895848996e-05, 'epoch': 0.17}
{'loss': 0.5543, 'grad_norm': 4.073149492455556, 'learning_rate': 4.999830267476421e-05, 'epoch': 0.17}
{'loss': 0.4185, 'grad_norm': 0.8197690030045356, 'learning_rate': 4.999667327867636e-05, 'epoch': 0.18}
{'loss': 0.4429, 'grad_norm': 1.1870501913833043, 'learning_rate': 4.999450080562662e-05, 'epoch': 0.19}
{'loss': 0.3736, 'grad_norm': 0.9586580257256665, 'learning_rate': 4.9991785302814065e-05, 'epoch': 0.19}
{'loss': 0.4372, 'grad_norm': 1.293443864702323, 'learning_rate': 4.9988526829235635e-05, 'epoch': 0.2}
{'loss': 0.4207, 'grad_norm': 0.7544103341541062, 'learning_rate': 4.998472545568483e-05, 'epoch': 0.21}
{'loss': 0.4072, 'grad_norm': 0.9325244968237685, 'learning_rate': 4.9980381264750164e-05, 'epoch': 0.22}
{'loss': 0.421, 'grad_norm': 1.0693401183574427, 'learning_rate': 4.997549435081341e-05, 'epoch': 0.22}
{'loss': 0.4112, 'grad_norm': 1.1220180001970597, 'learning_rate': 4.99700648200475e-05, 'epoch': 0.23}
{'loss': 0.4105, 'grad_norm': 1.121194533858003, 'learning_rate': 4.9964092790414266e-05, 'epoch': 0.24}
{'loss': 0.4665, 'grad_norm': 0.9366316383611648, 'learning_rate': 4.995757839166183e-05, 'epoch': 0.24}
{'loss': 0.3923, 'grad_norm': 1.091720670119025, 'learning_rate': 4.9950521765321827e-05, 'epoch': 0.25}
{'loss': 0.4569, 'grad_norm': 0.84938980385816, 'learning_rate': 4.9942923064706306e-05, 'epoch': 0.26}
{'loss': 0.4057, 'grad_norm': 0.8039623430182089, 'learning_rate': 4.9934782454904403e-05, 'epoch': 0.27}
{'loss': 0.4065, 'grad_norm': 0.9374454081691638, 'learning_rate': 4.992610011277876e-05, 'epoch': 0.27}
{'loss': 0.4148, 'grad_norm': 0.6398788076238497, 'learning_rate': 4.9916876226961676e-05, 'epoch': 0.28}
{'loss': 0.3857, 'grad_norm': 0.5901009628071144, 'learning_rate': 4.9907110997851015e-05, 'epoch': 0.29}
{'loss': 0.4087, 'grad_norm': 0.7379222678003248, 'learning_rate': 4.9896804637605844e-05, 'epoch': 0.29}
