Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.903, 'grad_norm': 35.299554568948146, 'learning_rate': 1.1904761904761904e-06, 'epoch': 0.01}
{'loss': 2.7918, 'grad_norm': 30.099098079606172, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.01}
{'loss': 2.9947, 'grad_norm': 35.72180972319756, 'learning_rate': 5.9523809523809525e-06, 'epoch': 0.02}
{'loss': 2.0871, 'grad_norm': 15.487606643509604, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.03}
{'loss': 2.2421, 'grad_norm': 14.873505003733447, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.04}
{'loss': 1.2213, 'grad_norm': 7.449882345773227, 'learning_rate': 1.3095238095238096e-05, 'epoch': 0.04}
{'loss': 1.3416, 'grad_norm': 6.263311386185828, 'learning_rate': 1.5476190476190476e-05, 'epoch': 0.05}
{'loss': 1.3093, 'grad_norm': 9.993851733296832, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.06}
{'loss': 0.9188, 'grad_norm': 8.055804736909899, 'learning_rate': 2.023809523809524e-05, 'epoch': 0.06}
{'loss': 0.9887, 'grad_norm': 9.495664609346056, 'learning_rate': 2.261904761904762e-05, 'epoch': 0.07}
{'loss': 0.7732, 'grad_norm': 3.8103671104058203, 'learning_rate': 2.5e-05, 'epoch': 0.08}
{'loss': 0.7229, 'grad_norm': 3.3008721657632942, 'learning_rate': 2.7380952380952383e-05, 'epoch': 0.09}
{'loss': 0.5782, 'grad_norm': 2.6622052611114686, 'learning_rate': 2.9761904761904762e-05, 'epoch': 0.09}
{'loss': 0.5851, 'grad_norm': 9.099864369252073, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.1}
{'loss': 0.4947, 'grad_norm': 2.169744895085216, 'learning_rate': 3.4523809523809526e-05, 'epoch': 0.11}
{'loss': 0.4143, 'grad_norm': 1.5209753579052439, 'learning_rate': 3.690476190476191e-05, 'epoch': 0.12}
{'loss': 0.554, 'grad_norm': 6.493317796298552, 'learning_rate': 3.928571428571429e-05, 'epoch': 0.12}
{'loss': 0.4103, 'grad_norm': 1.7414719128342209, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.13}
{'loss': 0.4369, 'grad_norm': 1.7880412540290338, 'learning_rate': 4.404761904761905e-05, 'epoch': 0.14}
{'loss': 0.4208, 'grad_norm': 1.3312329802390235, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.14}
