Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.9251, 'grad_norm': 37.84388918286363, 'learning_rate': 1.1904761904761904e-06, 'epoch': 0.01}
{'loss': 2.8008, 'grad_norm': 38.010412358666514, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.01}
{'loss': 2.4218, 'grad_norm': 20.08520008484679, 'learning_rate': 5.9523809523809525e-06, 'epoch': 0.02}
{'loss': 2.1982, 'grad_norm': 24.580638166051486, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.03}
{'loss': 2.1593, 'grad_norm': 12.744558875098893, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.04}
{'loss': 1.2335, 'grad_norm': 10.982583764868457, 'learning_rate': 1.3095238095238096e-05, 'epoch': 0.04}
{'loss': 1.3585, 'grad_norm': 5.4356093413759154, 'learning_rate': 1.5476190476190476e-05, 'epoch': 0.05}
{'loss': 1.2987, 'grad_norm': 10.134810858266317, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.06}
{'loss': 0.9013, 'grad_norm': 5.72305609431065, 'learning_rate': 2.023809523809524e-05, 'epoch': 0.06}
{'loss': 0.9131, 'grad_norm': 8.887173762265334, 'learning_rate': 2.261904761904762e-05, 'epoch': 0.07}
{'loss': 0.7553, 'grad_norm': 3.6660358587263713, 'learning_rate': 2.5e-05, 'epoch': 0.08}
{'loss': 0.7487, 'grad_norm': 3.509954590683365, 'learning_rate': 2.7380952380952383e-05, 'epoch': 0.09}
{'loss': 0.5299, 'grad_norm': 2.3505578554167252, 'learning_rate': 2.9761904761904762e-05, 'epoch': 0.09}
{'loss': 0.5164, 'grad_norm': 4.263544274005883, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.1}
{'loss': 0.5173, 'grad_norm': 2.0650140269424604, 'learning_rate': 3.4523809523809526e-05, 'epoch': 0.11}
{'loss': 0.4111, 'grad_norm': 1.3260949967111677, 'learning_rate': 3.690476190476191e-05, 'epoch': 0.12}
{'loss': 0.5456, 'grad_norm': 8.413328590989492, 'learning_rate': 3.928571428571429e-05, 'epoch': 0.12}
{'loss': 0.4219, 'grad_norm': 1.5304664517487807, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.13}
{'loss': 0.4267, 'grad_norm': 1.3480598816021407, 'learning_rate': 4.404761904761905e-05, 'epoch': 0.14}
{'loss': 0.4127, 'grad_norm': 1.197040844401788, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.14}
{'loss': 0.4677, 'grad_norm': 2.4674674844621665, 'learning_rate': 4.880952380952381e-05, 'epoch': 0.15}
{'loss': 0.4293, 'grad_norm': 1.1864116537001455, 'learning_rate': 4.999993210625304e-05, 'epoch': 0.16}
{'loss': 0.4462, 'grad_norm': 1.4124420484105777, 'learning_rate': 4.999938895848996e-05, 'epoch': 0.17}
{'loss': 0.5354, 'grad_norm': 3.7435268213534747, 'learning_rate': 4.999830267476421e-05, 'epoch': 0.17}
{'loss': 0.4157, 'grad_norm': 0.8519670554273454, 'learning_rate': 4.999667327867636e-05, 'epoch': 0.18}
{'loss': 0.4418, 'grad_norm': 1.2171531482430544, 'learning_rate': 4.999450080562662e-05, 'epoch': 0.19}
{'loss': 0.376, 'grad_norm': 0.8414340690362725, 'learning_rate': 4.9991785302814065e-05, 'epoch': 0.19}
{'loss': 0.4466, 'grad_norm': 4.256766652887622, 'learning_rate': 4.9988526829235635e-05, 'epoch': 0.2}
{'loss': 0.4175, 'grad_norm': 0.7713642736512494, 'learning_rate': 4.998472545568483e-05, 'epoch': 0.21}
{'loss': 0.401, 'grad_norm': 0.9589981869268281, 'learning_rate': 4.9980381264750164e-05, 'epoch': 0.22}
{'loss': 0.4257, 'grad_norm': 0.9983776774334278, 'learning_rate': 4.997549435081341e-05, 'epoch': 0.22}
{'loss': 0.4103, 'grad_norm': 1.100870621781076, 'learning_rate': 4.99700648200475e-05, 'epoch': 0.23}
{'loss': 0.4074, 'grad_norm': 1.0897225529187065, 'learning_rate': 4.9964092790414266e-05, 'epoch': 0.24}
