Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 3.134, 'grad_norm': 33.543430374649844, 'learning_rate': 1.1904761904761904e-06, 'epoch': 0.01}
{'loss': 2.8722, 'grad_norm': 30.003498859796427, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.01}
{'loss': 3.0463, 'grad_norm': 36.03013247712319, 'learning_rate': 5.9523809523809525e-06, 'epoch': 0.02}
{'loss': 2.3276, 'grad_norm': 19.46391187624067, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.03}
{'loss': 2.1868, 'grad_norm': 15.117007578444271, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.04}
{'loss': 1.2199, 'grad_norm': 6.874901163334132, 'learning_rate': 1.3095238095238096e-05, 'epoch': 0.04}
{'loss': 1.3204, 'grad_norm': 5.234036239281997, 'learning_rate': 1.5476190476190476e-05, 'epoch': 0.05}
{'loss': 1.3029, 'grad_norm': 9.479916587911976, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.06}
{'loss': 0.9526, 'grad_norm': 5.60737491968495, 'learning_rate': 2.023809523809524e-05, 'epoch': 0.06}
{'loss': 0.9802, 'grad_norm': 11.885894457170197, 'learning_rate': 2.261904761904762e-05, 'epoch': 0.07}
{'loss': 0.8621, 'grad_norm': 3.711982223746941, 'learning_rate': 2.5e-05, 'epoch': 0.08}
{'loss': 0.7554, 'grad_norm': 4.079992900057635, 'learning_rate': 2.7380952380952383e-05, 'epoch': 0.09}
{'loss': 0.5457, 'grad_norm': 2.464513375278488, 'learning_rate': 2.9761904761904762e-05, 'epoch': 0.09}
{'loss': 0.5485, 'grad_norm': 9.252146539303093, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.1}
{'loss': 0.5272, 'grad_norm': 2.1187083647758693, 'learning_rate': 3.4523809523809526e-05, 'epoch': 0.11}
{'loss': 0.4245, 'grad_norm': 1.418624204206619, 'learning_rate': 3.690476190476191e-05, 'epoch': 0.12}
{'loss': 0.5062, 'grad_norm': 3.0051382325560914, 'learning_rate': 3.928571428571429e-05, 'epoch': 0.12}
{'loss': 0.4194, 'grad_norm': 1.638829941593193, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.13}
{'loss': 0.4303, 'grad_norm': 1.5351391526756686, 'learning_rate': 4.404761904761905e-05, 'epoch': 0.14}
{'loss': 0.416, 'grad_norm': 1.1572580418774627, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.14}
{'loss': 0.4606, 'grad_norm': 2.3808106790710486, 'learning_rate': 4.880952380952381e-05, 'epoch': 0.15}
{'loss': 0.4314, 'grad_norm': 1.101566234807021, 'learning_rate': 4.999993210625304e-05, 'epoch': 0.16}
{'loss': 0.4491, 'grad_norm': 1.5052151920938586, 'learning_rate': 4.999938895848996e-05, 'epoch': 0.17}
{'loss': 0.519, 'grad_norm': 4.241948711846194, 'learning_rate': 4.999830267476421e-05, 'epoch': 0.17}
{'loss': 0.418, 'grad_norm': 0.8294679218352392, 'learning_rate': 4.999667327867636e-05, 'epoch': 0.18}
{'loss': 0.4555, 'grad_norm': 1.2869585789550713, 'learning_rate': 4.999450080562662e-05, 'epoch': 0.19}
{'loss': 0.3764, 'grad_norm': 0.9378864446285101, 'learning_rate': 4.9991785302814065e-05, 'epoch': 0.19}
{'loss': 0.4401, 'grad_norm': 2.257442898573202, 'learning_rate': 4.9988526829235635e-05, 'epoch': 0.2}
{'loss': 0.4205, 'grad_norm': 0.7233812148572835, 'learning_rate': 4.998472545568483e-05, 'epoch': 0.21}
{'loss': 0.4014, 'grad_norm': 0.9265139170805611, 'learning_rate': 4.9980381264750164e-05, 'epoch': 0.22}
{'loss': 0.4252, 'grad_norm': 1.068428461380656, 'learning_rate': 4.997549435081341e-05, 'epoch': 0.22}
