Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.6667, 'grad_norm': 29.441463800354953, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 2.8132, 'grad_norm': 28.284426228046883, 'learning_rate': 5.555555555555556e-06, 'epoch': 0.01}
{'loss': 2.5423, 'grad_norm': 28.199297350825507, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.01}
{'loss': 2.8035, 'grad_norm': 29.210420988895635, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.01}
{'loss': 1.6692, 'grad_norm': 16.67087524146329, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.02}
{'loss': 2.1322, 'grad_norm': 9.756256039022123, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.02}
{'loss': 1.216, 'grad_norm': 7.153419915424212, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.03}
{'loss': 0.8971, 'grad_norm': 6.815526080598301, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.03}
{'loss': 1.5527, 'grad_norm': 12.435386781059348, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.03}
{'loss': 0.9483, 'grad_norm': 6.882085237162521, 'learning_rate': 5e-05, 'epoch': 0.04}
{'loss': 0.6062, 'grad_norm': 3.2252466706543843, 'learning_rate': 4.999829509469499e-05, 'epoch': 0.04}
{'loss': 0.5331, 'grad_norm': 3.3366041533211694, 'learning_rate': 4.999318061131614e-05, 'epoch': 0.04}
{'loss': 0.6036, 'grad_norm': 4.184650050561173, 'learning_rate': 4.998465724744022e-05, 'epoch': 0.05}
{'loss': 0.488, 'grad_norm': 3.1031759759407183, 'learning_rate': 4.9972726165589515e-05, 'epoch': 0.05}
{'loss': 0.3768, 'grad_norm': 1.9476418816218866, 'learning_rate': 4.995738899307319e-05, 'epoch': 0.05}
{'loss': 0.5777, 'grad_norm': 2.9051031564327894, 'learning_rate': 4.993864782176539e-05, 'epoch': 0.06}
{'loss': 0.4645, 'grad_norm': 1.889220727048663, 'learning_rate': 4.99165052078199e-05, 'epoch': 0.06}
{'loss': 0.4448, 'grad_norm': 4.212283784158179, 'learning_rate': 4.989096417132153e-05, 'epoch': 0.06}
{'loss': 0.4627, 'grad_norm': 1.5595573351895793, 'learning_rate': 4.986202819587417e-05, 'epoch': 0.07}
{'loss': 0.5365, 'grad_norm': 1.7283748023087717, 'learning_rate': 4.9829701228125655e-05, 'epoch': 0.07}
{'loss': 0.4887, 'grad_norm': 4.525892494499941, 'learning_rate': 4.9793987677229495e-05, 'epoch': 0.08}
{'loss': 0.4473, 'grad_norm': 1.7161509140599396, 'learning_rate': 4.975489241424347e-05, 'epoch': 0.08}
{'loss': 0.4942, 'grad_norm': 2.5006559634041388, 'learning_rate': 4.97124207714653e-05, 'epoch': 0.08}
