Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.7821, 'grad_norm': 28.065149599978668, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 2.8728, 'grad_norm': 30.733133097602884, 'learning_rate': 5.555555555555556e-06, 'epoch': 0.01}
{'loss': 2.3281, 'grad_norm': 22.597687492407257, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.01}
{'loss': 2.5407, 'grad_norm': 27.558550120615887, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.01}
{'loss': 1.7615, 'grad_norm': 23.88755127340344, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.02}
{'loss': 2.2046, 'grad_norm': 16.015466384259614, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.02}
{'loss': 1.2468, 'grad_norm': 6.849832591295316, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.03}
{'loss': 0.9873, 'grad_norm': 7.904980789141004, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.03}
{'loss': 1.6031, 'grad_norm': 13.549036323851547, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.03}
{'loss': 1.0434, 'grad_norm': 6.644555009003366, 'learning_rate': 5e-05, 'epoch': 0.04}
{'loss': 0.6425, 'grad_norm': 3.319029507303117, 'learning_rate': 4.999829509469499e-05, 'epoch': 0.04}
{'loss': 0.4945, 'grad_norm': 3.4092714931392982, 'learning_rate': 4.999318061131614e-05, 'epoch': 0.04}
{'loss': 0.7373, 'grad_norm': 8.647719345021086, 'learning_rate': 4.998465724744022e-05, 'epoch': 0.05}
{'loss': 0.5561, 'grad_norm': 3.0305660095123645, 'learning_rate': 4.9972726165589515e-05, 'epoch': 0.05}
{'loss': 0.389, 'grad_norm': 1.979887468048821, 'learning_rate': 4.995738899307319e-05, 'epoch': 0.05}
{'loss': 0.6161, 'grad_norm': 2.7930153144356806, 'learning_rate': 4.993864782176539e-05, 'epoch': 0.06}
{'loss': 0.5217, 'grad_norm': 9.674410376989641, 'learning_rate': 4.99165052078199e-05, 'epoch': 0.06}
{'loss': 0.4476, 'grad_norm': 1.5872774239495984, 'learning_rate': 4.989096417132153e-05, 'epoch': 0.06}
