Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 3.1159, 'grad_norm': 35.625443436779214, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.0056, 'grad_norm': 37.796970777282006, 'learning_rate': 5.555555555555556e-06, 'epoch': 0.01}
{'loss': 2.5041, 'grad_norm': 26.617845894304544, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.01}
{'loss': 2.8304, 'grad_norm': 32.30264390986146, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.01}
{'loss': 1.7905, 'grad_norm': 14.31386583600532, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.02}
{'loss': 2.161, 'grad_norm': 14.932688135068931, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.02}
{'loss': 1.2641, 'grad_norm': 7.311431719136753, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.03}
{'loss': 0.9631, 'grad_norm': 8.071902182744983, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.03}
{'loss': 1.6159, 'grad_norm': 17.209508290639, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.03}
{'loss': 1.0663, 'grad_norm': 5.901275132055061, 'learning_rate': 5e-05, 'epoch': 0.04}
{'loss': 0.5845, 'grad_norm': 3.222435512651128, 'learning_rate': 4.999829509469499e-05, 'epoch': 0.04}
{'loss': 0.5229, 'grad_norm': 3.0976602135633953, 'learning_rate': 4.999318061131614e-05, 'epoch': 0.04}
{'loss': 0.655, 'grad_norm': 4.19200465330743, 'learning_rate': 4.998465724744022e-05, 'epoch': 0.05}
{'loss': 0.5063, 'grad_norm': 3.1331735370493683, 'learning_rate': 4.9972726165589515e-05, 'epoch': 0.05}
{'loss': 0.4018, 'grad_norm': 1.937671519884208, 'learning_rate': 4.995738899307319e-05, 'epoch': 0.05}
{'loss': 0.5838, 'grad_norm': 2.85155622782816, 'learning_rate': 4.993864782176539e-05, 'epoch': 0.06}
{'loss': 0.4541, 'grad_norm': 1.8441776833835541, 'learning_rate': 4.99165052078199e-05, 'epoch': 0.06}
{'loss': 0.4284, 'grad_norm': 2.8730351473271614, 'learning_rate': 4.989096417132153e-05, 'epoch': 0.06}
{'loss': 0.4705, 'grad_norm': 1.5057313163209856, 'learning_rate': 4.986202819587417e-05, 'epoch': 0.07}
{'loss': 0.5396, 'grad_norm': 1.672532869162554, 'learning_rate': 4.9829701228125655e-05, 'epoch': 0.07}
{'loss': 0.4837, 'grad_norm': 2.2795821341277818, 'learning_rate': 4.9793987677229495e-05, 'epoch': 0.08}
{'loss': 0.4572, 'grad_norm': 1.6206460548671568, 'learning_rate': 4.975489241424347e-05, 'epoch': 0.08}
{'loss': 0.4794, 'grad_norm': 1.4720498814949414, 'learning_rate': 4.97124207714653e-05, 'epoch': 0.08}
{'loss': 0.3529, 'grad_norm': 1.3937962803948822, 'learning_rate': 4.96665785417053e-05, 'epoch': 0.09}
{'loss': 0.4889, 'grad_norm': 1.7282220944246898, 'learning_rate': 4.961737197749633e-05, 'epoch': 0.09}
{'loss': 0.4152, 'grad_norm': 1.1202678084051145, 'learning_rate': 4.9564807790240977e-05, 'epoch': 0.09}
{'loss': 0.393, 'grad_norm': 0.8505513180810165, 'learning_rate': 4.9508893149296174e-05, 'epoch': 0.1}
{'loss': 0.5075, 'grad_norm': 1.192506820434852, 'learning_rate': 4.944963568099537e-05, 'epoch': 0.1}
{'loss': 0.4719, 'grad_norm': 1.332847502567115, 'learning_rate': 4.938704346760832e-05, 'epoch': 0.1}
{'loss': 0.4285, 'grad_norm': 1.2629521028552817, 'learning_rate': 4.9321125046238756e-05, 'epoch': 0.11}
{'loss': 0.3845, 'grad_norm': 0.9863834365869887, 'learning_rate': 4.9251889407659995e-05, 'epoch': 0.11}
{'loss': 0.3821, 'grad_norm': 0.89240952011932, 'learning_rate': 4.917934599508862e-05, 'epoch': 0.12}
{'loss': 0.4645, 'grad_norm': 1.0056347882295655, 'learning_rate': 4.910350470289656e-05, 'epoch': 0.12}
{'loss': 0.4714, 'grad_norm': 1.159206301171597, 'learning_rate': 4.902437587526152e-05, 'epoch': 0.12}
{'loss': 0.3971, 'grad_norm': 0.9010606753445513, 'learning_rate': 4.8941970304756144e-05, 'epoch': 0.13}
{'loss': 0.388, 'grad_norm': 1.1133518786998178, 'learning_rate': 4.8856299230875966e-05, 'epoch': 0.13}
{'loss': 0.4449, 'grad_norm': 0.9221952578914889, 'learning_rate': 4.876737433850647e-05, 'epoch': 0.13}
{'loss': 0.4042, 'grad_norm': 0.9598212071611989, 'learning_rate': 4.867520775632931e-05, 'epoch': 0.14}
{'loss': 0.4048, 'grad_norm': 0.8362002005903539, 'learning_rate': 4.8579812055168074e-05, 'epoch': 0.14}
{'loss': 0.4296, 'grad_norm': 0.9640282364918006, 'learning_rate': 4.848120024627372e-05, 'epoch': 0.14}
{'loss': 0.4374, 'grad_norm': 0.9831957278881641, 'learning_rate': 4.837938577954994e-05, 'epoch': 0.15}
{'loss': 0.4252, 'grad_norm': 2.0170043943785023, 'learning_rate': 4.827438254171869e-05, 'epoch': 0.15}
{'loss': 0.3997, 'grad_norm': 1.2411662910252885, 'learning_rate': 4.816620485442615e-05, 'epoch': 0.15}
{'loss': 0.4519, 'grad_norm': 1.2967018671023955, 'learning_rate': 4.805486747228936e-05, 'epoch': 0.16}
{'loss': 0.3998, 'grad_norm': 0.7403736870578191, 'learning_rate': 4.794038558088378e-05, 'epoch': 0.16}
{'loss': 0.482, 'grad_norm': 3.3287194502239417, 'learning_rate': 4.782277479467216e-05, 'epoch': 0.17}
{'loss': 0.4216, 'grad_norm': 0.8981535002404201, 'learning_rate': 4.7702051154874714e-05, 'epoch': 0.17}
{'loss': 0.4293, 'grad_norm': 1.4562455013376612, 'learning_rate': 4.757823112728141e-05, 'epoch': 0.17}
