Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 3.3378, 'grad_norm': 30.36967537494474, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 3.1505, 'grad_norm': 28.327873289019795, 'learning_rate': 5.555555555555556e-06, 'epoch': 0.01}
{'loss': 2.759, 'grad_norm': 21.081877935276925, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.01}
{'loss': 3.0635, 'grad_norm': 28.420261483907545, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.01}
{'loss': 1.6872, 'grad_norm': 19.86731573163864, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.02}
{'loss': 2.1042, 'grad_norm': 12.104123284309876, 'learning_rate': 2.777777777777778e-05, 'epoch': 0.02}
{'loss': 1.3262, 'grad_norm': 7.42776753291298, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.03}
{'loss': 1.0056, 'grad_norm': 7.411068142653804, 'learning_rate': 3.888888888888889e-05, 'epoch': 0.03}
{'loss': 1.5767, 'grad_norm': 12.324662452362153, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.03}
{'loss': 1.0335, 'grad_norm': 5.324754095663807, 'learning_rate': 5e-05, 'epoch': 0.04}
{'loss': 0.6405, 'grad_norm': 4.022530191039176, 'learning_rate': 4.999829509469499e-05, 'epoch': 0.04}
{'loss': 0.5382, 'grad_norm': 4.179562591492984, 'learning_rate': 4.999318061131614e-05, 'epoch': 0.04}
{'loss': 0.6607, 'grad_norm': 3.5325747686881654, 'learning_rate': 4.998465724744022e-05, 'epoch': 0.05}
{'loss': 0.4872, 'grad_norm': 2.74722980576744, 'learning_rate': 4.9972726165589515e-05, 'epoch': 0.05}
{'loss': 0.4214, 'grad_norm': 2.064881766127364, 'learning_rate': 4.995738899307319e-05, 'epoch': 0.05}
{'loss': 0.5655, 'grad_norm': 2.6121393730615314, 'learning_rate': 4.993864782176539e-05, 'epoch': 0.06}
{'loss': 0.5155, 'grad_norm': 8.270849172302437, 'learning_rate': 4.99165052078199e-05, 'epoch': 0.06}
{'loss': 0.4318, 'grad_norm': 1.792139368661564, 'learning_rate': 4.989096417132153e-05, 'epoch': 0.06}
{'loss': 0.5362, 'grad_norm': 10.985419099469592, 'learning_rate': 4.986202819587417e-05, 'epoch': 0.07}
{'loss': 0.5486, 'grad_norm': 1.6636488815373052, 'learning_rate': 4.9829701228125655e-05, 'epoch': 0.07}
{'loss': 0.4971, 'grad_norm': 1.655384069419015, 'learning_rate': 4.9793987677229495e-05, 'epoch': 0.08}
{'loss': 0.4683, 'grad_norm': 5.344851528980031, 'learning_rate': 4.975489241424347e-05, 'epoch': 0.08}
{'loss': 0.4838, 'grad_norm': 1.328785980146674, 'learning_rate': 4.97124207714653e-05, 'epoch': 0.08}
{'loss': 0.3433, 'grad_norm': 1.3037165469990906, 'learning_rate': 4.96665785417053e-05, 'epoch': 0.09}
{'loss': 0.5022, 'grad_norm': 1.8685045773528388, 'learning_rate': 4.961737197749633e-05, 'epoch': 0.09}
{'loss': 0.3955, 'grad_norm': 1.110792947394121, 'learning_rate': 4.9564807790240977e-05, 'epoch': 0.09}
{'loss': 0.3876, 'grad_norm': 0.8424262067773719, 'learning_rate': 4.9508893149296174e-05, 'epoch': 0.1}
{'loss': 0.5067, 'grad_norm': 1.1728538868079579, 'learning_rate': 4.944963568099537e-05, 'epoch': 0.1}
{'loss': 0.4723, 'grad_norm': 1.312207945698632, 'learning_rate': 4.938704346760832e-05, 'epoch': 0.1}
{'loss': 0.4308, 'grad_norm': 1.2652638790660589, 'learning_rate': 4.9321125046238756e-05, 'epoch': 0.11}
{'loss': 0.3822, 'grad_norm': 0.7506141830614614, 'learning_rate': 4.9251889407659995e-05, 'epoch': 0.11}
{'loss': 0.3732, 'grad_norm': 0.872910398792141, 'learning_rate': 4.917934599508862e-05, 'epoch': 0.12}
{'loss': 0.4595, 'grad_norm': 0.9599702924465985, 'learning_rate': 4.910350470289656e-05, 'epoch': 0.12}
{'loss': 0.4843, 'grad_norm': 1.2622147698874768, 'learning_rate': 4.902437587526152e-05, 'epoch': 0.12}
{'loss': 0.3958, 'grad_norm': 0.970006065084022, 'learning_rate': 4.8941970304756144e-05, 'epoch': 0.13}
{'loss': 0.392, 'grad_norm': 1.1403578228646312, 'learning_rate': 4.8856299230875966e-05, 'epoch': 0.13}
{'loss': 0.4425, 'grad_norm': 0.9223736592011189, 'learning_rate': 4.876737433850647e-05, 'epoch': 0.13}
{'loss': 0.4049, 'grad_norm': 0.9571270481623999, 'learning_rate': 4.867520775632931e-05, 'epoch': 0.14}
{'loss': 0.4034, 'grad_norm': 0.8983086657873232, 'learning_rate': 4.8579812055168074e-05, 'epoch': 0.14}
{'loss': 0.4345, 'grad_norm': 0.9500074228316954, 'learning_rate': 4.848120024627372e-05, 'epoch': 0.14}
{'loss': 0.4332, 'grad_norm': 1.0512942178380813, 'learning_rate': 4.837938577954994e-05, 'epoch': 0.15}
{'loss': 0.4371, 'grad_norm': 1.9460416080074605, 'learning_rate': 4.827438254171869e-05, 'epoch': 0.15}
{'loss': 0.3959, 'grad_norm': 1.04185924874759, 'learning_rate': 4.816620485442615e-05, 'epoch': 0.15}
{'loss': 0.442, 'grad_norm': 0.9581502980195292, 'learning_rate': 4.805486747228936e-05, 'epoch': 0.16}
{'loss': 0.3922, 'grad_norm': 0.7879102837470331, 'learning_rate': 4.794038558088378e-05, 'epoch': 0.16}
{'loss': 0.4874, 'grad_norm': 1.9438116796383123, 'learning_rate': 4.782277479467216e-05, 'epoch': 0.17}
{'loss': 0.4318, 'grad_norm': 1.034222154227672, 'learning_rate': 4.7702051154874714e-05, 'epoch': 0.17}
{'loss': 0.4266, 'grad_norm': 1.4565259532446069, 'learning_rate': 4.757823112728141e-05, 'epoch': 0.17}
{'loss': 0.4452, 'grad_norm': 0.8970646664199217, 'learning_rate': 4.7451331600005975e-05, 'epoch': 0.18}
{'loss': 0.39, 'grad_norm': 0.7662233548328262, 'learning_rate': 4.7321369881182584e-05, 'epoch': 0.18}
{'loss': 0.4564, 'grad_norm': 1.4601881912100263, 'learning_rate': 4.718836369660517e-05, 'epoch': 0.18}
{'loss': 0.4182, 'grad_norm': 1.1679922010452835, 'learning_rate': 4.705233118730968e-05, 'epoch': 0.19}
{'loss': 0.3817, 'grad_norm': 0.59413106161726, 'learning_rate': 4.6913290907099885e-05, 'epoch': 0.19}
{'loss': 0.3705, 'grad_norm': 0.7795905933242547, 'learning_rate': 4.6771261820016666e-05, 'epoch': 0.19}
{'loss': 0.4388, 'grad_norm': 0.9125758520919256, 'learning_rate': 4.6626263297751546e-05, 'epoch': 0.2}
{'loss': 0.4067, 'grad_norm': 1.1515155794600966, 'learning_rate': 4.6478315117004537e-05, 'epoch': 0.2}
{'loss': 0.3976, 'grad_norm': 0.6375062929300015, 'learning_rate': 4.632743745678667e-05, 'epoch': 0.21}
{'loss': 0.4511, 'grad_norm': 0.8162407867849607, 'learning_rate': 4.617365089566782e-05, 'epoch': 0.21}
{'loss': 0.3637, 'grad_norm': 0.9869638404693062, 'learning_rate': 4.6016976408969893e-05, 'epoch': 0.21}
{'loss': 0.4505, 'grad_norm': 1.062174489209459, 'learning_rate': 4.585743536590599e-05, 'epoch': 0.22}
{'loss': 0.4257, 'grad_norm': 0.9938397436319091, 'learning_rate': 4.5695049526665736e-05, 'epoch': 0.22}
{'loss': 0.4349, 'grad_norm': 1.0587129364851737, 'learning_rate': 4.552984103944746e-05, 'epoch': 0.22}
{'loss': 0.4061, 'grad_norm': 0.7554917568417955, 'learning_rate': 4.5361832437437254e-05, 'epoch': 0.23}
{'loss': 0.4116, 'grad_norm': 0.9310012406826326, 'learning_rate': 4.5191046635735666e-05, 'epoch': 0.23}
{'loss': 0.4145, 'grad_norm': 0.9293018112119954, 'learning_rate': 4.5017506928232247e-05, 'epoch': 0.23}
