Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.9003, 'grad_norm': 31.37119803759389, 'learning_rate': 1.1904761904761904e-06, 'epoch': 0.01}
{'loss': 2.8568, 'grad_norm': 30.04530593874987, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.01}
{'loss': 2.693, 'grad_norm': 24.32859789192383, 'learning_rate': 5.9523809523809525e-06, 'epoch': 0.02}
{'loss': 1.9913, 'grad_norm': 17.278956325098957, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.03}
{'loss': 2.5845, 'grad_norm': 19.55116543894854, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.04}
{'loss': 1.2932, 'grad_norm': 8.162815359125561, 'learning_rate': 1.3095238095238096e-05, 'epoch': 0.04}
{'loss': 1.3413, 'grad_norm': 5.661516714184701, 'learning_rate': 1.5476190476190476e-05, 'epoch': 0.05}
{'loss': 1.2529, 'grad_norm': 8.90399571982044, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.06}
{'loss': 0.933, 'grad_norm': 6.279945743733426, 'learning_rate': 2.023809523809524e-05, 'epoch': 0.06}
{'loss': 0.9162, 'grad_norm': 9.530146688314291, 'learning_rate': 2.261904761904762e-05, 'epoch': 0.07}
{'loss': 0.8286, 'grad_norm': 4.188268494702084, 'learning_rate': 2.5e-05, 'epoch': 0.08}
{'loss': 0.7387, 'grad_norm': 3.4138835201076447, 'learning_rate': 2.7380952380952383e-05, 'epoch': 0.09}
{'loss': 0.5591, 'grad_norm': 2.7334916478035294, 'learning_rate': 2.9761904761904762e-05, 'epoch': 0.09}
{'loss': 0.5205, 'grad_norm': 5.8057393599075295, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.1}
{'loss': 0.5273, 'grad_norm': 2.109248910351789, 'learning_rate': 3.4523809523809526e-05, 'epoch': 0.11}
{'loss': 0.4129, 'grad_norm': 1.4490630904588808, 'learning_rate': 3.690476190476191e-05, 'epoch': 0.12}
{'loss': 0.5129, 'grad_norm': 4.314683809376616, 'learning_rate': 3.928571428571429e-05, 'epoch': 0.12}
{'loss': 0.4147, 'grad_norm': 1.5662624421660827, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.13}
{'loss': 0.4304, 'grad_norm': 1.2948145651449536, 'learning_rate': 4.404761904761905e-05, 'epoch': 0.14}
{'loss': 0.4172, 'grad_norm': 1.1502561061643932, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.14}
{'loss': 0.4718, 'grad_norm': 2.3534517883449686, 'learning_rate': 4.880952380952381e-05, 'epoch': 0.15}
{'loss': 0.4279, 'grad_norm': 1.0282503429564216, 'learning_rate': 4.999993210625304e-05, 'epoch': 0.16}
{'loss': 0.4465, 'grad_norm': 1.433262898126208, 'learning_rate': 4.999938895848996e-05, 'epoch': 0.17}
{'loss': 0.5248, 'grad_norm': 4.3778574036130715, 'learning_rate': 4.999830267476421e-05, 'epoch': 0.17}
{'loss': 0.4203, 'grad_norm': 0.7739059857560473, 'learning_rate': 4.999667327867636e-05, 'epoch': 0.18}
{'loss': 0.4417, 'grad_norm': 1.1390865101920462, 'learning_rate': 4.999450080562662e-05, 'epoch': 0.19}
{'loss': 0.3737, 'grad_norm': 0.8774782328522289, 'learning_rate': 4.9991785302814065e-05, 'epoch': 0.19}
{'loss': 0.4369, 'grad_norm': 1.2723745773912485, 'learning_rate': 4.9988526829235635e-05, 'epoch': 0.2}
{'loss': 0.4255, 'grad_norm': 0.7981301717839697, 'learning_rate': 4.998472545568483e-05, 'epoch': 0.21}
{'loss': 0.4089, 'grad_norm': 0.9396710770863871, 'learning_rate': 4.9980381264750164e-05, 'epoch': 0.22}
{'loss': 0.4331, 'grad_norm': 1.047687057684814, 'learning_rate': 4.997549435081341e-05, 'epoch': 0.22}
{'loss': 0.4039, 'grad_norm': 0.9766944877841587, 'learning_rate': 4.99700648200475e-05, 'epoch': 0.23}
{'loss': 0.4052, 'grad_norm': 1.0459317811029545, 'learning_rate': 4.9964092790414266e-05, 'epoch': 0.24}
{'loss': 0.4667, 'grad_norm': 0.9720955815036728, 'learning_rate': 4.995757839166183e-05, 'epoch': 0.24}
{'loss': 0.3902, 'grad_norm': 1.2428289041897487, 'learning_rate': 4.9950521765321827e-05, 'epoch': 0.25}
{'loss': 0.4538, 'grad_norm': 0.7962785144984483, 'learning_rate': 4.9942923064706306e-05, 'epoch': 0.26}
{'loss': 0.409, 'grad_norm': 0.7499044483830044, 'learning_rate': 4.9934782454904403e-05, 'epoch': 0.27}
{'loss': 0.4188, 'grad_norm': 2.852413739738479, 'learning_rate': 4.992610011277876e-05, 'epoch': 0.27}
{'loss': 0.4141, 'grad_norm': 0.6240138353247324, 'learning_rate': 4.9916876226961676e-05, 'epoch': 0.28}
{'loss': 0.3839, 'grad_norm': 0.6569214695353731, 'learning_rate': 4.9907110997851015e-05, 'epoch': 0.29}
{'loss': 0.4093, 'grad_norm': 0.7341748910091639, 'learning_rate': 4.9896804637605844e-05, 'epoch': 0.29}
{'loss': 0.4219, 'grad_norm': 0.7351155585537873, 'learning_rate': 4.9885957370141836e-05, 'epoch': 0.3}
{'loss': 0.4831, 'grad_norm': 1.16676219534668, 'learning_rate': 4.987456943112638e-05, 'epoch': 0.31}
{'loss': 0.4498, 'grad_norm': 0.9057677283181802, 'learning_rate': 4.986264106797351e-05, 'epoch': 0.32}
{'loss': 0.3997, 'grad_norm': 0.775828588716542, 'learning_rate': 4.985017253983848e-05, 'epoch': 0.32}
{'loss': 0.3935, 'grad_norm': 0.733503760536245, 'learning_rate': 4.9837164117612144e-05, 'epoch': 0.33}
{'loss': 0.4231, 'grad_norm': 0.8673963380077083, 'learning_rate': 4.982361608391508e-05, 'epoch': 0.34}
{'loss': 0.4117, 'grad_norm': 0.8444433198006916, 'learning_rate': 4.980952873309147e-05, 'epoch': 0.35}
{'loss': 0.4262, 'grad_norm': 0.8948202990472386, 'learning_rate': 4.9794902371202654e-05, 'epoch': 0.35}
{'loss': 0.4557, 'grad_norm': 0.7957767900003314, 'learning_rate': 4.977973731602055e-05, 'epoch': 0.36}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.41202205419540405, 'eval_accuracy': 0.8597285067873304, 'eval_runtime': 94.975, 'eval_samples_per_second': 1.116, 'eval_steps_per_second': 0.284, 'epoch': 0.36}
