Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.8666, 'grad_norm': 42.34541166548184, 'learning_rate': 1.1904761904761904e-06, 'epoch': 0.01}
{'loss': 2.8835, 'grad_norm': 31.748627657933774, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.01}
{'loss': 2.8313, 'grad_norm': 31.453041860900314, 'learning_rate': 5.9523809523809525e-06, 'epoch': 0.02}
{'loss': 2.2127, 'grad_norm': 27.149483082068905, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.03}
{'loss': 2.4156, 'grad_norm': 23.995178396277538, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.04}
{'loss': 1.2282, 'grad_norm': 8.975820048892329, 'learning_rate': 1.3095238095238096e-05, 'epoch': 0.04}
{'loss': 1.4381, 'grad_norm': 7.246696787331843, 'learning_rate': 1.5476190476190476e-05, 'epoch': 0.05}
{'loss': 1.3648, 'grad_norm': 10.006479904879503, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.06}
{'loss': 0.9255, 'grad_norm': 5.454179789829485, 'learning_rate': 2.023809523809524e-05, 'epoch': 0.06}
{'loss': 0.9605, 'grad_norm': 10.522136035093492, 'learning_rate': 2.261904761904762e-05, 'epoch': 0.07}
{'loss': 0.8085, 'grad_norm': 4.21500556911419, 'learning_rate': 2.5e-05, 'epoch': 0.08}
{'loss': 0.761, 'grad_norm': 3.8169763908999523, 'learning_rate': 2.7380952380952383e-05, 'epoch': 0.09}
{'loss': 0.5326, 'grad_norm': 2.6394788253773798, 'learning_rate': 2.9761904761904762e-05, 'epoch': 0.09}
{'loss': 0.5248, 'grad_norm': 5.111989685212982, 'learning_rate': 3.2142857142857144e-05, 'epoch': 0.1}
{'loss': 0.5272, 'grad_norm': 2.1120773073260874, 'learning_rate': 3.4523809523809526e-05, 'epoch': 0.11}
{'loss': 0.4072, 'grad_norm': 1.4386706641690932, 'learning_rate': 3.690476190476191e-05, 'epoch': 0.12}
{'loss': 0.5232, 'grad_norm': 6.229117265631254, 'learning_rate': 3.928571428571429e-05, 'epoch': 0.12}
{'loss': 0.4124, 'grad_norm': 1.7225291398918983, 'learning_rate': 4.166666666666667e-05, 'epoch': 0.13}
{'loss': 0.4299, 'grad_norm': 1.4483061638805073, 'learning_rate': 4.404761904761905e-05, 'epoch': 0.14}
{'loss': 0.4165, 'grad_norm': 1.2200983341935754, 'learning_rate': 4.642857142857143e-05, 'epoch': 0.14}
{'loss': 0.4676, 'grad_norm': 2.4561760661216447, 'learning_rate': 4.880952380952381e-05, 'epoch': 0.15}
{'loss': 0.4321, 'grad_norm': 1.0808097780541384, 'learning_rate': 4.999993210625304e-05, 'epoch': 0.16}
{'loss': 0.4382, 'grad_norm': 1.3940550294498129, 'learning_rate': 4.999938895848996e-05, 'epoch': 0.17}
{'loss': 0.4455, 'grad_norm': 28.869572658875615, 'learning_rate': 4.999830267476421e-05, 'epoch': 0.17}
{'loss': 0.4229, 'grad_norm': 0.8949325095512953, 'learning_rate': 4.999667327867636e-05, 'epoch': 0.18}
{'loss': 0.4421, 'grad_norm': 1.2629400258190095, 'learning_rate': 4.999450080562662e-05, 'epoch': 0.19}
{'loss': 0.3746, 'grad_norm': 1.0146500691291511, 'learning_rate': 4.9991785302814065e-05, 'epoch': 0.19}
{'loss': 0.4463, 'grad_norm': 2.2458833542824683, 'learning_rate': 4.9988526829235635e-05, 'epoch': 0.2}
{'loss': 0.4261, 'grad_norm': 1.2172632204734943, 'learning_rate': 4.998472545568483e-05, 'epoch': 0.21}
{'loss': 0.4037, 'grad_norm': 1.130237311870812, 'learning_rate': 4.9980381264750164e-05, 'epoch': 0.22}
{'loss': 0.4295, 'grad_norm': 1.1153401635891185, 'learning_rate': 4.997549435081341e-05, 'epoch': 0.22}
{'loss': 0.4065, 'grad_norm': 0.9859085426625476, 'learning_rate': 4.99700648200475e-05, 'epoch': 0.23}
{'loss': 0.4165, 'grad_norm': 1.1117516710009696, 'learning_rate': 4.9964092790414266e-05, 'epoch': 0.24}
{'loss': 0.4684, 'grad_norm': 0.9744840826454675, 'learning_rate': 4.995757839166183e-05, 'epoch': 0.24}
{'loss': 0.4066, 'grad_norm': 1.596562815098475, 'learning_rate': 4.9950521765321827e-05, 'epoch': 0.25}
{'loss': 0.4476, 'grad_norm': 0.7981218310608231, 'learning_rate': 4.9942923064706306e-05, 'epoch': 0.26}
{'loss': 0.4073, 'grad_norm': 0.570016919422982, 'learning_rate': 4.9934782454904403e-05, 'epoch': 0.27}
{'loss': 0.4053, 'grad_norm': 0.7164440526772391, 'learning_rate': 4.992610011277876e-05, 'epoch': 0.27}
{'loss': 0.4166, 'grad_norm': 0.6696419326540903, 'learning_rate': 4.9916876226961676e-05, 'epoch': 0.28}
{'loss': 0.3914, 'grad_norm': 0.6130845348961401, 'learning_rate': 4.9907110997851015e-05, 'epoch': 0.29}
{'loss': 0.4131, 'grad_norm': 0.7543221608613484, 'learning_rate': 4.9896804637605844e-05, 'epoch': 0.29}
{'loss': 0.4228, 'grad_norm': 0.7797917778418572, 'learning_rate': 4.9885957370141836e-05, 'epoch': 0.3}
{'loss': 0.4717, 'grad_norm': 1.1825978803971608, 'learning_rate': 4.987456943112638e-05, 'epoch': 0.31}
{'loss': 0.4414, 'grad_norm': 0.9400605861540086, 'learning_rate': 4.986264106797351e-05, 'epoch': 0.32}
{'loss': 0.4046, 'grad_norm': 0.8567913979161562, 'learning_rate': 4.985017253983848e-05, 'epoch': 0.32}
{'loss': 0.3943, 'grad_norm': 0.76119095202254, 'learning_rate': 4.9837164117612144e-05, 'epoch': 0.33}
{'loss': 0.4319, 'grad_norm': 0.8623776120106841, 'learning_rate': 4.982361608391508e-05, 'epoch': 0.34}
{'loss': 0.4048, 'grad_norm': 0.8512074313002685, 'learning_rate': 4.980952873309147e-05, 'epoch': 0.35}
{'loss': 0.4238, 'grad_norm': 0.7339635341304316, 'learning_rate': 4.9794902371202654e-05, 'epoch': 0.35}
{'loss': 0.4506, 'grad_norm': 0.7185283247990425, 'learning_rate': 4.977973731602055e-05, 'epoch': 0.36}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.41262680292129517, 'eval_accuracy': 0.8627450980392157, 'eval_runtime': 94.7425, 'eval_samples_per_second': 1.119, 'eval_steps_per_second': 0.285, 'epoch': 0.36}
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
                                                                                                   
{'loss': 0.4185, 'grad_norm': 0.6982950275415206, 'learning_rate': 4.9764033897020654e-05, 'epoch': 0.37}
{'loss': 0.4364, 'grad_norm': 0.8954487167068473, 'learning_rate': 4.9747792455374985e-05, 'epoch': 0.37}
{'loss': 0.4284, 'grad_norm': 0.8826179700722405, 'learning_rate': 4.973101334394461e-05, 'epoch': 0.38}
{'loss': 0.3952, 'grad_norm': 0.8550490827246915, 'learning_rate': 4.971369692727198e-05, 'epoch': 0.39}
