Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.2049, 'grad_norm': 17.60431888070998, 'learning_rate': 4.7619047619047623e-07, 'epoch': 0.01}
{'loss': 2.1223, 'grad_norm': 15.580575518904178, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.01}
{'loss': 2.2952, 'grad_norm': 20.644854058212715, 'learning_rate': 2.380952380952381e-06, 'epoch': 0.02}
{'loss': 1.8312, 'grad_norm': 11.657725554153586, 'learning_rate': 3.3333333333333333e-06, 'epoch': 0.03}
{'loss': 2.5378, 'grad_norm': 17.019264861047407, 'learning_rate': 4.2857142857142855e-06, 'epoch': 0.04}
{'loss': 1.6411, 'grad_norm': 12.698244312161826, 'learning_rate': 5.2380952380952384e-06, 'epoch': 0.04}
{'loss': 1.7705, 'grad_norm': 10.290465199365542, 'learning_rate': 6.1904761904761914e-06, 'epoch': 0.05}
{'loss': 1.6896, 'grad_norm': 9.568557309302447, 'learning_rate': 7.1428571428571436e-06, 'epoch': 0.06}
{'loss': 1.3194, 'grad_norm': 10.236355496856405, 'learning_rate': 8.095238095238097e-06, 'epoch': 0.06}
{'loss': 1.4039, 'grad_norm': 10.82203846149495, 'learning_rate': 9.047619047619049e-06, 'epoch': 0.07}
{'loss': 1.2229, 'grad_norm': 6.676275366271508, 'learning_rate': 1e-05, 'epoch': 0.08}
{'loss': 1.273, 'grad_norm': 7.523558027945302, 'learning_rate': 1.0952380952380955e-05, 'epoch': 0.09}
{'loss': 0.9423, 'grad_norm': 5.493218470960937, 'learning_rate': 1.1904761904761905e-05, 'epoch': 0.09}
{'loss': 0.8507, 'grad_norm': 8.599964741176962, 'learning_rate': 1.2857142857142859e-05, 'epoch': 0.1}
{'loss': 0.8881, 'grad_norm': 6.065507291279938, 'learning_rate': 1.3809523809523811e-05, 'epoch': 0.11}
{'loss': 0.6489, 'grad_norm': 8.170261260532259, 'learning_rate': 1.4761904761904763e-05, 'epoch': 0.12}
{'loss': 0.7889, 'grad_norm': 15.127084537187638, 'learning_rate': 1.5714285714285715e-05, 'epoch': 0.12}
{'loss': 0.5651, 'grad_norm': 5.178113315079363, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.13}
{'loss': 0.6306, 'grad_norm': 2.4155869456156798, 'learning_rate': 1.761904761904762e-05, 'epoch': 0.14}
{'loss': 0.4917, 'grad_norm': 1.9344175527452458, 'learning_rate': 1.8571428571428575e-05, 'epoch': 0.14}
{'loss': 0.4841, 'grad_norm': 2.822785314936501, 'learning_rate': 1.9523809523809524e-05, 'epoch': 0.15}
{'loss': 0.4424, 'grad_norm': 2.008377554976858, 'learning_rate': 1.9999972842501218e-05, 'epoch': 0.16}
{'loss': 0.4421, 'grad_norm': 1.7386596980721643, 'learning_rate': 1.9999755583395987e-05, 'epoch': 0.17}
{'loss': 0.5007, 'grad_norm': 8.628448826499096, 'learning_rate': 1.9999321069905688e-05, 'epoch': 0.17}
