Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                   
{'loss': 2.2468, 'grad_norm': 21.303329079745946, 'learning_rate': 7.194244604316547e-08, 'epoch': 0.01}
{'loss': 2.1619, 'grad_norm': 17.684856092975288, 'learning_rate': 2.1582733812949643e-07, 'epoch': 0.01}
{'loss': 2.2573, 'grad_norm': 20.204902030248547, 'learning_rate': 3.5971223021582736e-07, 'epoch': 0.02}
{'loss': 1.7549, 'grad_norm': 11.870491025548464, 'learning_rate': 5.035971223021583e-07, 'epoch': 0.03}
{'loss': 2.7577, 'grad_norm': 17.019055477577396, 'learning_rate': 6.474820143884893e-07, 'epoch': 0.04}
{'loss': 1.7539, 'grad_norm': 15.355007701938586, 'learning_rate': 7.913669064748202e-07, 'epoch': 0.04}
{'loss': 2.2219, 'grad_norm': 20.96937071076575, 'learning_rate': 9.352517985611512e-07, 'epoch': 0.05}
{'loss': 2.2822, 'grad_norm': 11.296809308008998, 'learning_rate': 1.079136690647482e-06, 'epoch': 0.06}
{'loss': 1.9276, 'grad_norm': 12.841495949798597, 'learning_rate': 1.2230215827338131e-06, 'epoch': 0.06}
{'loss': 2.2781, 'grad_norm': 17.835756381286252, 'learning_rate': 1.366906474820144e-06, 'epoch': 0.07}
{'loss': 2.129, 'grad_norm': 17.951103225940845, 'learning_rate': 1.510791366906475e-06, 'epoch': 0.08}
{'loss': 2.3063, 'grad_norm': 19.75375348305211, 'learning_rate': 1.654676258992806e-06, 'epoch': 0.09}
{'loss': 1.9398, 'grad_norm': 17.598969740072278, 'learning_rate': 1.7985611510791368e-06, 'epoch': 0.09}
{'loss': 2.0193, 'grad_norm': 18.94701128734417, 'learning_rate': 1.942446043165468e-06, 'epoch': 0.1}
{'loss': 2.1953, 'grad_norm': 12.446307055349315, 'learning_rate': 2.0863309352517987e-06, 'epoch': 0.11}
{'loss': 1.7932, 'grad_norm': 16.241958795522915, 'learning_rate': 2.23021582733813e-06, 'epoch': 0.12}
{'loss': 2.0028, 'grad_norm': 10.8947238058886, 'learning_rate': 2.3741007194244605e-06, 'epoch': 0.12}
{'loss': 1.5374, 'grad_norm': 13.581397842933677, 'learning_rate': 2.5179856115107916e-06, 'epoch': 0.13}
{'loss': 1.6279, 'grad_norm': 9.64822160252609, 'learning_rate': 2.6618705035971228e-06, 'epoch': 0.14}
{'loss': 1.6842, 'grad_norm': 12.666162189232104, 'learning_rate': 2.805755395683453e-06, 'epoch': 0.14}
{'loss': 1.2601, 'grad_norm': 8.127043407273664, 'learning_rate': 2.949640287769784e-06, 'epoch': 0.15}
{'loss': 1.3235, 'grad_norm': 13.951212367388592, 'learning_rate': 3.0935251798561158e-06, 'epoch': 0.16}
{'loss': 1.3079, 'grad_norm': 9.877381105304607, 'learning_rate': 3.237410071942446e-06, 'epoch': 0.17}
{'loss': 1.5232, 'grad_norm': 11.314877302878903, 'learning_rate': 3.381294964028777e-06, 'epoch': 0.17}
{'loss': 1.0919, 'grad_norm': 8.209832076595232, 'learning_rate': 3.525179856115108e-06, 'epoch': 0.18}
{'loss': 1.5092, 'grad_norm': 9.384018134235015, 'learning_rate': 3.669064748201439e-06, 'epoch': 0.19}
{'loss': 1.2345, 'grad_norm': 7.380102722761073, 'learning_rate': 3.81294964028777e-06, 'epoch': 0.19}
{'loss': 1.4523, 'grad_norm': 11.63551945014001, 'learning_rate': 3.956834532374101e-06, 'epoch': 0.2}
{'loss': 1.092, 'grad_norm': 8.706800355846138, 'learning_rate': 4.100719424460432e-06, 'epoch': 0.21}
{'loss': 0.8705, 'grad_norm': 12.149117159142236, 'learning_rate': 4.244604316546763e-06, 'epoch': 0.22}
{'loss': 0.9698, 'grad_norm': 10.931800950291482, 'learning_rate': 4.388489208633094e-06, 'epoch': 0.22}
{'loss': 1.0963, 'grad_norm': 7.560826471089346, 'learning_rate': 4.5323741007194245e-06, 'epoch': 0.23}
