Parameter Offload - Persistent parameters statistics: param_count = 487, numel = 2917568
                                                                                                   
{'loss': 2.1315, 'grad_norm': 24.200816539321007, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.01}
{'loss': 2.046, 'grad_norm': 23.00545149892559, 'learning_rate': 2.1428571428571427e-06, 'epoch': 0.01}
{'loss': 2.3725, 'grad_norm': 31.59016117356708, 'learning_rate': 3.5714285714285714e-06, 'epoch': 0.02}
{'loss': 1.7222, 'grad_norm': 17.16697687950293, 'learning_rate': 4.9999999999999996e-06, 'epoch': 0.03}
{'loss': 2.0614, 'grad_norm': 19.653950751060712, 'learning_rate': 6.428571428571429e-06, 'epoch': 0.04}
{'loss': 0.9998, 'grad_norm': 7.855024216143218, 'learning_rate': 7.857142857142858e-06, 'epoch': 0.04}
{'loss': 1.0999, 'grad_norm': 7.581411352142867, 'learning_rate': 9.285714285714286e-06, 'epoch': 0.05}
{'loss': 1.0811, 'grad_norm': 18.663888452703013, 'learning_rate': 1.0714285714285714e-05, 'epoch': 0.06}
{'loss': 0.5128, 'grad_norm': 5.473663125956632, 'learning_rate': 1.2142857142857144e-05, 'epoch': 0.06}
{'loss': 0.7151, 'grad_norm': 10.899640184953034, 'learning_rate': 1.3571428571428572e-05, 'epoch': 0.07}
{'loss': 0.6349, 'grad_norm': 4.002528645126873, 'learning_rate': 1.5e-05, 'epoch': 0.08}
{'loss': 0.5554, 'grad_norm': 3.2509316128781043, 'learning_rate': 1.6428571428571432e-05, 'epoch': 0.09}
{'loss': 0.4825, 'grad_norm': 2.1978804966183936, 'learning_rate': 1.785714285714286e-05, 'epoch': 0.09}
{'loss': 0.4886, 'grad_norm': 2.659139879655805, 'learning_rate': 1.928571428571429e-05, 'epoch': 0.1}
{'loss': 0.4989, 'grad_norm': 2.0635413247471477, 'learning_rate': 2.0714285714285715e-05, 'epoch': 0.11}
{'loss': 0.3903, 'grad_norm': 1.3989815903290705, 'learning_rate': 2.2142857142857145e-05, 'epoch': 0.12}
{'loss': 0.5304, 'grad_norm': 9.772375355293466, 'learning_rate': 2.357142857142857e-05, 'epoch': 0.12}
{'loss': 0.4086, 'grad_norm': 1.9616753066779273, 'learning_rate': 2.5e-05, 'epoch': 0.13}
{'loss': 0.4344, 'grad_norm': 1.560676456410341, 'learning_rate': 2.6428571428571428e-05, 'epoch': 0.14}
{'loss': 0.4335, 'grad_norm': 8.336457655354359, 'learning_rate': 2.7857142857142858e-05, 'epoch': 0.14}
{'loss': 0.4403, 'grad_norm': 2.6900544640422743, 'learning_rate': 2.9285714285714284e-05, 'epoch': 0.15}
{'loss': 0.4276, 'grad_norm': 1.2640583835617898, 'learning_rate': 2.9999959263751825e-05, 'epoch': 0.16}
{'loss': 0.4445, 'grad_norm': 1.6530367404081838, 'learning_rate': 2.9999633375093975e-05, 'epoch': 0.17}
