Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                                           
{'loss': 0.3138, 'grad_norm': 4.045847186767109, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 0.3515, 'grad_norm': 4.724386217084289, 'learning_rate': 2.4999999999999998e-06, 'epoch': 0.02}
{'loss': 0.3863, 'grad_norm': 5.237771542271127, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.03}
{'loss': 0.3015, 'grad_norm': 6.47280131670207, 'learning_rate': 5.833333333333334e-06, 'epoch': 0.03}
{'loss': 0.2726, 'grad_norm': 6.0499749040971595, 'learning_rate': 7.5e-06, 'epoch': 0.04}
{'loss': 0.3233, 'grad_norm': 4.861812921584249, 'learning_rate': 9.166666666666668e-06, 'epoch': 0.05}
{'loss': 0.3408, 'grad_norm': 3.608724235647165, 'learning_rate': 1.0833333333333334e-05, 'epoch': 0.06}
{'loss': 0.2782, 'grad_norm': 3.6192506288381594, 'learning_rate': 1.25e-05, 'epoch': 0.07}
{'loss': 0.2469, 'grad_norm': 3.1626226682469794, 'learning_rate': 1.4166666666666666e-05, 'epoch': 0.08}
{'loss': 0.2762, 'grad_norm': 2.776900668881531, 'learning_rate': 1.5833333333333333e-05, 'epoch': 0.08}
{'loss': 0.2814, 'grad_norm': 2.3376232989432273, 'learning_rate': 1.7500000000000002e-05, 'epoch': 0.09}
{'loss': 0.2529, 'grad_norm': 1.8048879724396683, 'learning_rate': 1.9166666666666667e-05, 'epoch': 0.1}
{'loss': 0.2238, 'grad_norm': 1.4309920814268655, 'learning_rate': 2.0833333333333333e-05, 'epoch': 0.11}
{'loss': 0.2264, 'grad_norm': 1.5291654302471203, 'learning_rate': 2.25e-05, 'epoch': 0.12}
{'loss': 0.2169, 'grad_norm': 1.2406723040704006, 'learning_rate': 2.4166666666666667e-05, 'epoch': 0.13}
{'loss': 0.2379, 'grad_norm': 0.9720308494210831, 'learning_rate': 2.5833333333333336e-05, 'epoch': 0.13}
{'loss': 0.1948, 'grad_norm': 0.938332196505697, 'learning_rate': 2.75e-05, 'epoch': 0.14}
{'loss': 0.2176, 'grad_norm': 0.9549040220364481, 'learning_rate': 2.9166666666666666e-05, 'epoch': 0.15}
{'loss': 0.2428, 'grad_norm': 1.0727585204341943, 'learning_rate': 2.9999944416086244e-05, 'epoch': 0.16}
{'loss': 0.2144, 'grad_norm': 0.6256778913338886, 'learning_rate': 2.9999499747247845e-05, 'epoch': 0.17}
{'loss': 0.2461, 'grad_norm': 0.9237764740294394, 'learning_rate': 2.9998610422753126e-05, 'epoch': 0.18}
{'loss': 0.2263, 'grad_norm': 0.6848613851274442, 'learning_rate': 2.9997276468965835e-05, 'epoch': 0.18}
{'loss': 0.252, 'grad_norm': 0.7374289449208218, 'learning_rate': 2.9995497925430633e-05, 'epoch': 0.19}
{'loss': 0.2221, 'grad_norm': 0.8498032575478489, 'learning_rate': 2.9993274844871917e-05, 'epoch': 0.2}
{'loss': 0.2014, 'grad_norm': 0.6694978271375543, 'learning_rate': 2.9990607293192228e-05, 'epoch': 0.21}
{'loss': 0.2209, 'grad_norm': 0.6683045168980231, 'learning_rate': 2.9987495349470344e-05, 'epoch': 0.22}
{'loss': 0.2361, 'grad_norm': 0.7615306736521985, 'learning_rate': 2.998393910595889e-05, 'epoch': 0.23}
{'loss': 0.2311, 'grad_norm': 0.8162074632703574, 'learning_rate': 2.9979938668081646e-05, 'epoch': 0.24}
{'loss': 0.2214, 'grad_norm': 0.687039300289561, 'learning_rate': 2.9975494154430378e-05, 'epoch': 0.24}
{'loss': 0.237, 'grad_norm': 0.6007104151670055, 'learning_rate': 2.9970605696761365e-05, 'epoch': 0.25}
{'loss': 0.2326, 'grad_norm': 0.5758106014675332, 'learning_rate': 2.996527343999146e-05, 'epoch': 0.26}
{'loss': 0.2242, 'grad_norm': 0.562395901568824, 'learning_rate': 2.9959497542193808e-05, 'epoch': 0.27}
{'loss': 0.2003, 'grad_norm': 0.5008859119216826, 'learning_rate': 2.995327817459316e-05, 'epoch': 0.28}
{'loss': 0.2169, 'grad_norm': 0.5182566025335958, 'learning_rate': 2.9946615521560805e-05, 'epoch': 0.29}
{'loss': 0.2375, 'grad_norm': 0.5499588548861807, 'learning_rate': 2.993950978060908e-05, 'epoch': 0.29}
{'loss': 0.238, 'grad_norm': 0.7137205941595428, 'learning_rate': 2.9931961162385537e-05, 'epoch': 0.3}
{'loss': 0.2066, 'grad_norm': 0.501256688598359, 'learning_rate': 2.9923969890666696e-05, 'epoch': 0.31}
{'loss': 0.2145, 'grad_norm': 0.9201243966554568, 'learning_rate': 2.99155362023514e-05, 'epoch': 0.32}
{'loss': 0.2161, 'grad_norm': 0.5905103222268185, 'learning_rate': 2.9906660347453803e-05, 'epoch': 0.33}
{'loss': 0.2066, 'grad_norm': 0.6497645259683668, 'learning_rate': 2.9897342589095952e-05, 'epoch': 0.34}
{'loss': 0.2095, 'grad_norm': 0.6797842623281425, 'learning_rate': 2.9887583203499986e-05, 'epoch': 0.34}
{'loss': 0.2276, 'grad_norm': 0.7646408383490615, 'learning_rate': 2.9877382479979955e-05, 'epoch': 0.35}
{'loss': 0.2056, 'grad_norm': 0.7990915835336658, 'learning_rate': 2.986674072093324e-05, 'epoch': 0.36}
{'loss': 0.2376, 'grad_norm': 0.9004868429514314, 'learning_rate': 2.985565824183159e-05, 'epoch': 0.37}
{'loss': 0.211, 'grad_norm': 0.7090254877050925, 'learning_rate': 2.984413537121176e-05, 'epoch': 0.38}
{'loss': 0.2204, 'grad_norm': 0.9258139963083727, 'learning_rate': 2.9832172450665772e-05, 'epoch': 0.39}
{'loss': 0.2074, 'grad_norm': 0.7710873371768072, 'learning_rate': 2.9819769834830825e-05, 'epoch': 0.39}
{'loss': 0.2168, 'grad_norm': 1.048663007566203, 'learning_rate': 2.9806927891378715e-05, 'epoch': 0.4}
{'loss': 0.2122, 'grad_norm': 0.883947717164117, 'learning_rate': 2.9793647001005002e-05, 'epoch': 0.41}
{'loss': 0.2073, 'grad_norm': 0.8117995419405262, 'learning_rate': 2.9779927557417678e-05, 'epoch': 0.42}
{'loss': 0.2055, 'grad_norm': 0.7343173477770742, 'learning_rate': 2.9765769967325525e-05, 'epoch': 0.43}
{'loss': 0.2119, 'grad_norm': 1.0481631180583606, 'learning_rate': 2.975117465042604e-05, 'epoch': 0.44}
{'loss': 0.2304, 'grad_norm': 0.979296540606175, 'learning_rate': 2.9736142039392998e-05, 'epoch': 0.45}
{'loss': 0.2132, 'grad_norm': 0.7798648139386585, 'learning_rate': 2.9720672579863633e-05, 'epoch': 0.45}
{'loss': 0.2382, 'grad_norm': 0.8982629096926179, 'learning_rate': 2.9704766730425412e-05, 'epoch': 0.46}
{'loss': 0.2562, 'grad_norm': 0.9388949096457143, 'learning_rate': 2.9688424962602462e-05, 'epoch': 0.47}
{'loss': 0.2229, 'grad_norm': 0.799727823616942, 'learning_rate': 2.9671647760841566e-05, 'epoch': 0.48}
{'loss': 0.2233, 'grad_norm': 0.9138362449662624, 'learning_rate': 2.9654435622497826e-05, 'epoch': 0.49}
{'loss': 0.223, 'grad_norm': 0.7725608675240976, 'learning_rate': 2.9636789057819903e-05, 'epoch': 0.5}
{'loss': 0.1984, 'grad_norm': 0.6860297959241511, 'learning_rate': 2.9618708589934897e-05, 'epoch': 0.5}
{'loss': 0.2138, 'grad_norm': 0.613722685851615, 'learning_rate': 2.9600194754832833e-05, 'epoch': 0.51}
{'loss': 0.2256, 'grad_norm': 0.866193946882702, 'learning_rate': 2.958124810135079e-05, 'epoch': 0.52}
{'loss': 0.219, 'grad_norm': 0.7770289212289253, 'learning_rate': 2.9561869191156597e-05, 'epoch': 0.53}
{'loss': 0.2226, 'grad_norm': 0.8911069622696522, 'learning_rate': 2.954205859873223e-05, 'epoch': 0.54}
{'loss': 0.2215, 'grad_norm': 0.859258261794753, 'learning_rate': 2.9521816911356727e-05, 'epoch': 0.55}
{'loss': 0.2187, 'grad_norm': 0.9314928553441626, 'learning_rate': 2.950114472908883e-05, 'epoch': 0.55}
{'loss': 0.2295, 'grad_norm': 1.1548827550221492, 'learning_rate': 2.9480042664749147e-05, 'epoch': 0.56}
{'loss': 0.2234, 'grad_norm': 1.044009554011536, 'learning_rate': 2.945851134390204e-05, 'epoch': 0.57}
{'loss': 0.2108, 'grad_norm': 1.041223493081088, 'learning_rate': 2.943655140483703e-05, 'epoch': 0.58}
{'loss': 0.2092, 'grad_norm': 1.1555891438265575, 'learning_rate': 2.9414163498549904e-05, 'epoch': 0.59}
{'loss': 0.2002, 'grad_norm': 0.9399690422149382, 'learning_rate': 2.9391348288723403e-05, 'epoch': 0.6}
{'loss': 0.2074, 'grad_norm': 1.0905579312997336, 'learning_rate': 2.936810645170756e-05, 'epoch': 0.61}
{'loss': 0.2463, 'grad_norm': 1.4612408260573204, 'learning_rate': 2.934443867649964e-05, 'epoch': 0.61}
{'loss': 0.213, 'grad_norm': 1.0338211860585824, 'learning_rate': 2.9320345664723713e-05, 'epoch': 0.62}
{'loss': 0.2131, 'grad_norm': 1.2131525369985747, 'learning_rate': 2.9295828130609866e-05, 'epoch': 0.63}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.23424208164215088, 'eval_token_acc': 0.8819918144611187, 'eval_string_acc': 0.2606837606837607, 'eval_choice_acc': 0.2606837606837607, 'eval_runtime': 190.7758, 'eval_samples_per_second': 1.227, 'eval_steps_per_second': 0.309, 'epoch': 0.63}
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
                                                                                                                           
{'loss': 0.2347, 'grad_norm': 1.3408848289450488, 'learning_rate': 2.927088680097302e-05, 'epoch': 0.64}
{'loss': 0.2488, 'grad_norm': 1.3363295000187934, 'learning_rate': 2.9245522415191383e-05, 'epoch': 0.65}
{'loss': 0.2284, 'grad_norm': 1.1050890619781681, 'learning_rate': 2.9219735725184547e-05, 'epoch': 0.66}
{'loss': 0.2226, 'grad_norm': 1.2576476096691884, 'learning_rate': 2.919352749539117e-05, 'epoch': 0.66}
{'loss': 0.1967, 'grad_norm': 1.042402383586807, 'learning_rate': 2.916689850274634e-05, 'epoch': 0.67}
{'loss': 0.2485, 'grad_norm': 1.028450587032804, 'learning_rate': 2.9139849536658533e-05, 'epoch': 0.68}
{'loss': 0.1962, 'grad_norm': 1.1408111918202835, 'learning_rate': 2.9112381398986204e-05, 'epoch': 0.69}
{'loss': 0.2211, 'grad_norm': 1.0120741581365684, 'learning_rate': 2.9084494904014032e-05, 'epoch': 0.7}
{'loss': 0.2207, 'grad_norm': 0.7912909974923715, 'learning_rate': 2.9056190878428766e-05, 'epoch': 0.71}
{'loss': 0.2181, 'grad_norm': 0.890504440770514, 'learning_rate': 2.9027470161294732e-05, 'epoch': 0.71}
{'loss': 0.2052, 'grad_norm': 1.072685477597764, 'learning_rate': 2.8998333604028946e-05, 'epoch': 0.72}
{'loss': 0.231, 'grad_norm': 0.9706616536264202, 'learning_rate': 2.8968782070375875e-05, 'epoch': 0.73}
{'loss': 0.2, 'grad_norm': 0.9593928903918709, 'learning_rate': 2.8938816436381846e-05, 'epoch': 0.74}
{'loss': 0.2011, 'grad_norm': 1.029150116083593, 'learning_rate': 2.8908437590369056e-05, 'epoch': 0.75}
{'loss': 0.2186, 'grad_norm': 1.147142067704098, 'learning_rate': 2.8877646432909258e-05, 'epoch': 0.76}
{'loss': 0.2113, 'grad_norm': 0.8883338641614362, 'learning_rate': 2.884644387679705e-05, 'epoch': 0.76}
{'loss': 0.1898, 'grad_norm': 1.1003117439497143, 'learning_rate': 2.8814830847022823e-05, 'epoch': 0.77}
{'loss': 0.2297, 'grad_norm': 1.7663133713008967, 'learning_rate': 2.8782808280745323e-05, 'epoch': 0.78}
{'loss': 0.2168, 'grad_norm': 1.3715235857647634, 'learning_rate': 2.875037712726389e-05, 'epoch': 0.79}
{'loss': 0.2191, 'grad_norm': 1.3111617086121061, 'learning_rate': 2.8717538347990315e-05, 'epoch': 0.8}
{'loss': 0.1923, 'grad_norm': 1.246927076809329, 'learning_rate': 2.8684292916420325e-05, 'epoch': 0.81}
{'loss': 0.2223, 'grad_norm': 1.1500270240946546, 'learning_rate': 2.8650641818104734e-05, 'epoch': 0.82}
{'loss': 0.2494, 'grad_norm': 1.0874845339014163, 'learning_rate': 2.861658605062023e-05, 'epoch': 0.82}
{'loss': 0.1777, 'grad_norm': 1.1021966619569703, 'learning_rate': 2.8582126623539787e-05, 'epoch': 0.83}
{'loss': 0.2078, 'grad_norm': 1.460195407868168, 'learning_rate': 2.8547264558402752e-05, 'epoch': 0.84}
{'loss': 0.2228, 'grad_norm': 1.1335026407235054, 'learning_rate': 2.851200088868456e-05, 'epoch': 0.85}
{'loss': 0.18, 'grad_norm': 0.9095355264901033, 'learning_rate': 2.847633665976608e-05, 'epoch': 0.86}
{'loss': 0.2342, 'grad_norm': 1.2123848030145719, 'learning_rate': 2.8440272928902655e-05, 'epoch': 0.87}
{'loss': 0.2186, 'grad_norm': 0.8235899802058264, 'learning_rate': 2.8403810765192727e-05, 'epoch': 0.87}
{'loss': 0.1961, 'grad_norm': 1.3211909887014448, 'learning_rate': 2.8366951249546166e-05, 'epoch': 0.88}
{'loss': 0.2066, 'grad_norm': 1.0996979008010543, 'learning_rate': 2.832969547465223e-05, 'epoch': 0.89}
{'loss': 0.1988, 'grad_norm': 1.0439356405828677, 'learning_rate': 2.8292044544947147e-05, 'epoch': 0.9}
{'loss': 0.2057, 'grad_norm': 1.4218570586845793, 'learning_rate': 2.82539995765814e-05, 'epoch': 0.91}
{'loss': 0.1901, 'grad_norm': 1.1080138192283744, 'learning_rate': 2.821556169738663e-05, 'epoch': 0.92}
{'loss': 0.1819, 'grad_norm': 1.1726840169824366, 'learning_rate': 2.81767320468422e-05, 'epoch': 0.92}
{'loss': 0.1967, 'grad_norm': 1.6144291218414184, 'learning_rate': 2.8137511776041405e-05, 'epoch': 0.93}
{'loss': 0.231, 'grad_norm': 2.3980056476600717, 'learning_rate': 2.8097902047657387e-05, 'epoch': 0.94}
{'loss': 0.1567, 'grad_norm': 1.2218327332397563, 'learning_rate': 2.805790403590861e-05, 'epoch': 0.95}
{'loss': 0.1967, 'grad_norm': 1.800973245226707, 'learning_rate': 2.8017518926524103e-05, 'epoch': 0.96}
{'loss': 0.1885, 'grad_norm': 1.5399598906250516, 'learning_rate': 2.7976747916708283e-05, 'epoch': 0.97}
{'loss': 0.208, 'grad_norm': 1.966933566558232, 'learning_rate': 2.793559221510546e-05, 'epoch': 0.97}
{'loss': 0.271, 'grad_norm': 2.6648104687068552, 'learning_rate': 2.7894053041764026e-05, 'epoch': 0.98}
{'loss': 0.1985, 'grad_norm': 1.0738643432514847, 'learning_rate': 2.7852131628100282e-05, 'epoch': 0.99}
{'loss': 0.2246, 'grad_norm': 3.198406777072472, 'learning_rate': 2.780982921686191e-05, 'epoch': 1.0}
{'loss': 0.2027, 'grad_norm': 1.480241355092697, 'learning_rate': 2.7767147062091173e-05, 'epoch': 1.01}
{'loss': 0.2079, 'grad_norm': 1.1142553357712022, 'learning_rate': 2.772408642908769e-05, 'epoch': 1.02}
{'loss': 0.2022, 'grad_norm': 2.0213285568104977, 'learning_rate': 2.7680648594370983e-05, 'epoch': 1.03}
{'loss': 0.1753, 'grad_norm': 1.067001491160922, 'learning_rate': 2.7636834845642586e-05, 'epoch': 1.03}
{'loss': 0.2122, 'grad_norm': 1.161317316618379, 'learning_rate': 2.7592646481747888e-05, 'epoch': 1.04}
{'loss': 0.2154, 'grad_norm': 0.9956463015521148, 'learning_rate': 2.754808481263765e-05, 'epoch': 1.05}
{'loss': 0.1971, 'grad_norm': 1.2482010094272133, 'learning_rate': 2.7503151159329137e-05, 'epoch': 1.06}
{'loss': 0.1851, 'grad_norm': 1.1609542185678263, 'learning_rate': 2.7457846853866984e-05, 'epoch': 1.07}
{'loss': 0.2052, 'grad_norm': 1.0436299256676804, 'learning_rate': 2.741217323928369e-05, 'epoch': 1.08}
{'loss': 0.191, 'grad_norm': 0.9690705996557573, 'learning_rate': 2.7366131669559816e-05, 'epoch': 1.08}
{'loss': 0.2097, 'grad_norm': 2.249874399911188, 'learning_rate': 2.7319723509583842e-05, 'epoch': 1.09}
{'loss': 0.214, 'grad_norm': 1.4694764449660696, 'learning_rate': 2.7272950135111704e-05, 'epoch': 1.1}
{'loss': 0.2198, 'grad_norm': 1.749784054761735, 'learning_rate': 2.7225812932726016e-05, 'epoch': 1.11}
{'loss': 0.2144, 'grad_norm': 1.4428478242453646, 'learning_rate': 2.717831329979495e-05, 'epoch': 1.12}
{'loss': 0.1903, 'grad_norm': 1.948982486504468, 'learning_rate': 2.7130452644430844e-05, 'epoch': 1.13}
{'loss': 0.1761, 'grad_norm': 1.0380434836350885, 'learning_rate': 2.7082232385448415e-05, 'epoch': 1.13}
{'loss': 0.206, 'grad_norm': 1.5238687064453529, 'learning_rate': 2.703365395232273e-05, 'epoch': 1.14}
{'loss': 0.1663, 'grad_norm': 1.7326283515931762, 'learning_rate': 2.698471878514682e-05, 'epoch': 1.15}
{'loss': 0.1632, 'grad_norm': 2.3464055642600905, 'learning_rate': 2.6935428334588998e-05, 'epoch': 1.16}
{'loss': 0.2019, 'grad_norm': 2.9279241620301586, 'learning_rate': 2.688578406184983e-05, 'epoch': 1.17}
{'loss': 0.1928, 'grad_norm': 2.676656274868471, 'learning_rate': 2.6835787438618847e-05, 'epoch': 1.18}
{'loss': 0.2063, 'grad_norm': 2.1340084806005444, 'learning_rate': 2.6785439947030895e-05, 'epoch': 1.18}
{'loss': 0.1461, 'grad_norm': 1.8863424518609428, 'learning_rate': 2.6734743079622216e-05, 'epoch': 1.19}
{'loss': 0.1787, 'grad_norm': 3.4230038539010303, 'learning_rate': 2.6683698339286184e-05, 'epoch': 1.2}
{'loss': 0.1904, 'grad_norm': 2.909213280492866, 'learning_rate': 2.663230723922877e-05, 'epoch': 1.21}
{'loss': 0.2149, 'grad_norm': 2.842903806209192, 'learning_rate': 2.6580571302923666e-05, 'epoch': 1.22}
{'loss': 0.1443, 'grad_norm': 2.9953089787668086, 'learning_rate': 2.6528492064067143e-05, 'epoch': 1.23}
{'loss': 0.2515, 'grad_norm': 3.7080836361288636, 'learning_rate': 2.647607106653256e-05, 'epoch': 1.24}
{'loss': 0.1747, 'grad_norm': 2.4724864114750167, 'learning_rate': 2.6423309864324613e-05, 'epoch': 1.24}
{'loss': 0.1642, 'grad_norm': 2.4713780667645255, 'learning_rate': 2.6370210021533266e-05, 'epoch': 1.25}
{'loss': 0.1782, 'grad_norm': 2.3194121173243727, 'learning_rate': 2.6316773112287375e-05, 'epoch': 1.26}
You are using a model of type qwen2 to instantiate a model of type vlm_qwen. This is not supported for all configurations of models and can yield errors.
{'eval_loss': 0.24840262532234192, 'eval_token_acc': 0.8697135061391542, 'eval_string_acc': 0.18376068376068377, 'eval_choice_acc': 0.18376068376068377, 'eval_runtime': 186.0629, 'eval_samples_per_second': 1.258, 'eval_steps_per_second': 0.317, 'epoch': 1.26}
/fs04/scratch2/iq38/biomed_model_pmct/data/minigptmed/MiniGPT-Med/miniconda3/miniconda/conda/envs/med3dvlm/lib/python3.12/site-packages/peft/utils/save_and_load.py:260: UserWarning: Setting `save_embedding_layers` to `True` as the embedding layer has been resized during finetuning.
  warnings.warn(
                                                                                                                           
{'loss': 0.2176, 'grad_norm': 2.2303040921842268, 'learning_rate': 2.626300072070804e-05, 'epoch': 1.27}
{'loss': 0.1929, 'grad_norm': 1.7515282995607946, 'learning_rate': 2.6208894440861634e-05, 'epoch': 1.28}
