Parameter Offload - Persistent parameters statistics: param_count = 739, numel = 15992000
                                                                                                                           
{'loss': 0.2988, 'grad_norm': 4.034612613905178, 'learning_rate': 8.333333333333333e-07, 'epoch': 0.01}
{'loss': 0.3452, 'grad_norm': 3.4003950109791217, 'learning_rate': 2.4999999999999998e-06, 'epoch': 0.02}
{'loss': 0.3887, 'grad_norm': 4.531746840923887, 'learning_rate': 4.166666666666667e-06, 'epoch': 0.03}
{'loss': 0.3094, 'grad_norm': 4.94638536809716, 'learning_rate': 5.833333333333334e-06, 'epoch': 0.03}
{'loss': 0.2851, 'grad_norm': 4.564810117035224, 'learning_rate': 7.5e-06, 'epoch': 0.04}
{'loss': 0.3152, 'grad_norm': 3.460910504173951, 'learning_rate': 9.166666666666668e-06, 'epoch': 0.05}
{'loss': 0.3435, 'grad_norm': 3.075395837562406, 'learning_rate': 1.0833333333333334e-05, 'epoch': 0.06}
{'loss': 0.2858, 'grad_norm': 3.4003457071792584, 'learning_rate': 1.25e-05, 'epoch': 0.07}
{'loss': 0.2486, 'grad_norm': 2.289178218384383, 'learning_rate': 1.4166666666666666e-05, 'epoch': 0.08}
{'loss': 0.2965, 'grad_norm': 2.650394999994028, 'learning_rate': 1.5833333333333333e-05, 'epoch': 0.08}
{'loss': 0.2882, 'grad_norm': 1.8782531197978145, 'learning_rate': 1.7500000000000002e-05, 'epoch': 0.09}
{'loss': 0.2489, 'grad_norm': 1.559928235272205, 'learning_rate': 1.9166666666666667e-05, 'epoch': 0.1}
{'loss': 0.221, 'grad_norm': 1.2534986766882177, 'learning_rate': 2.0833333333333333e-05, 'epoch': 0.11}
{'loss': 0.2236, 'grad_norm': 1.2610631557640513, 'learning_rate': 2.25e-05, 'epoch': 0.12}
{'loss': 0.2228, 'grad_norm': 1.0224084408240268, 'learning_rate': 2.4166666666666667e-05, 'epoch': 0.13}
{'loss': 0.2461, 'grad_norm': 0.8107336543418162, 'learning_rate': 2.5833333333333336e-05, 'epoch': 0.13}
{'loss': 0.1945, 'grad_norm': 0.8108573916612616, 'learning_rate': 2.75e-05, 'epoch': 0.14}
{'loss': 0.224, 'grad_norm': 0.8005997322148938, 'learning_rate': 2.9166666666666666e-05, 'epoch': 0.15}
{'loss': 0.2397, 'grad_norm': 0.9596337741622142, 'learning_rate': 2.9999944416086244e-05, 'epoch': 0.16}
{'loss': 0.2109, 'grad_norm': 0.5140907728389079, 'learning_rate': 2.9999499747247845e-05, 'epoch': 0.17}
{'loss': 0.2454, 'grad_norm': 0.7104639543950204, 'learning_rate': 2.9998610422753126e-05, 'epoch': 0.18}
{'loss': 0.2301, 'grad_norm': 0.543193160530524, 'learning_rate': 2.9997276468965835e-05, 'epoch': 0.18}
{'loss': 0.2501, 'grad_norm': 0.560457689151967, 'learning_rate': 2.9995497925430633e-05, 'epoch': 0.19}
{'loss': 0.2223, 'grad_norm': 0.6573248730101626, 'learning_rate': 2.9993274844871917e-05, 'epoch': 0.2}
{'loss': 0.2031, 'grad_norm': 0.5455488468277776, 'learning_rate': 2.9990607293192228e-05, 'epoch': 0.21}
{'loss': 0.224, 'grad_norm': 0.5740746896178038, 'learning_rate': 2.9987495349470344e-05, 'epoch': 0.22}
{'loss': 0.2374, 'grad_norm': 0.7482385267528917, 'learning_rate': 2.998393910595889e-05, 'epoch': 0.23}
{'loss': 0.2294, 'grad_norm': 0.5800897656122883, 'learning_rate': 2.9979938668081646e-05, 'epoch': 0.24}
{'loss': 0.222, 'grad_norm': 0.5741137615937262, 'learning_rate': 2.9975494154430378e-05, 'epoch': 0.24}
{'loss': 0.2372, 'grad_norm': 0.46824175294105025, 'learning_rate': 2.9970605696761365e-05, 'epoch': 0.25}
{'loss': 0.2365, 'grad_norm': 0.41699934229134167, 'learning_rate': 2.996527343999146e-05, 'epoch': 0.26}
{'loss': 0.2253, 'grad_norm': 0.38572715713576794, 'learning_rate': 2.9959497542193808e-05, 'epoch': 0.27}
{'loss': 0.1967, 'grad_norm': 0.36438275383837493, 'learning_rate': 2.995327817459316e-05, 'epoch': 0.28}
{'loss': 0.2207, 'grad_norm': 0.3781093515483426, 'learning_rate': 2.9946615521560805e-05, 'epoch': 0.29}
{'loss': 0.2357, 'grad_norm': 0.3823834869697712, 'learning_rate': 2.993950978060908e-05, 'epoch': 0.29}
{'loss': 0.2395, 'grad_norm': 0.593206183055394, 'learning_rate': 2.9931961162385537e-05, 'epoch': 0.3}
{'loss': 0.2065, 'grad_norm': 0.313695097958462, 'learning_rate': 2.9923969890666696e-05, 'epoch': 0.31}
{'loss': 0.2194, 'grad_norm': 0.6567976381648141, 'learning_rate': 2.99155362023514e-05, 'epoch': 0.32}
{'loss': 0.2046, 'grad_norm': 0.35211680222314945, 'learning_rate': 2.9906660347453803e-05, 'epoch': 0.33}
{'loss': 0.2061, 'grad_norm': 0.4342650303697953, 'learning_rate': 2.9897342589095952e-05, 'epoch': 0.34}
{'loss': 0.2064, 'grad_norm': 0.4480518145210098, 'learning_rate': 2.9887583203499986e-05, 'epoch': 0.34}
{'loss': 0.2277, 'grad_norm': 0.5280095621163858, 'learning_rate': 2.9877382479979955e-05, 'epoch': 0.35}
{'loss': 0.203, 'grad_norm': 0.5835284456347856, 'learning_rate': 2.986674072093324e-05, 'epoch': 0.36}
{'loss': 0.2371, 'grad_norm': 0.5762385344412982, 'learning_rate': 2.985565824183159e-05, 'epoch': 0.37}
{'loss': 0.2207, 'grad_norm': 0.5247173198974256, 'learning_rate': 2.984413537121176e-05, 'epoch': 0.38}
{'loss': 0.2207, 'grad_norm': 0.7049026233032333, 'learning_rate': 2.9832172450665772e-05, 'epoch': 0.39}
{'loss': 0.2108, 'grad_norm': 0.5306752202010468, 'learning_rate': 2.9819769834830825e-05, 'epoch': 0.39}
{'loss': 0.2243, 'grad_norm': 0.7081949592764847, 'learning_rate': 2.9806927891378715e-05, 'epoch': 0.4}
