                                                                                                                    
{'loss': 7.8742, 'grad_norm': 59.30381393432617, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 7.4293, 'grad_norm': 57.13777542114258, 'learning_rate': 3.409090909090909e-07, 'epoch': 0.01}
{'loss': 6.679, 'grad_norm': 53.243011474609375, 'learning_rate': 6.818181818181818e-07, 'epoch': 0.02}
{'loss': 7.9559, 'grad_norm': 98.04100799560547, 'learning_rate': 1.0227272727272727e-06, 'epoch': 0.02}
{'loss': 7.4101, 'grad_norm': 53.969482421875, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.03}
{'loss': 6.9043, 'grad_norm': 69.43524932861328, 'learning_rate': 1.7045454545454546e-06, 'epoch': 0.03}
{'loss': 7.1116, 'grad_norm': 51.047420501708984, 'learning_rate': 2.0454545454545453e-06, 'epoch': 0.04}
{'loss': 7.202, 'grad_norm': 50.23257827758789, 'learning_rate': 2.3863636363636363e-06, 'epoch': 0.05}
{'loss': 7.4778, 'grad_norm': 57.746307373046875, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.05}
{'loss': 7.1243, 'grad_norm': 51.10708236694336, 'learning_rate': 3.0681818181818186e-06, 'epoch': 0.06}
{'loss': 6.4244, 'grad_norm': 45.5735969543457, 'learning_rate': 3.409090909090909e-06, 'epoch': 0.06}
{'loss': 6.1766, 'grad_norm': 46.929481506347656, 'learning_rate': 3.75e-06, 'epoch': 0.07}
{'loss': 6.6615, 'grad_norm': 58.25430679321289, 'learning_rate': 4.090909090909091e-06, 'epoch': 0.07}
{'loss': 5.8224, 'grad_norm': 48.889076232910156, 'learning_rate': 4.4318181818181824e-06, 'epoch': 0.08}
{'loss': 5.5527, 'grad_norm': 47.325469970703125, 'learning_rate': 4.7727272727272725e-06, 'epoch': 0.09}
{'loss': 4.7894, 'grad_norm': 80.30597686767578, 'learning_rate': 5.1136363636363635e-06, 'epoch': 0.09}
{'loss': 4.2554, 'grad_norm': 50.032718658447266, 'learning_rate': 5.4545454545454545e-06, 'epoch': 0.1}
{'loss': 3.7824, 'grad_norm': 52.307132720947266, 'learning_rate': 5.795454545454545e-06, 'epoch': 0.1}
{'loss': 3.2729, 'grad_norm': 51.88609313964844, 'learning_rate': 6.136363636363637e-06, 'epoch': 0.11}
