                                                                                                            
{'loss': 7.4916, 'grad_norm': 408.7009582519531, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 7.4895, 'grad_norm': 404.6429138183594, 'learning_rate': 3.409090909090909e-07, 'epoch': 0.01}
{'loss': 6.9276, 'grad_norm': 433.57086181640625, 'learning_rate': 6.818181818181818e-07, 'epoch': 0.02}
{'loss': 6.7981, 'grad_norm': 656.0333862304688, 'learning_rate': 1.0227272727272727e-06, 'epoch': 0.02}
{'loss': 7.4571, 'grad_norm': 401.16021728515625, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.03}
{'loss': 7.4632, 'grad_norm': 535.8167114257812, 'learning_rate': 1.7045454545454546e-06, 'epoch': 0.03}
{'loss': 7.8629, 'grad_norm': 386.8528137207031, 'learning_rate': 2.0454545454545453e-06, 'epoch': 0.04}
{'loss': 7.6437, 'grad_norm': 714.6809692382812, 'learning_rate': 2.3863636363636363e-06, 'epoch': 0.05}
{'loss': 6.7735, 'grad_norm': 349.2547302246094, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.05}
{'loss': 7.0616, 'grad_norm': 383.35968017578125, 'learning_rate': 3.0681818181818186e-06, 'epoch': 0.06}
{'loss': 6.8811, 'grad_norm': 322.8977966308594, 'learning_rate': 3.409090909090909e-06, 'epoch': 0.06}
{'loss': 6.1717, 'grad_norm': 291.96343994140625, 'learning_rate': 3.75e-06, 'epoch': 0.07}
{'loss': 5.7835, 'grad_norm': 248.4936981201172, 'learning_rate': 4.090909090909091e-06, 'epoch': 0.07}
{'loss': 6.1201, 'grad_norm': 336.94732666015625, 'learning_rate': 4.4318181818181824e-06, 'epoch': 0.08}
{'loss': 5.3959, 'grad_norm': 285.49468994140625, 'learning_rate': 4.7727272727272725e-06, 'epoch': 0.09}
{'loss': 4.9638, 'grad_norm': 340.389404296875, 'learning_rate': 5.1136363636363635e-06, 'epoch': 0.09}
{'loss': 3.5352, 'grad_norm': 318.1209716796875, 'learning_rate': 5.4545454545454545e-06, 'epoch': 0.1}
{'loss': 2.7326, 'grad_norm': 466.52459716796875, 'learning_rate': 5.795454545454545e-06, 'epoch': 0.1}
{'loss': 2.807, 'grad_norm': 265.0364074707031, 'learning_rate': 6.136363636363637e-06, 'epoch': 0.11}
{'loss': 1.619, 'grad_norm': 159.86085510253906, 'learning_rate': 6.477272727272727e-06, 'epoch': 0.11}
{'loss': 1.362, 'grad_norm': 199.10545349121094, 'learning_rate': 6.818181818181818e-06, 'epoch': 0.12}
{'loss': 1.3353, 'grad_norm': 194.97409057617188, 'learning_rate': 7.159090909090909e-06, 'epoch': 0.12}
{'loss': 1.1508, 'grad_norm': 87.61814880371094, 'learning_rate': 7.5e-06, 'epoch': 0.13}
{'loss': 1.254, 'grad_norm': 373.4363098144531, 'learning_rate': 7.840909090909091e-06, 'epoch': 0.14}
{'loss': 0.822, 'grad_norm': 152.79595947265625, 'learning_rate': 8.181818181818181e-06, 'epoch': 0.14}
{'loss': 1.0448, 'grad_norm': 75.96047973632812, 'learning_rate': 8.522727272727273e-06, 'epoch': 0.15}
{'loss': 0.8527, 'grad_norm': 48.56366729736328, 'learning_rate': 8.863636363636365e-06, 'epoch': 0.15}
{'loss': 0.9362, 'grad_norm': 52.530128479003906, 'learning_rate': 9.204545454545455e-06, 'epoch': 0.16}
{'loss': 0.8252, 'grad_norm': 48.870418548583984, 'learning_rate': 9.545454545454545e-06, 'epoch': 0.16}
{'loss': 0.8899, 'grad_norm': 50.06816482543945, 'learning_rate': 9.886363636363637e-06, 'epoch': 0.17}
