2025-10-20 10:30:30,948 INFO    MainThread:2901074 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_setup.py:_flush():68] Configure stats pid to 2901074
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_setup.py:_flush():68] Loading settings from /home/sdef0001/.config/wandb/settings
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_setup.py:_flush():68] Loading settings from /fs04/scratch2/iq38/biomed_model_pmct/data/med3dvlm/Med3DVLM/wandb/settings
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /fs04/scratch2/iq38/biomed_model_pmct/data/med3dvlm/Med3DVLM/wandb/run-20251020_103030-4etst2gg/logs/debug.log
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /fs04/scratch2/iq38/biomed_model_pmct/data/med3dvlm/Med3DVLM/wandb/run-20251020_103030-4etst2gg/logs/debug-internal.log
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_init.py:init():756] calling init triggers
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-10-20 10:30:30,949 INFO    MainThread:2901074 [wandb_init.py:init():789] starting backend
2025-10-20 10:30:31,786 INFO    MainThread:2901074 [wandb_init.py:init():793] sending inform_init request
2025-10-20 10:30:32,180 INFO    MainThread:2901074 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-10-20 10:30:32,180 INFO    MainThread:2901074 [wandb_init.py:init():808] backend started and connected
2025-10-20 10:30:32,181 INFO    MainThread:2901074 [wandb_init.py:init():901] updated telemetry
2025-10-20 10:30:32,343 INFO    MainThread:2901074 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-10-20 10:30:32,748 INFO    MainThread:2901074 [wandb_init.py:init():994] starting run threads in backend
2025-10-20 10:30:42,364 INFO    MainThread:2901074 [wandb_run.py:_console_start():2385] atexit reg
2025-10-20 10:30:42,364 INFO    MainThread:2901074 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-10-20 10:30:42,364 INFO    MainThread:2901074 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-10-20 10:30:42,365 INFO    MainThread:2901074 [wandb_run.py:_redirect():2325] Redirects installed.
2025-10-20 10:30:42,490 INFO    MainThread:2901074 [wandb_init.py:init():1036] run started, returning control to user process
