                                                                                                            
{'loss': 7.462, 'grad_norm': 506.07958984375, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 7.537, 'grad_norm': 731.6216430664062, 'learning_rate': 3.409090909090909e-07, 'epoch': 0.01}
{'loss': 6.7743, 'grad_norm': 558.9982299804688, 'learning_rate': 6.818181818181818e-07, 'epoch': 0.02}
{'loss': 7.0347, 'grad_norm': 1412.03125, 'learning_rate': 1.0227272727272727e-06, 'epoch': 0.02}
{'loss': 7.4772, 'grad_norm': 343.88836669921875, 'learning_rate': 1.3636363636363636e-06, 'epoch': 0.03}
{'loss': 7.4322, 'grad_norm': 387.65478515625, 'learning_rate': 1.7045454545454546e-06, 'epoch': 0.03}
{'loss': 7.7579, 'grad_norm': 577.5264892578125, 'learning_rate': 2.0454545454545453e-06, 'epoch': 0.04}
{'loss': 7.5081, 'grad_norm': 776.80126953125, 'learning_rate': 2.3863636363636363e-06, 'epoch': 0.05}
{'loss': 6.9912, 'grad_norm': 371.28558349609375, 'learning_rate': 2.7272727272727272e-06, 'epoch': 0.05}
{'loss': 7.3154, 'grad_norm': 309.7576599121094, 'learning_rate': 3.0681818181818186e-06, 'epoch': 0.06}
{'loss': 6.8546, 'grad_norm': 332.9060974121094, 'learning_rate': 3.409090909090909e-06, 'epoch': 0.06}
{'loss': 6.2042, 'grad_norm': 281.6184997558594, 'learning_rate': 3.75e-06, 'epoch': 0.07}
{'loss': 5.9275, 'grad_norm': 264.9383850097656, 'learning_rate': 4.090909090909091e-06, 'epoch': 0.07}
{'loss': 6.1357, 'grad_norm': 219.9056854248047, 'learning_rate': 4.4318181818181824e-06, 'epoch': 0.08}
{'loss': 5.432, 'grad_norm': 347.4837951660156, 'learning_rate': 4.7727272727272725e-06, 'epoch': 0.09}
{'loss': 4.7953, 'grad_norm': 377.9278259277344, 'learning_rate': 5.1136363636363635e-06, 'epoch': 0.09}
{'loss': 3.8971, 'grad_norm': 262.46563720703125, 'learning_rate': 5.4545454545454545e-06, 'epoch': 0.1}
{'loss': 2.8525, 'grad_norm': 227.8330535888672, 'learning_rate': 5.795454545454545e-06, 'epoch': 0.1}
{'loss': 2.956, 'grad_norm': 256.5272216796875, 'learning_rate': 6.136363636363637e-06, 'epoch': 0.11}
{'loss': 1.7833, 'grad_norm': 147.9136962890625, 'learning_rate': 6.477272727272727e-06, 'epoch': 0.11}
{'loss': 1.4811, 'grad_norm': 395.1399841308594, 'learning_rate': 6.818181818181818e-06, 'epoch': 0.12}
{'loss': 1.3486, 'grad_norm': 159.33209228515625, 'learning_rate': 7.159090909090909e-06, 'epoch': 0.12}
{'loss': 1.1426, 'grad_norm': 155.84120178222656, 'learning_rate': 7.5e-06, 'epoch': 0.13}
{'loss': 1.3254, 'grad_norm': 132.470458984375, 'learning_rate': 7.840909090909091e-06, 'epoch': 0.14}
{'loss': 0.7909, 'grad_norm': 49.28730392456055, 'learning_rate': 8.181818181818181e-06, 'epoch': 0.14}
{'loss': 0.9383, 'grad_norm': 76.07071685791016, 'learning_rate': 8.522727272727273e-06, 'epoch': 0.15}
{'loss': 0.8766, 'grad_norm': 107.92578125, 'learning_rate': 8.863636363636365e-06, 'epoch': 0.15}
{'loss': 0.9676, 'grad_norm': 56.290409088134766, 'learning_rate': 9.204545454545455e-06, 'epoch': 0.16}
{'loss': 0.7774, 'grad_norm': 62.76474380493164, 'learning_rate': 9.545454545454545e-06, 'epoch': 0.16}
{'loss': 0.9113, 'grad_norm': 154.95355224609375, 'learning_rate': 9.886363636363637e-06, 'epoch': 0.17}
{'loss': 0.7509, 'grad_norm': 47.37089157104492, 'learning_rate': 1.0227272727272727e-05, 'epoch': 0.18}
{'loss': 0.8021, 'grad_norm': 63.48956298828125, 'learning_rate': 1.0568181818181819e-05, 'epoch': 0.18}
{'loss': 0.7775, 'grad_norm': 71.19996643066406, 'learning_rate': 1.0909090909090909e-05, 'epoch': 0.19}
{'loss': 0.8364, 'grad_norm': 92.03616333007812, 'learning_rate': 1.125e-05, 'epoch': 0.19}
{'loss': 0.8179, 'grad_norm': 34.006038665771484, 'learning_rate': 1.159090909090909e-05, 'epoch': 0.2}
{'loss': 0.5796, 'grad_norm': 31.692852020263672, 'learning_rate': 1.1931818181818181e-05, 'epoch': 0.2}
{'loss': 0.6248, 'grad_norm': 46.66336441040039, 'learning_rate': 1.2272727272727274e-05, 'epoch': 0.21}
{'loss': 0.6842, 'grad_norm': 37.48175811767578, 'learning_rate': 1.2613636363636365e-05, 'epoch': 0.22}
{'loss': 0.6605, 'grad_norm': 44.9011344909668, 'learning_rate': 1.2954545454545455e-05, 'epoch': 0.22}
{'loss': 0.574, 'grad_norm': 31.554006576538086, 'learning_rate': 1.3295454545454546e-05, 'epoch': 0.23}
{'loss': 0.7707, 'grad_norm': 39.25534439086914, 'learning_rate': 1.3636363636363637e-05, 'epoch': 0.23}
{'loss': 0.5849, 'grad_norm': 29.067148208618164, 'learning_rate': 1.3977272727272727e-05, 'epoch': 0.24}
{'loss': 0.5158, 'grad_norm': 33.66510009765625, 'learning_rate': 1.4318181818181818e-05, 'epoch': 0.24}
{'loss': 0.6722, 'grad_norm': 38.3071403503418, 'learning_rate': 1.465909090909091e-05, 'epoch': 0.25}
{'loss': 0.9014, 'grad_norm': 51.95368194580078, 'learning_rate': 1.5e-05, 'epoch': 0.26}
{'loss': 0.4476, 'grad_norm': 26.708511352539062, 'learning_rate': 1.534090909090909e-05, 'epoch': 0.26}
{'loss': 0.656, 'grad_norm': 39.299800872802734, 'learning_rate': 1.5681818181818182e-05, 'epoch': 0.27}
{'loss': 0.8912, 'grad_norm': 51.6285285949707, 'learning_rate': 1.602272727272727e-05, 'epoch': 0.27}
{'loss': 0.7275, 'grad_norm': 34.44842529296875, 'learning_rate': 1.6363636363636363e-05, 'epoch': 0.28}
{'loss': 0.9034, 'grad_norm': 36.657955169677734, 'learning_rate': 1.6704545454545454e-05, 'epoch': 0.28}
 49%|███████████████████████████████████                                    | 39/79 [01:47<02:47,  4.19s/it]
